county,precinct,office,district,seats,party,candidate,votes
Henry,Blue River,President,,1,,Write-In,2
Henry,Blue River,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,5
Henry,Blue River,President,,1,REP,Donald J. TRUMP / JD Vance,421
Henry,Blue River,President,,1,DEM,Kamala D. HARRIS / Tim Walz,145
Henry,Blue River,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,4
Henry,Blue River,U.S. Senate,,1,LBT,Andrew HORNING,12
Henry,Blue River,U.S. Senate,,1,,Write-In,0
Henry,Blue River,U.S. Senate,,1,REP,Jim BANKS,418
Henry,Blue River,U.S. Senate,,1,DEM,Valerie McCRAY,140
Henry,Blue River,U.S. House,6,1,DEM,Cynthia (Cinde) WIRTH,138
Henry,Blue River,U.S. House,6,1,LBT,James Michael SCENIAK,23
Henry,Blue River,U.S. House,6,1,REP,Jefferson SHREVE,408
Henry,Blue River,Governor,,1,,Write-In,0
Henry,Blue River,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,40
Henry,Blue River,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,195
Henry,Blue River,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,341
Henry,Blue River,Attorney General,,1,DEM,Destiny WELLS,163
Henry,Blue River,Attorney General,,1,REP,Todd ROKITA,405
Henry,Blue River,State House,54,1,REP,Cory CRISWELL,478
Henry,Blue River,County Commissioner,Middle,1,REP,Steve DELLINGER,484
Henry,Blue River,County Commissioner,Southern,1,REP,Susan HUHN,473
Henry,Blue River,County Coroner,,1,REP,Brian CLARK,490
Henry,Blue River,County Surveyor,,1,REP,Stephen L RUST,481
Henry,Blue River,County Council,At Large,3,REP,Chad MALICOAT,331
Henry,Blue River,County Council,At Large,3,REP,Jay DAVIS,413
Henry,Blue River,County Council,At Large,3,REP,Scott KOONTZ,388
Henry,Blue River,Henry Circuit Court Judge,"53rd Judicial Circuit, No. 2",1,REP,Kit C. Dean CRANE,461
Henry,Blue River,Henry Circuit Court Judge,"53rd Judicial Circuit, No. 3",1,REP,David L. McCORD,478
Henry,Blue River,Henry Blue River Valley School Board,3 - At Large,3,NP,Carla R BRYANT,296
Henry,Blue River,Henry Blue River Valley School Board,3 - At Large,3,NP,Celeste WRIGHT-BLACK,87
Henry,Blue River,Henry Blue River Valley School Board,3 - At Large,3,NP,Lance BROWN,267
Henry,Blue River,Henry Blue River Valley School Board,3 - At Large,3,NP,Mysia BROWN,330
Henry,Blue River,Henry Blue River Valley School Board,3 - At Large,3,NP,Tina MOORE,216
Henry,Dudley,President,,1,,Write-In,3
Henry,Dudley,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Henry,Dudley,President,,1,REP,Donald J. TRUMP / JD Vance,430
Henry,Dudley,President,,1,DEM,Kamala D. HARRIS / Tim Walz,84
Henry,Dudley,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,10
Henry,Dudley,U.S. Senate,,1,LBT,Andrew HORNING,20
Henry,Dudley,U.S. Senate,,1,,Write-In,0
Henry,Dudley,U.S. Senate,,1,REP,Jim BANKS,431
Henry,Dudley,U.S. Senate,,1,DEM,Valerie McCRAY,77
Henry,Dudley,U.S. House,6,1,DEM,Cynthia (Cinde) WIRTH,86
