county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Pike,01-CLAY,Registered Voters,,,,,244,,,
Pike,01-CLAY,Ballots Cast,,,,,148,,,
Pike,01-CLAY,Public Question-Const Amendment,,1,,Yes,64,37,25,2
Pike,01-CLAY,Public Question-Const Amendment,,1,,No,66,42,22,2
Pike,01-CLAY,President,,1,REP,Donald J. TRUMP / JD VANCE,111,71,37,3
Pike,01-CLAY,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,34,18,12,4
Pike,01-CLAY,President,,1,LBT,Chase OLIVER / Mike terr MATT,0,0,0,0
Pike,01-CLAY,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,3,1,2,0
Pike,01-CLAY,President,,1,,Write-In,0,0,0,0
Pike,01-CLAY,U.S. Senate,,1,REP,Jim BANKS,95,62,30,3
Pike,01-CLAY,U.S. Senate,,1,DEM,Valerie McCRAY,35,18,13,4
Pike,01-CLAY,U.S. Senate,,1,LBT,Andrew HORNING,5,0,5,0
Pike,01-CLAY,U.S. Senate,,1,,Write-In,0,0,0,0
Pike,01-CLAY,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,94,60,31,3
Pike,01-CLAY,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,35,18,13,4
Pike,01-CLAY,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,7,3,4,0
Pike,01-CLAY,Governor,,1,,Write-In,0,0,0,0
Pike,01-CLAY,Attorney General,,1,REP,Todd ROKITA,105,67,35,3
Pike,01-CLAY,Attorney General,,1,DEM,Destiny WELLS,39,20,15,4
Pike,01-CLAY,U.S. House,8,1,REP,Mark MESSMER,107,69,35,3
Pike,01-CLAY,U.S. House,8,1,DEM,Erik HURT,35,19,12,4
Pike,01-CLAY,U.S. House,8,1,LBT,K Richard FITZLAFF,3,0,3,0
Pike,01-CLAY,U.S. House,8,1,,Write-In,0,0,0,0
Pike,01-CLAY,State House,75,1,REP,Cindy LEDBETTER,120,72,45,3
Pike,01-CLAY,State House,75,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,Judge Of 83rd Circuit Court,,1,REP,Evan C. BIESTERVELD,123,77,42,4
Pike,01-CLAY,Judge Of 83rd Circuit Court,,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,Clerk Of The Circuit Court,,1,REP,Alan EVANS,116,71,41,4
Pike,01-CLAY,Clerk Of The Circuit Court,,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,County Treasurer,,1,REP,Susan (Wheeler) BRITTAIN,116,70,42,4
Pike,01-CLAY,County Treasurer,,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,County Coroner,,1,REP,Nicholas H. HENSON,126,79,43,4
Pike,01-CLAY,County Coroner,,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,County Surveyor,,1,REP,Rich WILLIAMS,123,77,42,4
Pike,01-CLAY,County Surveyor,,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,County Commissioner,1,1,REP,Jeff NELSON,106,68,35,3
Pike,01-CLAY,County Commissioner,1,1,DEM,Jay A. BOEGLIN,38,19,15,4
Pike,01-CLAY,County Commissioner,3,1,REP,Ryan COLEMAN,117,74,40,3
Pike,01-CLAY,County Commissioner,3,1,DEM,No Candidate Filed,0,0,0,0
Pike,01-CLAY,County Council,At Large,3,,Jeff HARTING,76,50,24,2
Pike,01-CLAY,County Council,At Large,3,,Eric J. SMITH,77,50,25,2
Pike,01-CLAY,County Council,At Large,3,,Greg K. WILLIS,66,42,22,2
Pike,01-CLAY,County Council,At Large,3,,Daren COOK,25,14,9,2
Pike,01-CLAY,County Council,At Large,3,,Todd MEADORS,44,21,20,3
Pike,01-CLAY,Pike County SB,3,1,,Larry A. HAYCRAFT,56,32,21,3
