county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Pulaski,01 Beaver,Registered Voters,,,,,327,,,
Pulaski,01 Beaver,Ballots Cast,,,,,223,,,
Pulaski,01 Beaver,Public Question-Const Amendment,,1,,Yes,100,52,45,3
Pulaski,01 Beaver,Public Question-Const Amendment,,1,,No,99,59,31,9
Pulaski,01 Beaver,President,,1,REP,Donald J. TRUMP / JD VANCE,158,79,68,11
Pulaski,01 Beaver,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,58,35,19,4
Pulaski,01 Beaver,President,,1,LBT,Chase OLIVER / Mike terr MATT,1,1,0,0
Pulaski,01 Beaver,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,2,0,0
Pulaski,01 Beaver,President,,1,,Write-In,0,0,0,0
Pulaski,01 Beaver,U.S. Senate,,1,REP,Jim BANKS,148,75,61,12
Pulaski,01 Beaver,U.S. Senate,,1,DEM,Valerie McCRAY,50,33,15,2
Pulaski,01 Beaver,U.S. Senate,,1,LBT,Andrew HORNING,3,0,3,0
Pulaski,01 Beaver,U.S. Senate,,1,,Write-In,0,0,0,0
Pulaski,01 Beaver,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,128,63,52,13
Pulaski,01 Beaver,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,64,39,22,3
Pulaski,01 Beaver,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,16,10,6,0
Pulaski,01 Beaver,Governor,,1,,Write-In,0,0,0,0
Pulaski,01 Beaver,Attorney General,,1,REP,Todd ROKITA,147,76,58,13
Pulaski,01 Beaver,Attorney General,,1,DEM,Destiny WELLS,63,37,23,3
Pulaski,01 Beaver,U.S. House,2,1,REP,Rudy YAKYM,148,79,58,11
Pulaski,01 Beaver,U.S. House,2,1,DEM,Lori A. CAMP,58,37,18,3
Pulaski,01 Beaver,U.S. House,2,1,LBT,William E. HENRY,3,1,2,0
Pulaski,01 Beaver,U.S. House,2,1,,Write-In,0,0,0,0
Pulaski,01 Beaver,State Senate,5,1,REP,Ed CHARBONNEAU,158,81,64,13
Pulaski,01 Beaver,State Senate,5,1,DEM,Leslie Nuss BAMESBERGER,48,32,15,1
Pulaski,01 Beaver,State House,17,1,REP,Kendell CULP,161,80,68,13
Pulaski,01 Beaver,Judge of the Circuit Court 59th Judicial,,1,REP,Mary C. WELKER,164,84,64,16
Pulaski,01 Beaver,Judge of the Superior Court,,1,REP,Crystal A. Brucker KOCHER,164,81,67,16
Pulaski,01 Beaver,County Auditor,,1,REP,Teresa Lynn BRYANT,165,86,65,14
Pulaski,01 Beaver,County Recorder,,1,REP,Marsha A. TETZLOFF,169,87,67,15
Pulaski,01 Beaver,County Treasurer,,1,REP,Laura WHEELER,170,90,65,15
Pulaski,01 Beaver,County Commissioner,1,1,REP,Jenny Halleck KNEBEL,147,79,58,10
Pulaski,01 Beaver,County Commissioner,1,1,DEM,Doug DENTON,61,33,24,4
Pulaski,01 Beaver,County Commissioner,2,1,REP,Donald (Don) STREET JR.,87,43,34,10
Pulaski,01 Beaver,County Commissioner,2,1,IND,Logan R. WUETHRICH,121,66,50,5
Pulaski,01 Beaver,County Council Member,At Large,3,REP,Albert Aj GUTWEIN,132,73,52,7
Pulaski,01 Beaver,County Council Member,At Large,3,REP,Sheila Hazemi JIMENEZ,116,64,46,6
Pulaski,01 Beaver,County Council Member,At Large,3,REP,Tim OVERMYER,116,60,49,7
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Waylon BURKE,0,0,0,0
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Scott HANSON,6,5,1,0
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Greg KISER,5,4,1,0
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Monica POTTHOFF,0,0,0,0
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Stephen E. Steve RAUSCH,6,5,1,0
Pulaski,01 Beaver,Eastern Pulaski SB,Monroe Township,3,,Jimmy TERRY,1,1,0,0
Pulaski,01 Beaver,Eastern Pulaski SB,Van Buren Township,1,,Taylor WHITE,5,4,1,0
Pulaski,01 Beaver,West Central SB,At Large,1,,Dennis GUTWEIN,151,76,65,10
Pulaski,01 Beaver,West Central SB,Gillam Township,1,,Jonathan GUTWEIN,132,72,56,4
Pulaski,01 Beaver,West Central SB,Jefferson Township,1,,Jacob E. TANNER,146,79,63,4
Pulaski,01 Beaver,West Central SB,White Post Township,1,,Darin GUDEMAN,143,76,63,4
Pulaski,01 Beaver,IN Supreme Court-Rush,,1,,Yes,132,65,57,10
Pulaski,01 Beaver,IN Supreme Court-Rush,,1,,No,35,23,12,0
Pulaski,01 Beaver,IN Supreme Court-Massa,,1,,Yes,122,60,53,9
Pulaski,01 Beaver,IN Supreme Court-Massa,,1,,No,37,24,13,0
Pulaski,01 Beaver,IN Supreme Court-Molter,,1,,Yes,124,62,53,9
