county,precinct,office,district,party,candidate,election_day,mail,early_voting,votes
Jefferson,Precinct 1-1,Ballots Cast,,,,169,36,225,430
Jefferson,Precinct 1-1,Registered Voters,,,,,,,664
Jefferson,Precinct 1-1,Public Question-Const Amendment,,,Yes,77,6,118,201
Jefferson,Precinct 1-1,Public Question-Const Amendment,,,No,72,9,78,159
Jefferson,Precinct 1-1,President,,REP,Donald J. Trump,99,11,99,209
Jefferson,Precinct 1-1,President,,DEM,Kamala D. Harris,60,25,123,208
Jefferson,Precinct 1-1,President,,LIB,Chase Oliver,1,0,1,2
Jefferson,Precinct 1-1,President,,WTP,Robert F. Kennedy Jr.,6,0,2,8
Jefferson,Precinct 1-1,President,,,Write-ins,0,0,0,0
Jefferson,Precinct 1-1,U.S. Senate,,REP,Jim Banks,93,9,98,200
Jefferson,Precinct 1-1,U.S. Senate,,DEM,Valerie McCray,53,24,113,190
Jefferson,Precinct 1-1,U.S. Senate,,LIB,Andrew Horning,7,0,5,12
Jefferson,Precinct 1-1,U.S. Senate,,,Write-ins,0,0,0,0
Jefferson,Precinct 1-1,Governor,,REP,Braun \ Beckwith,89,7,91,187
Jefferson,Precinct 1-1,Governor,,DEM,Mccormick \ Goodin,63,11,125,199
Jefferson,Precinct 1-1,Governor,,LIB,Rainwater \ Hudson,6,0,2,8
Jefferson,Precinct 1-1,Governor,,,Write-ins,0,0,1,1
Jefferson,Precinct 1-1,Attorney General,,REP,Todd Rokita,102,7,96,205
Jefferson,Precinct 1-1,Attorney General,,DEM,Destiny Wells,57,12,123,192
Jefferson,Precinct 1-1,U.S. House,9,REP,Erin Houchin,96,9,96,201
Jefferson,Precinct 1-1,U.S. House,9,DEM,Timothy (Tim) Peck,57,24,119,200
Jefferson,Precinct 1-1,U.S. House,9,LIB,Russell (Russ) Brooksbank,7,0,4,11
Jefferson,Precinct 1-1,U.S. House,9,,Write-ins,0,0,1,1
Jefferson,Precinct 1-1,State House,67,REP,Alex Zimmerman,112,11,120,243
Jefferson,Precinct 1-1,Judge of the Circuit Court 5th Judicial,,REP,D.J. Mote,114,9,134,257
Jefferson,Precinct 1-1,County Recorder,,REP,Amy Storm Stephens,95,7,101,203
Jefferson,Precinct 1-1,County Recorder,,DEM,Jenny Beverly,58,12,116,186
Jefferson,Precinct 1-1,County Treasurer,,REP,Meghan Crowley Hoskins,111,10,124,245
Jefferson,Precinct 1-1,County Coroner,,REP,Joshua Daniel Webb,113,8,130,251
Jefferson,Precinct 1-1,County Surveyor,,REP,Mike Pittman,110,8,126,244
Jefferson,Precinct 1-1,County Commissioner Lower District,,REP,David Bramer,110,7,125,242
Jefferson,Precinct 1-1,County Commissioner Middle District,,REP,Robert Little,114,10,137,261
Jefferson,Precinct 1-1,County Council Member At Large,,REP,Gary Copeland,86,10,82,178
