county,precinct,office,district,seats,party,candidate,votes
Crawford,Boone,President,,1,,Write-In,0
Crawford,Boone,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,2
Crawford,Boone,President,,1,REP,Donald J. TRUMP / JD Vance,59
Crawford,Boone,President,,1,DEM,Kamala D. HARRIS / Tim Walz,16
Crawford,Boone,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,0
Crawford,Boone,U.S. Senate,,1,LBT,Andrew HORNING,2
Crawford,Boone,U.S. Senate,,1,,Write-In,0
Crawford,Boone,U.S. Senate,,1,REP,Jim BANKS,50
Crawford,Boone,U.S. Senate,,1,DEM,Valerie McCRAY,19
Crawford,Boone,U.S. House,8,1,DEM,Erik HURT,18
Crawford,Boone,U.S. House,8,1,LBT,K Richard FITZLAFF,3
Crawford,Boone,U.S. House,8,1,REP,Mark MESSMER,50
Crawford,Boone,Governor,,1,,Write-In,0
Crawford,Boone,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,3
Crawford,Boone,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,19
Crawford,Boone,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,54
Crawford,Boone,Attorney General,,1,DEM,Destiny WELLS,19
Crawford,Boone,Attorney General,,1,REP,Todd ROKITA,51
Crawford,Boone,State House,74,1,DEM,Bob COMPTON,17
Crawford,Boone,State House,74,1,REP,Stephen R. BARTELS,56
Crawford,Boone,County Commissioner,2,1,DEM,Greg J QUALTERS,20
Crawford,Boone,County Commissioner,2,1,REP,Larry INGLE,54
Crawford,Boone,County Commissioner,3,1,REP,Morton M DALE,62
Crawford,Boone,County Coroner,,1,REP,Allison M HOWELL,58
Crawford,Boone,County Coroner,,1,DEM,Dale R ROLL,15
Crawford,Boone,County Surveyor,,1,REP,Reginald W TIMBERLAKE,64
Crawford,Boone,County Treasurer,,1,REP,Jennifer J DAVIS,58
Crawford,Boone,County Treasurer,,1,DEM,Kelli R SLAUGHTERBACK,17
Crawford,Boone,County Council,At Large,3,REP,Craig A MENKE,25
Crawford,Boone,County Council,At Large,3,REP,Linda S SMITH,25
Crawford,Boone,County Council,At Large,3,DEM,Shawn E SCOTT,26
Crawford,Boone,County Council,At Large,3,REP,William E BREEDING,35
Crawford,Boone,"School Board Member, At-Large",A,1,NP,Craig Randall JONES,12
Crawford,Boone,"School Board Member, At-Large",A,1,NP,Karen Birkla SHELLER,36
Crawford,Boone,"School Board Member, At-Large",B,1,NP,Charles W WRIGHT,7
Crawford,Boone,"School Board Member, At-Large",B,1,NP,Jerry L HANGER JR.,19
Crawford,Boone,"School Board Member, At-Large",B,1,NP,Paul R BROUGHTON,23
Crawford,Boone,"School Board Member, At-Large",C,1,NP,Craig  ADAMS,35
Crawford,Jennings 1,President,,1,,Write-In,0
Crawford,Jennings 1,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Crawford,Jennings 1,President,,1,REP,Donald J. TRUMP / JD Vance,321
Crawford,Jennings 1,President,,1,DEM,Kamala D. HARRIS / Tim Walz,90
Crawford,Jennings 1,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,13
Crawford,Jennings 1,U.S. Senate,,1,LBT,Andrew HORNING,8
Crawford,Jennings 1,U.S. Senate,,1,,Write-In,0
Crawford,Jennings 1,U.S. Senate,,1,REP,Jim BANKS,299
Crawford,Jennings 1,U.S. Senate,,1,DEM,Valerie McCRAY,96
Crawford,Jennings 1,U.S. House,8,1,DEM,Erik HURT,91
Crawford,Jennings 1,U.S. House,8,1,LBT,K Richard FITZLAFF,9
Crawford,Jennings 1,U.S. House,8,1,REP,Mark MESSMER,296
Crawford,Jennings 1,Governor,,1,,Write-In,0
Crawford,Jennings 1,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,11
Crawford,Jennings 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,102
Crawford,Jennings 1,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,302
Crawford,Jennings 1,Attorney General,,1,DEM,Destiny WELLS,98
Crawford,Jennings 1,Attorney General,,1,REP,Todd ROKITA,297
Crawford,Jennings 1,State House,74,1,DEM,Bob COMPTON,91
Crawford,Jennings 1,State House,74,1,REP,Stephen R. BARTELS,305
Crawford,Jennings 1,County Commissioner,2,1,DEM,Greg J QUALTERS,123
