county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Wells,01 Bluffton Lancaster East,Registered Voters,,,,,1274,,,
Wells,01 Bluffton Lancaster East,Ballots Cast,,,,,847,,,
Wells,01 Bluffton Lancaster East,Public Question-Const Amendment,,1,,Yes,413,249,150,14
Wells,01 Bluffton Lancaster East,Public Question-Const Amendment,,1,,No,285,181,97,7
Wells,01 Bluffton Lancaster East,President,,1,REP,Donald J. TRUMP / JD VANCE,635,397,219,19
Wells,01 Bluffton Lancaster East,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,181,117,50,14
Wells,01 Bluffton Lancaster East,President,,1,LBT,Chase OLIVER / Mike terr MATT,6,1,5,0
Wells,01 Bluffton Lancaster East,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,9,6,3,0
Wells,01 Bluffton Lancaster East,President,,1,,Write-In,7,4,3,0
Wells,01 Bluffton Lancaster East,U.S. Senate,,1,REP,Jim BANKS,569,359,187,23
Wells,01 Bluffton Lancaster East,U.S. Senate,,1,DEM,Valerie McCRAY,138,96,34,8
Wells,01 Bluffton Lancaster East,U.S. Senate,,1,LBT,Andrew HORNING,21,10,11,0
Wells,01 Bluffton Lancaster East,U.S. Senate,,1,,Write-In,0,0,0,0
Wells,01 Bluffton Lancaster East,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,592,380,191,21
Wells,01 Bluffton Lancaster East,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,182,114,55,13
Wells,01 Bluffton Lancaster East,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,39,17,22,0
Wells,01 Bluffton Lancaster East,Governor,,1,,Write-In,0,0,0,0
Wells,01 Bluffton Lancaster East,Attorney General,,1,REP,Todd ROKITA,553,365,168,20
Wells,01 Bluffton Lancaster East,Attorney General,,1,DEM,Destiny WELLS,177,111,54,12
Wells,01 Bluffton Lancaster East,U.S. House,3,1,REP,Marlin A. STUTZMAN,595,383,192,20
Wells,01 Bluffton Lancaster East,U.S. House,3,1,DEM,Kiley M. ADOLPH,154,100,41,13
Wells,01 Bluffton Lancaster East,U.S. House,3,1,LBT,Jarrad LANCASTER,38,18,20,0
Wells,01 Bluffton Lancaster East,U.S. House,3,1,,Write-In,0,0,0,0
Wells,01 Bluffton Lancaster East,State House,79,1,REP,Matthew S. LEHMAN,668,424,220,24
Wells,01 Bluffton Lancaster East,Judge of the Circuit Court 28th Circuit,,1,REP,Kenton W. KIRACOFE,696,436,236,24
Wells,01 Bluffton Lancaster East,County Recorder,,1,REP,Rina E STUCK,677,437,217,23
Wells,01 Bluffton Lancaster East,County Treasurer,,1,REP,Pam GREGORY,667,425,221,21
Wells,01 Bluffton Lancaster East,County Coroner,,1,REP,Cliff THOMAS,678,433,223,22
Wells,01 Bluffton Lancaster East,County Surveyor,,1,REP,Jarrod M HAHN,666,425,220,21
Wells,01 Bluffton Lancaster East,County Commissioner,2,1,REP,Blake GERBER,674,433,218,23
Wells,01 Bluffton Lancaster East,County Commissioner,3,1,REP,Jeff STRINGER,647,411,214,22
