county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Wayne,ABGT,Public Question-Const Amendment,,,,Yes,156,100,47,9
Wayne,ABGT,Public Question-Const Amendment,,,,No,182,120,59,3
Wayne,ABGT,Straight Party,,,REP,Republican,205,139,58,8
Wayne,ABGT,Straight Party,,,DEM,Democratic,32,20,7,5
Wayne,ABGT,Straight Party,,,LIB,Libertarian,0,0,0,0
Wayne,ABGT,Straight Party,,,WTP,We the People,0,0,0,0
Wayne,ABGT,President,,1,REP,Donald J. TRUMP / JD VANCE,345,222,112,11
Wayne,ABGT,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,67,45,15,7
Wayne,ABGT,President,,1,LIB,Chase OLIVER / Mike Terr MATT,1,1,0,0
Wayne,ABGT,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,8,3,5,0
Wayne,ABGT,President,,1,,Write-In,0,0,0,0
Wayne,ABGT,U.S. Senate,,1,REP,Jim BANKS,343,217,115,11
Wayne,ABGT,U.S. Senate,,1,DEM,Valerie McCRAY,63,42,14,7
Wayne,ABGT,U.S. Senate,,1,LIB,Andrew HORNING,9,6,3,0
Wayne,ABGT,U.S. Senate,,1,,Write-In,0,0,0,0
Wayne,ABGT,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,314,200,104,10
Wayne,ABGT,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,89,58,24,7
Wayne,ABGT,Governor,,1,LIB,Donald RAINWATER / Tonya HUDSON,18,13,4,1
Wayne,ABGT,Governor,,1,,Write-In,0,0,0,0
Wayne,ABGT,Attorney General,,1,REP,Todd ROKITA,342,222,109,11
Wayne,ABGT,Attorney General,,1,DEM,Destiny WELLS,74,47,20,7
Wayne,ABGT,U.S. House,6,1,REP,Jefferson SHREVE,334,213,111,10
Wayne,ABGT,U.S. House,6,1,DEM,Cynthia (Cinde) WIRTH,67,44,16,7
Wayne,ABGT,U.S. House,6,1,LIB,James Michael SCENIAK,13,9,3,1
Wayne,ABGT,State House,56,1,REP,Bradford BARRETT,354,223,118,13
Wayne,ABGT,Superior Court Judge No. 1,,1,REP,Ronald J. (Ron) MOORE,344,216,116,12
Wayne,ABGT,Clerk Of The Circuit Court,,1,REP,Tara PEGG,338,214,112,12
Wayne,ABGT,County Treasurer,,1,REP,Beth FIELDS,340,215,113,12
Wayne,ABGT,County Coroner,,1,REP,R. Brent MEADOWS,337,213,112,12
Wayne,ABGT,County Surveyor,,1,REP,Gordon E. MOORE,340,216,112,12
Wayne,ABGT,County Commissioner,2,1,REP,Aaron ROBERTS,338,214,112,12
Wayne,ABGT,County Commissioner,3,1,REP,Jeff PLASTERER,336,214,110,12
Wayne,ABGT,County Council Member,At Large,3,REP,Gerald (Gary) SAUNDERS,199,120,72,7
Wayne,ABGT,County Council Member,At Large,3,REP,Max SMITH,159,107,45,7
Wayne,ABGT,County Council Member,At Large,3,REP,Cathy C. WILLIAMS,167,111,49,7
Wayne,ABGT,Centerville-Abington School Board,A,1,,Andy WANDERSEE,247,149,90,8
