county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Fulton,AUBBEENAUBBEE,Registered Voters,,,,,848,,,
Fulton,AUBBEENAUBBEE,Ballots Cast,,,,,499,,,
Fulton,AUBBEENAUBBEE,Straight Party,,,REP,Republican,245,159,78,8
Fulton,AUBBEENAUBBEE,Straight Party,,,DEM,Democratic,70,51,13,6
Fulton,AUBBEENAUBBEE,Straight Party,,,LBT,Libertarian,2,1,1,0
Fulton,AUBBEENAUBBEE,Straight Party,,,WTP,We The People,5,3,2,0
Fulton,AUBBEENAUBBEE,Straight Party,,,,Total Votes,322,214,94,14
Fulton,AUBBEENAUBBEE,Public Question-Const Amendment,,,,Yes,217,141,61,15
Fulton,AUBBEENAUBBEE,Public Question-Const Amendment,,,,No,213,158,51,4
Fulton,AUBBEENAUBBEE,Public Question-Const Amendment,,,,Total Votes,430,299,112,19
Fulton,AUBBEENAUBBEE,President,,1,REP,Donald J. TRUMP / JD VANCE,364,243,105,16
Fulton,AUBBEENAUBBEE,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,125,91,22,12
Fulton,AUBBEENAUBBEE,President,,1,LBT,Chase OLIVER / Mike terr MAAT,4,2,2,0
Fulton,AUBBEENAUBBEE,President,,1,,Write-In,0,0,0,0
Fulton,AUBBEENAUBBEE,President,,1,,Total Votes,496,337,131,28
Fulton,AUBBEENAUBBEE,U.S. Senate,,1,REP,Jim BANKS,349,240,94,15
Fulton,AUBBEENAUBBEE,U.S. Senate,,1,DEM,Valerie McCRAY,121,82,26,13
Fulton,AUBBEENAUBBEE,U.S. Senate,,1,LBT,Andrew HORNING,18,12,6,0
Fulton,AUBBEENAUBBEE,U.S. Senate,,1,,Write-In,0,0,0,0
Fulton,AUBBEENAUBBEE,U.S. Senate,,1,,Total Votes,488,334,126,28
Fulton,AUBBEENAUBBEE,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,300,204,83,13
Fulton,AUBBEENAUBBEE,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,140,93,33,14
Fulton,AUBBEENAUBBEE,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,54,41,12,1
Fulton,AUBBEENAUBBEE,Governor,,1,,Write-In,0,0,0,0
Fulton,AUBBEENAUBBEE,Governor,,1,,Total Votes,494,338,128,28
