county,precinct,office,district,seats,party,candidate,votes
Jennings,Bigger,President,,1,,Write-In,0
Jennings,Bigger,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,8
Jennings,Bigger,President,,1,REP,Donald J. TRUMP / JD Vance,278
Jennings,Bigger,President,,1,DEM,Kamala D. HARRIS / Tim Walz,37
Jennings,Bigger,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,2
Jennings,Bigger,U.S. Senate,,1,LBT,Andrew HORNING,11
Jennings,Bigger,U.S. Senate,,1,,Write-In,0
Jennings,Bigger,U.S. Senate,,1,REP,Jim BANKS,264
Jennings,Bigger,U.S. Senate,,1,DEM,Valerie McCRAY,45
Jennings,Bigger,U.S. House,9,1,REP,Erin HOUCHIN,264
Jennings,Bigger,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,14
Jennings,Bigger,U.S. House,9,1,DEM,Timothy (Tim) PECK,39
Jennings,Bigger,Governor,,1,,Write-In,0
Jennings,Bigger,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,38
Jennings,Bigger,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,58
Jennings,Bigger,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,228
Jennings,Bigger,Attorney General,,1,DEM,Destiny WELLS,51
Jennings,Bigger,Attorney General,,1,REP,Todd ROKITA,265
Jennings,Bigger,State House,67,1,REP,Alex ZIMMERMAN,277
Jennings,Bigger,County Commissioner,1,1,REP,Charlie ST JOHN,286
Jennings,Bigger,County Commissioner,2,1,REP,Shane BOSWELL,271
Jennings,Bigger,County Coroner,,1,REP,Alden Wade RUDICEL,289
Jennings,Bigger,County Surveyor,,1,REP,Charles (Chad) EBINGER,278
Jennings,Bigger,County Treasurer,,1,REP,Tina BELDING BRISON,271
Jennings,Bigger,County Council,At Large,3,REP,David CHEATHAM,111
Jennings,Bigger,County Council,At Large,3,REP,David WOODALL,89
Jennings,Bigger,County Council,At Large,3,REP,Eugene (Gene) RUDICEL,170
Jennings,Bigger,Jennings County School Board,1,1,NP,Chelsea MORRISON,174
Jennings,Bigger,Jennings County School Board,2,1,NP,Earl L TAGGART,179
Jennings,Bigger,Jennings County School Board,3,1,NP,Patrick L SULLIVAN,161
Jennings,Campbell,President,,1,,Write-In,0
Jennings,Campbell,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Jennings,Campbell,President,,1,REP,Donald J. TRUMP / JD Vance,371
Jennings,Campbell,President,,1,DEM,Kamala D. HARRIS / Tim Walz,89
Jennings,Campbell,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,5
Jennings,Campbell,U.S. Senate,,1,LBT,Andrew HORNING,12
Jennings,Campbell,U.S. Senate,,1,,Write-In,0
Jennings,Campbell,U.S. Senate,,1,REP,Jim BANKS,350
Jennings,Campbell,U.S. Senate,,1,DEM,Valerie McCRAY,91
Jennings,Campbell,U.S. House,9,1,REP,Erin HOUCHIN,348
Jennings,Campbell,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,14
Jennings,Campbell,U.S. House,9,1,DEM,Timothy (Tim) PECK,89
Jennings,Campbell,Governor,,1,,Write-In,0
Jennings,Campbell,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,33
Jennings,Campbell,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,114
Jennings,Campbell,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,311
Jennings,Campbell,Attorney General,,1,DEM,Destiny WELLS,90
Jennings,Campbell,Attorney General,,1,REP,Todd ROKITA,361
Jennings,Campbell,State Senate,42,1,REP,Jean LEISING,358
Jennings,Campbell,State House,67,1,REP,Alex ZIMMERMAN,349
Jennings,Campbell,County Commissioner,1,1,REP,Charlie ST JOHN,365
Jennings,Campbell,County Commissioner,2,1,REP,Shane BOSWELL,377
Jennings,Campbell,County Coroner,,1,REP,Alden Wade RUDICEL,391
Jennings,Campbell,County Surveyor,,1,REP,Charles (Chad) EBINGER,367
Jennings,Campbell,County Treasurer,,1,REP,Tina BELDING BRISON,368
Jennings,Campbell,County Council,At Large,3,REP,David CHEATHAM,173
Jennings,Campbell,County Council,At Large,3,REP,David WOODALL,137
Jennings,Campbell,County Council,At Large,3,REP,Eugene (Gene) RUDICEL,241
Jennings,Campbell,Jennings County School Board,1,1,NP,Chelsea MORRISON,243
Jennings,Campbell,Jennings County School Board,2,1,NP,Earl L TAGGART,270
Jennings,Campbell,Jennings County School Board,3,1,NP,Patrick L SULLIVAN,243
Jennings,Center East,President,,1,,Write-In,0
Jennings,Center East,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,0
Jennings,Center East,President,,1,REP,Donald J. TRUMP / JD Vance,338
Jennings,Center East,President,,1,DEM,Kamala D. HARRIS / Tim Walz,79
Jennings,Center East,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,3
Jennings,Center East,U.S. Senate,,1,LBT,Andrew HORNING,14
Jennings,Center East,U.S. Senate,,1,,Write-In,0
Jennings,Center East,U.S. Senate,,1,REP,Jim BANKS,316
Jennings,Center East,U.S. Senate,,1,DEM,Valerie McCRAY,80
Jennings,Center East,U.S. House,9,1,REP,Erin HOUCHIN,318
Jennings,Center East,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,13
Jennings,Center East,U.S. House,9,1,DEM,Timothy (Tim) PECK,82
Jennings,Center East,Governor,,1,,Write-In,0
Jennings,Center East,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,20
Jennings,Center East,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,90
Jennings,Center East,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,304
Jennings,Center East,Attorney General,,1,DEM,Destiny WELLS,90
Jennings,Center East,Attorney General,,1,REP,Todd ROKITA,323
Jennings,Center East,State Senate,42,1,REP,Jean LEISING,342
Jennings,Center East,State House,67,1,REP,Alex ZIMMERMAN,334
Jennings,Center East,County Commissioner,1,1,REP,Charlie ST JOHN,353
Jennings,Center East,County Commissioner,2,1,REP,Shane BOSWELL,350
Jennings,Center East,County Coroner,,1,REP,Alden Wade RUDICEL,362
Jennings,Center East,County Surveyor,,1,REP,Charles (Chad) EBINGER,341
Jennings,Center East,County Treasurer,,1,REP,Tina BELDING BRISON,348
Jennings,Center East,County Council,At Large,3,REP,David CHEATHAM,178
Jennings,Center East,County Council,At Large,3,REP,David WOODALL,109
Jennings,Center East,County Council,At Large,3,REP,Eugene (Gene) RUDICEL,220
Jennings,Center East,Jennings County School Board,1,1,NP,Chelsea MORRISON,218
Jennings,Center East,Jennings County School Board,2,1,NP,Earl L TAGGART,249
Jennings,Center East,Jennings County School Board,3,1,NP,Patrick L SULLIVAN,211
Jennings,Center West,President,,1,,Write-In,0
Jennings,Center West,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Jennings,Center West,President,,1,REP,Donald J. TRUMP / JD Vance,386
Jennings,Center West,President,,1,DEM,Kamala D. HARRIS / Tim Walz,116
Jennings,Center West,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,9
Jennings,Center West,U.S. Senate,,1,LBT,Andrew HORNING,28
Jennings,Center West,U.S. Senate,,1,,Write-In,0
Jennings,Center West,U.S. Senate,,1,REP,Jim BANKS,364
Jennings,Center West,U.S. Senate,,1,DEM,Valerie McCRAY,110
Jennings,Center West,U.S. House,9,1,REP,Erin HOUCHIN,373
Jennings,Center West,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,24
Jennings,Center West,U.S. House,9,1,DEM,Timothy (Tim) PECK,110
Jennings,Center West,Governor,,1,,Write-In,0
Jennings,Center West,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,34
Jennings,Center West,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,136
Jennings,Center West,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,341
Jennings,Center West,Attorney General,,1,DEM,Destiny WELLS,128
Jennings,Center West,Attorney General,,1,REP,Todd ROKITA,379
Jennings,Center West,State House,67,1,REP,Alex ZIMMERMAN,417
Jennings,Center West,County Commissioner,1,1,REP,Charlie ST JOHN,427
Jennings,Center West,County Commissioner,2,1,REP,Shane BOSWELL,397
Jennings,Center West,County Coroner,,1,REP,Alden Wade RUDICEL,434
Jennings,Center West,County Surveyor,,1,REP,Charles (Chad) EBINGER,410
Jennings,Center West,County Treasurer,,1,REP,Tina BELDING BRISON,407
Jennings,Center West,County Council,At Large,3,REP,David CHEATHAM,249
Jennings,Center West,County Council,At Large,3,REP,David WOODALL,171
Jennings,Center West,County Council,At Large,3,REP,Eugene (Gene) RUDICEL,290
Jennings,Center West,Jennings County School Board,1,1,NP,Chelsea MORRISON,283
Jennings,Center West,Jennings County School Board,2,1,NP,Earl L TAGGART,318
Jennings,Center West,Jennings County School Board,3,1,NP,Patrick L SULLIVAN,290
Jennings,Columbia,President,,1,,Write-In,0
Jennings,Columbia,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,2
Jennings,Columbia,President,,1,REP,Donald J. TRUMP / JD Vance,288
Jennings,Columbia,President,,1,DEM,Kamala D. HARRIS / Tim Walz,63
Jennings,Columbia,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,2
Jennings,Columbia,U.S. Senate,,1,LBT,Andrew HORNING,6
Jennings,Columbia,U.S. Senate,,1,,Write-In,0
Jennings,Columbia,U.S. Senate,,1,REP,Jim BANKS,280
Jennings,Columbia,U.S. Senate,,1,DEM,Valerie McCRAY,61
Jennings,Columbia,U.S. House,9,1,REP,Erin HOUCHIN,274
Jennings,Columbia,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,6
Jennings,Columbia,U.S. House,9,1,DEM,Timothy (Tim) PECK,63
Jennings,Columbia,Governor,,1,,Write-In,0
Jennings,Columbia,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,20
Jennings,Columbia,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,77
Jennings,Columbia,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,250
Jennings,Columbia,Attorney General,,1,DEM,Destiny WELLS,70
Jennings,Columbia,Attorney General,,1,REP,Todd ROKITA,275
Jennings,Columbia,State Senate,42,1,REP,Jean LEISING,283
Jennings,Columbia,State House,67,1,REP,Alex ZIMMERMAN,259
Jennings,Columbia,County Commissioner,1,1,REP,Charlie ST JOHN,282
Jennings,Columbia,County Commissioner,2,1,REP,Shane BOSWELL,290
Jennings,Columbia,County Coroner,,1,REP,Alden Wade RUDICEL,292
Jennings,Columbia,County Surveyor,,1,REP,Charles (Chad) EBINGER,281
Jennings,Columbia,County Treasurer,,1,REP,Tina BELDING BRISON,278
Jennings,Columbia,County Council,At Large,3,REP,David CHEATHAM,146
Jennings,Columbia,County Council,At Large,3,REP,David WOODALL,107
Jennings,Columbia,County Council,At Large,3,REP,Eugene (Gene) RUDICEL,174
Jennings,Columbia,Jennings County School Board,1,1,NP,Chelsea MORRISON,178
Jennings,Columbia,Jennings County School Board,2,1,NP,Earl L TAGGART,188
Jennings,Columbia,Jennings County School Board,3,1,NP,Patrick L SULLIVAN,173
Jennings,Geneva 01 East,President,,1,,Write-In,0
Jennings,Geneva 01 East,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Jennings,Geneva 01 East,President,,1,REP,Donald J. TRUMP / JD Vance,542
Jennings,Geneva 01 East,President,,1,DEM,Kamala D. HARRIS / Tim Walz,119
Jennings,Geneva 01 East,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,8
Jennings,Geneva 01 East,U.S. Senate,,1,LBT,Andrew HORNING,29
Jennings,Geneva 01 East,U.S. Senate,,1,,Write-In,0
Jennings,Geneva 01 East,U.S. Senate,,1,REP,Jim BANKS,522
Jennings,Geneva 01 East,U.S. Senate,,1,DEM,Valerie McCRAY,114
