county,precinct,office,district,seats,party,candidate,votes,election_day,absentee
Dearborn,0001 CAESAR CREEK 1,Registered Voters,,,,,219,,
Dearborn,0001 CAESAR CREEK 1,Ballots Cast,,,,,167,121,46
Dearborn,0001 CAESAR CREEK 1,Public Question-Const Amendment,,,,Yes,87,67,20
Dearborn,0001 CAESAR CREEK 1,Public Question-Const Amendment,,,,No,65,47,18
Dearborn,0001 CAESAR CREEK 1,Straight Party,,,REP,Republican,74,59,15
Dearborn,0001 CAESAR CREEK 1,Straight Party,,,DEM,Democratic,18,11,7
Dearborn,0001 CAESAR CREEK 1,Straight Party,,,LBT,Libertarian,0,0,0
Dearborn,0001 CAESAR CREEK 1,Straight Party,,,WTP,We The People,0,0,0
Dearborn,0001 CAESAR CREEK 1,President,,1,REP,Donald J. TRUMP / JD VANCE,124,92,32
Dearborn,0001 CAESAR CREEK 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,37,23,14
Dearborn,0001 CAESAR CREEK 1,President,,1,LBT,Chase OLIVER / Mike terr MAAT,2,2,0
Dearborn,0001 CAESAR CREEK 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,2,0
Dearborn,0001 CAESAR CREEK 1,President,,1,,Write-In,0,0,0
Dearborn,0001 CAESAR CREEK 1,U.S. Senate,,1,REP,Jim BANKS,126,92,34
Dearborn,0001 CAESAR CREEK 1,U.S. Senate,,1,DEM,Valerie McCRAY,36,25,11
Dearborn,0001 CAESAR CREEK 1,U.S. Senate,,1,LBT,Andrew HORNING,1,1,0
Dearborn,0001 CAESAR CREEK 1,U.S. Senate,,1,,Write-In,0,0,0
Dearborn,0001 CAESAR CREEK 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,119,86,33
Dearborn,0001 CAESAR CREEK 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,33,22,11
Dearborn,0001 CAESAR CREEK 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,11,10,1
Dearborn,0001 CAESAR CREEK 1,Governor,,1,,Write-In,0,0,0
Dearborn,0001 CAESAR CREEK 1,Attorney General,,1,REP,Todd ROKITA,130,95,35
Dearborn,0001 CAESAR CREEK 1,Attorney General,,1,DEM,Destiny WELLS,35,24,11
Dearborn,0001 CAESAR CREEK 1,U.S. House,9,1,REP,Erin HOUCHIN,127,93,34
Dearborn,0001 CAESAR CREEK 1,U.S. House,9,1,DEM,Timothy (Tim) PECK,30,19,11
Dearborn,0001 CAESAR CREEK 1,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,6,5,1
Dearborn,0001 CAESAR CREEK 1,U.S. House,9,1,,Write-In,0,0,0
Dearborn,0001 CAESAR CREEK 1,State House,68,1,REP,Garret R. BASCOM,135,99,36
Dearborn,0001 CAESAR CREEK 1,State House,68,1,DEM,Lisa BARKER,31,21,10
Dearborn,0001 CAESAR CREEK 1,Judge of the Superior Court No. 2,,1,REP,Sally A. McLAUGHLIN,148,111,37
Dearborn,0001 CAESAR CREEK 1,Circuit Court Clerk,,1,REP,Wendy BEATTY,142,109,33
Dearborn,0001 CAESAR CREEK 1,County Treasurer,,1,REP,Hayley M. HATFIELD,144,109,35
Dearborn,0001 CAESAR CREEK 1,County Coroner,,1,REP,Cameron McCREARY,144,109,35
Dearborn,0001 CAESAR CREEK 1,County Surveyor,,1,REP,Dennis KRAUS JR,145,111,34
Dearborn,0001 CAESAR CREEK 1,County Commissioner,1,1,REP,Jim THATCHER,137,108,29
Dearborn,0001 CAESAR CREEK 1,County Commissioner,2,1,REP,Duane BISCHOFF,141,106,35
Dearborn,0001 CAESAR CREEK 1,County Council,,3,,Mark G. DOLE,103,80,23
Dearborn,0001 CAESAR CREEK 1,County Council,,3,,Tim DOLL,104,83,21
Dearborn,0001 CAESAR CREEK 1,County Council,,3,,Glenn D. WRIGHT,109,83,26
Dearborn,0001 CAESAR CREEK 1,County Council,,3,,Hunter COLLINS,35,27,8
Dearborn,0001 CAESAR CREEK 1,County Council,,3,,Dawn VICTOR,35,26,9
Dearborn,0001 CAESAR CREEK 1,Community School Corp,1 South Dearborn,1,,Daryl L. CUTTER,144,106,38
Dearborn,0001 CAESAR CREEK 1,Community School Corp,2 South Dearborn,2,,Kelli J. GENTRUP-PETTIT,117,86,31
Dearborn,0001 CAESAR CREEK 1,Community School Corp,2 South Dearborn,2,,Steven M. HAMLETT,110,83,27
Dearborn,0001 CAESAR CREEK 1,Community School Corp,3 South Dearborn,1,,Chris DAUGHERTY,132,100,32
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Rush,,,,Yes,107,83,24
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Rush,,,,No,33,24,9
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Massa,,,,Yes,104,82,22
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Massa,,,,No,32,23,9
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Molter,,,,Yes,105,83,22
Dearborn,0001 CAESAR CREEK 1,IN Supreme Court-Molter,,,,No,33,24,9
Dearborn,0001 CAESAR CREEK 1,Court of Appeals Dist 1-Foley,,,,Yes,107,84,23
Dearborn,0001 CAESAR CREEK 1,Court of Appeals Dist 1-Foley,,,,No,34,25,9
Dearborn,0001 CAESAR CREEK 1,Court of Appeals Dist 4-Pyle III,,,,Yes,106,83,23
Dearborn,0001 CAESAR CREEK 1,Court of Appeals Dist 4-Pyle III,,,,No,33,24,9
Dearborn,0002 CENTER 1,Registered Voters,,,,,475,,
Dearborn,0002 CENTER 1,Ballots Cast,,,,,217,117,100
Dearborn,0002 CENTER 1,Public Question-Const Amendment,,,,Yes,102,61,41
Dearborn,0002 CENTER 1,Public Question-Const Amendment,,,,No,101,50,51
Dearborn,0002 CENTER 1,Straight Party,,,REP,Republican,100,62,38
Dearborn,0002 CENTER 1,Straight Party,,,DEM,Democratic,32,11,21
Dearborn,0002 CENTER 1,Straight Party,,,LBT,Libertarian,0,0,0
Dearborn,0002 CENTER 1,Straight Party,,,WTP,We The People,2,1,1
Dearborn,0002 CENTER 1,President,,1,REP,Donald J. TRUMP / JD VANCE,145,90,55
Dearborn,0002 CENTER 1,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,67,24,43
Dearborn,0002 CENTER 1,President,,1,LBT,Chase OLIVER / Mike terr MAAT,1,0,1
Dearborn,0002 CENTER 1,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,1,1
Dearborn,0002 CENTER 1,President,,1,,Write-In,0,0,0
Dearborn,0002 CENTER 1,U.S. Senate,,1,REP,Jim BANKS,145,90,55
Dearborn,0002 CENTER 1,U.S. Senate,,1,DEM,Valerie McCRAY,66,22,44
Dearborn,0002 CENTER 1,U.S. Senate,,1,LBT,Andrew HORNING,4,3,1
Dearborn,0002 CENTER 1,U.S. Senate,,1,,Write-In,0,0,0
Dearborn,0002 CENTER 1,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,138,84,54
Dearborn,0002 CENTER 1,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,67,24,43
Dearborn,0002 CENTER 1,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,9,6,3
Dearborn,0002 CENTER 1,Governor,,1,,Write-In,0,0,0
Dearborn,0002 CENTER 1,Attorney General,,1,REP,Todd ROKITA,145,91,54
Dearborn,0002 CENTER 1,Attorney General,,1,DEM,Destiny WELLS,67,23,44
Dearborn,0002 CENTER 1,U.S. House,9,1,REP,Erin HOUCHIN,144,89,55
Dearborn,0002 CENTER 1,U.S. House,9,1,DEM,Timothy (Tim) PECK,66,22,44
Dearborn,0002 CENTER 1,U.S. House,9,1,LBT,Russell (Russ) BROOKSBANK,5,4,1
Dearborn,0002 CENTER 1,U.S. House,9,1,,Write-In,0,0,0
Dearborn,0002 CENTER 1,State House,68,1,REP,Garret R. BASCOM,151,89,62
Dearborn,0002 CENTER 1,State House,68,1,DEM,Lisa BARKER,61,26,35
