county,precinct,office,district,seats,party,candidate,votes
Vanderburgh,Armstrong Precinct 01,President,,1,,Write-In,0
Vanderburgh,Armstrong Precinct 01,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,7
Vanderburgh,Armstrong Precinct 01,President,,1,REP,Donald J. TRUMP / JD Vance,687
Vanderburgh,Armstrong Precinct 01,President,,1,DEM,Kamala D. HARRIS / Tim Walz,239
Vanderburgh,Armstrong Precinct 01,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,7
Vanderburgh,Armstrong Precinct 01,U.S. Senate,,1,LBT,Andrew HORNING,16
Vanderburgh,Armstrong Precinct 01,U.S. Senate,,1,,Write-In,0
Vanderburgh,Armstrong Precinct 01,U.S. Senate,,1,REP,Jim BANKS,696
Vanderburgh,Armstrong Precinct 01,U.S. Senate,,1,DEM,Valerie McCRAY,217
Vanderburgh,Armstrong Precinct 01,U.S. House,8,1,DEM,Erik HURT,203
Vanderburgh,Armstrong Precinct 01,U.S. House,8,1,LBT,K Richard FITZLAFF,18
Vanderburgh,Armstrong Precinct 01,U.S. House,8,1,REP,Mark MESSMER,706
Vanderburgh,Armstrong Precinct 01,Governor,,1,,Write-In,0
Vanderburgh,Armstrong Precinct 01,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,21
Vanderburgh,Armstrong Precinct 01,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,234
Vanderburgh,Armstrong Precinct 01,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,677
Vanderburgh,Armstrong Precinct 01,Attorney General,,1,DEM,Destiny WELLS,235
Vanderburgh,Armstrong Precinct 01,Attorney General,,1,REP,Todd ROKITA,693
Vanderburgh,Armstrong Precinct 01,State House,64,1,REP,Matt HOSTETTLER,803
Vanderburgh,Armstrong Precinct 01,County Commissioner,1,1,DEM,Mike GOEBEL,613
Vanderburgh,Armstrong Precinct 01,County Commissioner,3,1,REP,Amy T. CANTERBURY,691
Vanderburgh,Armstrong Precinct 01,County Commissioner,3,1,DEM,Hope FUSSNER,219
Vanderburgh,Armstrong Precinct 01,County Coroner,,1,REP,Bryan UNDERWOOD,642
Vanderburgh,Armstrong Precinct 01,County Coroner,,1,DEM,Keith MOSBY JR.,274
Vanderburgh,Armstrong Precinct 01,County Recorder,,1,DEM,Gina ROBINSON UNGAR,217
Vanderburgh,Armstrong Precinct 01,County Recorder,,1,REP,Russell G. LLOYD JR.,703
Vanderburgh,Armstrong Precinct 01,County Surveyor,,1,REP,Linda FREEMAN,777
Vanderburgh,Armstrong Precinct 01,County Treasurer,,1,REP,Brian A. GERTH,776
Vanderburgh,Armstrong Precinct 01,Circuit Court Clerk,,1,REP,Dottie THOMAS,777
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,DEM,Bob DEIG,330
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,DEM,Dustin STEPHENS,163
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,REP,Ed BASSEMIER,584
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,REP,Jill Anne HAHN,569
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,REP,Joe KIEFER II,559
Vanderburgh,Armstrong Precinct 01,County Council,At Large,3,DEM,Karese D. JOHNSON,161
Vanderburgh,Armstrong Precinct 01,Vanderburgh Circuit Court Judge,,1,NP,Molly E. BRILES,318
Vanderburgh,Armstrong Precinct 01,Vanderburgh Circuit Court Judge,,1,NP,Ryan HATFIELD,463
Vanderburgh,Armstrong Precinct 01,Vanderburgh Superior Court Judge,2,1,NP,Wayne S. TROCKMAN,655
