county,precinct,office,district,seats,party,candidate,votes
Montgomery,Brown,President,,1,,Write-In,0
Montgomery,Brown,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Montgomery,Brown,President,,1,REP,Donald J. TRUMP / JD Vance,669
Montgomery,Brown,President,,1,DEM,Kamala D. HARRIS / Tim Walz,112
Montgomery,Brown,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,12
Montgomery,Brown,U.S. Senate,,1,LBT,Andrew HORNING,27
Montgomery,Brown,U.S. Senate,,1,,Write-In,0
Montgomery,Brown,U.S. Senate,,1,REP,Jim BANKS,640
Montgomery,Brown,U.S. Senate,,1,DEM,Valerie McCRAY,114
Montgomery,Brown,U.S. House,4,1,LBT,Ashley GROFF,42
Montgomery,Brown,U.S. House,4,1,DEM,Derrick HOLDER,103
Montgomery,Brown,U.S. House,4,1,REP,Jim BAIRD,642
Montgomery,Brown,Governor,,1,,Write-In,0
Montgomery,Brown,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,88
Montgomery,Brown,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,139
Montgomery,Brown,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,566
Montgomery,Brown,Attorney General,,1,DEM,Destiny WELLS,149
Montgomery,Brown,Attorney General,,1,REP,Todd ROKITA,637
Montgomery,Brown,State House,44,1,REP,Beau BAIRD,702
Montgomery,Brown,County Commissioner,1,1,REP,Jake BOHLANDER,689
Montgomery,Brown,County Commissioner,3,1,REP,Dan GUARD,682
Montgomery,Brown,County Coroner,,1,REP,Steve GRESSMIRE,696
Montgomery,Brown,County Recorder,,1,REP,Nancy COX,695
Montgomery,Brown,County Surveyor,,1,REP,Tom CUMMINS,694
Montgomery,Brown,Circuit Court Clerk,,1,REP,Sondra DITTMER SIXBERRY,699
Montgomery,Brown,County Council,At Large,3,REP,David HUNT,484
Montgomery,Brown,County Council,At Large,3,REP,Gary D BOOTH,537
Montgomery,Brown,County Council,At Large,3,REP,Mike WARREN,471
Montgomery,Brown,South Montgomery School Board,Ripley,1,NP,Brevan T CORNELIUS,242
Montgomery,Brown,South Montgomery School Board,Ripley,1,NP,Daryl W HUTSON,375
Montgomery,Brown,"South Montgomery School Board, Scott",Scott,1,NP,Cody HARGIS,254
Montgomery,Brown,"South Montgomery School Board, Scott",Scott,1,NP,Jason BANNON,381
Montgomery,Brown,South Montgomery School Board,Union,1,NP,Julie J HESS,558
Montgomery,Clark,President,,1,,Write-In,0
Montgomery,Clark,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,4
Montgomery,Clark,President,,1,REP,Donald J. TRUMP / JD Vance,625
Montgomery,Clark,President,,1,DEM,Kamala D. HARRIS / Tim Walz,167
Montgomery,Clark,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,8
Montgomery,Clark,U.S. Senate,,1,LBT,Andrew HORNING,21
Montgomery,Clark,U.S. Senate,,1,,Write-In,0
Montgomery,Clark,U.S. Senate,,1,REP,Jim BANKS,628
Montgomery,Clark,U.S. Senate,,1,DEM,Valerie McCRAY,144
Montgomery,Clark,U.S. House,4,1,LBT,Ashley GROFF,31
Montgomery,Clark,U.S. House,4,1,DEM,Derrick HOLDER,137
Montgomery,Clark,U.S. House,4,1,REP,Jim BAIRD,630
Montgomery,Clark,Governor,,1,,Write-In,0
Montgomery,Clark,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,59
Montgomery,Clark,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,175
Montgomery,Clark,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,568
Montgomery,Clark,Attorney General,,1,DEM,Destiny WELLS,176
Montgomery,Clark,Attorney General,,1,REP,Todd ROKITA,608
Montgomery,Clark,State Senate,7,1,REP,Brian W. BUCHANAN,672
Montgomery,Clark,State House,28,1,REP,Jeffrey A. THOMPSON,631
Montgomery,Clark,State House,28,1,DEM,Karen Marie WHITNEY,151
Montgomery,Clark,County Commissioner,1,1,REP,Jake BOHLANDER,689
Montgomery,Clark,County Commissioner,3,1,REP,Dan GUARD,694
Montgomery,Clark,County Coroner,,1,REP,Steve GRESSMIRE,691
Montgomery,Clark,County Recorder,,1,REP,Nancy COX,705
Montgomery,Clark,County Surveyor,,1,REP,Tom CUMMINS,686
Montgomery,Clark,Circuit Court Clerk,,1,REP,Sondra DITTMER SIXBERRY,692
Montgomery,Clark,County Council,At Large,3,REP,David HUNT,493
Montgomery,Clark,County Council,At Large,3,REP,Gary D BOOTH,581
Montgomery,Clark,County Council,At Large,3,REP,Mike WARREN,485
Montgomery,Clark,South Montgomery School Board,Ripley,1,NP,Brevan T CORNELIUS,262
Montgomery,Clark,South Montgomery School Board,Ripley,1,NP,Daryl W HUTSON,351
