county,precinct,office,district,seats,party,candidate,votes
Elkhart,Baugo 01,President,,1,,Write-In,0
Elkhart,Baugo 01,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,2
Elkhart,Baugo 01,President,,1,REP,Donald J. TRUMP / JD Vance,306
Elkhart,Baugo 01,President,,1,DEM,Kamala D. HARRIS / Tim Walz,135
Elkhart,Baugo 01,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,4
Elkhart,Baugo 01,U.S. Senate,,1,LBT,Andrew HORNING,5
Elkhart,Baugo 01,U.S. Senate,,1,,Write-In,0
Elkhart,Baugo 01,U.S. Senate,,1,REP,Jim BANKS,313
Elkhart,Baugo 01,U.S. Senate,,1,DEM,Valerie McCRAY,123
Elkhart,Baugo 01,U.S. House,2,1,DEM,Lori A CAMP,127
Elkhart,Baugo 01,U.S. House,2,1,,Write-In,0
Elkhart,Baugo 01,U.S. House,2,1,REP,Rudy YAKYM,312
Elkhart,Baugo 01,U.S. House,2,1,LBT,William E. HENRY,5
Elkhart,Baugo 01,Governor,,1,,Write-In,0
Elkhart,Baugo 01,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,13
Elkhart,Baugo 01,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,143
Elkhart,Baugo 01,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,286
Elkhart,Baugo 01,Attorney General,,1,DEM,Destiny WELLS,142
Elkhart,Baugo 01,Attorney General,,1,REP,Todd ROKITA,301
Elkhart,Baugo 01,State Senate,12,1,REP,Blake DORIOT,353
Elkhart,Baugo 01,State House,48,1,REP,Doug MILLER,348
Elkhart,Baugo 01,County Commissioner,2,1,REP,Bradley D ROGERS,346
Elkhart,Baugo 01,County Commissioner,3,1,REP,Suzie WEIRICK,353
Elkhart,Baugo 01,County Coroner,,1,REP,Mervin D MILLER,354
Elkhart,Baugo 01,County Surveyor,,1,REP,Philip C BARKER,352
Elkhart,Baugo 01,County Treasurer,,1,REP,Cynthia (Cindy) CHADWELL,346
Elkhart,Baugo 01,County Council,At Large,3,REP,Adam M BUJALSKI,274
Elkhart,Baugo 01,County Council,At Large,3,DEM,Kevin PETERS,117
Elkhart,Baugo 01,County Council,At Large,3,DEM,Ralph SPELBRING,98
Elkhart,Baugo 01,County Council,At Large,3,REP,Steven E CLARK,265
Elkhart,Baugo 01,County Council,At Large,3,REP,Thomas W STUMP,273
Elkhart,Baugo 01,Elkhart Superior Court Judge,2,1,REP,Andrew M. HICKS,351
Elkhart,Baugo 01,Elkhart Superior Court Judge,6,1,REP,David C. BONFIGLIO,353
Elkhart,Baugo 01,Elkhart Baugo School Board,I,1,NP,Chris CARITHERS,216
