county,precinct,office,district,seats,party,candidate,votes
Vigo,01-A,President,,1,,Write-In,0
Vigo,01-A,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Vigo,01-A,President,,1,REP,Donald J. TRUMP / JD Vance,99
Vigo,01-A,President,,1,DEM,Kamala D. HARRIS / Tim Walz,136
Vigo,01-A,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,3
Vigo,01-A,U.S. Senate,,1,LBT,Andrew HORNING,6
Vigo,01-A,U.S. Senate,,1,,Write-In,0
Vigo,01-A,U.S. Senate,,1,REP,Jim BANKS,97
Vigo,01-A,U.S. Senate,,1,DEM,Valerie McCRAY,131
Vigo,01-A,U.S. House,8,1,DEM,Erik HURT,130
Vigo,01-A,U.S. House,8,1,LBT,K Richard FITZLAFF,8
Vigo,01-A,U.S. House,8,1,REP,Mark MESSMER,97
Vigo,01-A,Governor,,1,,Write-In,0
Vigo,01-A,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,4
Vigo,01-A,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,143
Vigo,01-A,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,89
Vigo,01-A,Attorney General,,1,DEM,Destiny WELLS,133
Vigo,01-A,Attorney General,,1,REP,Todd ROKITA,101
Vigo,01-A,State House,43,1,DEM,Tonya PFAFF,184
Vigo,01-A,County Auditor,,1,DEM,Cheryl A. LOUDERMILK,135
Vigo,01-A,County Auditor,,1,REP,Larry T. HUTCHINGS II,98
Vigo,01-A,County Commissioner,2,1,REP,Chris SWITZER,105
Vigo,01-A,County Commissioner,2,1,DEM,Courtney Indiana WEGER,127
Vigo,01-A,County Commissioner,3,1,REP,Mike MORRIS,104
Vigo,01-A,County Commissioner,3,1,DEM,Tony KASSISSIEH,130
Vigo,01-A,County Coroner,,1,DEM,Janie MYERS,143
Vigo,01-A,County Coroner,,1,REP,Travis NORRIS,92
Vigo,01-A,County Recorder,,1,REP,Diana WINSTED-SMITH,98
Vigo,01-A,County Recorder,,1,DEM,Nancy ALLSUP,135
Vigo,01-A,County Treasurer,,1,REP,Josie SWALLS-THOMPSON,109
