county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
Whitley,Cleveland NORTHEAST,Ballots Cast,,,,271,26,231,528
Whitley,Cleveland NORTHEAST,Registered Voters,,,,,,,777
Whitley,Cleveland NORTHEAST,Public Question-Const Amendment,,,Yes,158,6,109,273
Whitley,Cleveland NORTHEAST,Public Question-Const Amendment,,,No,91,13,89,193
Whitley,Cleveland NORTHEAST,President,,REP,Trump \ Vance,210,17,169,396
Whitley,Cleveland NORTHEAST,President,,DEM, Harris \ Walz,50,9,54,113
Whitley,Cleveland NORTHEAST,President,,LIB,Oliver \ Ter Maat,3,0,3,6
Whitley,Cleveland NORTHEAST,President,,WTP,Kennedy Jr. \ Shanahan,5,0,3,8
Whitley,Cleveland NORTHEAST,President,,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHEAST,U.S. Senate,,REP,Jim Banks,205,15,160,380
Whitley,Cleveland NORTHEAST,U.S. Senate,,DEM, Valerie McCray,37,9,53,99
Whitley,Cleveland NORTHEAST,U.S. Senate,,LIB,Andrew Horning,15,1,11,27
Whitley,Cleveland NORTHEAST,U.S. Senate,,,Write-ins,0,1,0,1
Whitley,Cleveland NORTHEAST,Governor,,REP,Braun \ Beckwith,170,16,145,331
Whitley,Cleveland NORTHEAST,Governor,,DEM, Mccormick \ Goodin,53,8,55,116
Whitley,Cleveland NORTHEAST,Governor,,LIB,Rainwater \ Hudson,34,2,25,61
Whitley,Cleveland NORTHEAST,Governor,,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHEAST,Attorney General,,REP,Todd Rokita,206,15,164,385
Whitley,Cleveland NORTHEAST,Attorney General,,DEM, Destiny Wells,55,9,56,120
Whitley,Cleveland NORTHEAST,U.S. House,3,REP,Marlin A. Stutzman,195,14,156,365
Whitley,Cleveland NORTHEAST,U.S. House,3,DEM, Kiley M. Adolph,44,9,52,105
Whitley,Cleveland NORTHEAST,U.S. House,3,LIB,Jarrad Lancaster,21,3,16,40
Whitley,Cleveland NORTHEAST,U.S. House,3,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHEAST,State Senate,16,REP,Justin Busch,232,18,180,430
Whitley,Cleveland NORTHEAST,State House,83,REP,Christopher N. Judy,208,16,165,389
Whitley,Cleveland NORTHEAST,State House,83,DEM, Kyle thele,45,9,54,108
Whitley,Cleveland NORTHEAST,County Treasurer,,REP,Kay Gatton,222,20,182,424
Whitley,Cleveland NORTHEAST,County Coroner,,REP,Scott Smith,225,20,180,425
Whitley,Cleveland NORTHEAST,County Surveyor,,REP,Dane Drew,221,19,179,419
Whitley,Cleveland NORTHEAST,County Commissioner District 1,,REP,Chad Banks,226,18,178,422
Whitley,Cleveland NORTHEAST,County Commissioner District 3,,REP,Theresa (Green) Baysinger,218,19,169,406
Whitley,Cleveland NORTHEAST,County Council Member At Large,,REP,Thor Allan Hodges,153,15,111,279
Whitley,Cleveland NORTHEAST,County Council Member At Large,,REP,Tim Longenbaugh,153,12,104,269
Whitley,Cleveland NORTHEAST,County Council Member At Large,,REP,Joan Western,126,11,98,235
Whitley,Cleveland NORTHEAST,County Council Member At Large,,LIB,Ryan Day,63,3,54,120
Whitley,Cleveland NORTHEAST,Whitko School Board District 1,,,Stephanie Campbell,128,7,87,222
Whitley,Cleveland NORTHEAST,Whitko School Board District 1,,,Georgia M. Tenney,106,12,96,214
Whitley,Cleveland NORTHEAST,Whitko School Board District 2,,,No Candidate Filed,0,0,0,0
Whitley,Cleveland NORTHEAST,Whitko School Board District 3,,,Micah R Cokl,203,17,152,372
Whitley,Cleveland NORTHEAST,IN Supreme Court-Rush,,,Yes,162,14,131,307
Whitley,Cleveland NORTHEAST,IN Supreme Court-Rush,,,No,58,2,47,107
Whitley,Cleveland NORTHEAST,IN Supreme Court-Massa,,,Yes,154,11,126,291
Whitley,Cleveland NORTHEAST,IN Supreme Court-Massa,,,No,62,6,50,118
Whitley,Cleveland NORTHEAST,IN Supreme Court-Molter,,,Yes,162,12,128,302
Whitley,Cleveland NORTHEAST,IN Supreme Court-Molter,,,No,57,5,50,112
Whitley,Cleveland NORTHEAST,Court of Appeals Dist 4-Pyle III,,,Yes,164,13,130,307
Whitley,Cleveland NORTHEAST,Court of Appeals Dist 4-Pyle III,,,No,54,4,47,105
Whitley,Cleveland NORTHEAST,Straight Party,,DEM,Democratic Party,,,,31
Whitley,Cleveland NORTHEAST,Straight Party,,REP,Republican Party,,,,153
Whitley,Cleveland NORTHEAST,Ballots Cast,,,,360,47,231,638
Whitley,Cleveland NORTHEAST,Registered Voters,,,,,,,892
Whitley,Cleveland NORTHWEST,Public Question-Const Amendment,,,Yes,201,13,107,321
Whitley,Cleveland NORTHWEST,Public Question-Const Amendment,,,No,126,17,101,244
Whitley,Cleveland NORTHWEST,President,,REP,Trump \ Vance,267,22,160,449
Whitley,Cleveland NORTHWEST,President,,DEM, Harris \ Walz,75,24,62,161
Whitley,Cleveland NORTHWEST,President,,LIB,Oliver \ Ter Maat,4,0,2,6
Whitley,Cleveland NORTHWEST,President,,WTP,Kennedy Jr. \ Shanahan,9,1,1,11
Whitley,Cleveland NORTHWEST,President,,,Write-ins,2,0,0,2
Whitley,Cleveland NORTHWEST,U.S. Senate,,REP,Jim Banks,255,21,156,432
Whitley,Cleveland NORTHWEST,U.S. Senate,,DEM, Valerie McCray,73,21,59,153
Whitley,Cleveland NORTHWEST,U.S. Senate,,LIB,Andrew Horning,17,2,5,24
Whitley,Cleveland NORTHWEST,U.S. Senate,,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHWEST,Governor,,REP,Braun \ Beckwith,209,19,145,373
Whitley,Cleveland NORTHWEST,Governor,,DEM, Mccormick \ Goodin,82,21,67,170
Whitley,Cleveland NORTHWEST,Governor,,LIB,Rainwater \ Hudson,49,5,9,63
Whitley,Cleveland NORTHWEST,Governor,,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHWEST,Attorney General,,REP,Todd Rokita,253,27,164,444
Whitley,Cleveland NORTHWEST,Attorney General,,DEM, Destiny Wells,89,19,63,171
Whitley,Cleveland NORTHWEST,U.S. House,3,REP,Marlin A. Stutzman,243,23,153,419
Whitley,Cleveland NORTHWEST,U.S. House,3,DEM, Kiley M. Adolph,63,18,56,137
Whitley,Cleveland NORTHWEST,U.S. House,3,LIB,Jarrad Lancaster,40,4,19,63
Whitley,Cleveland NORTHWEST,U.S. House,3,,Write-ins,0,0,0,0
Whitley,Cleveland NORTHWEST,State Senate,16,REP,Justin Busch,300,29,180,509
Whitley,Cleveland NORTHWEST,State House,83,REP,Christopher N. Judy,270,27,160,457
Whitley,Cleveland NORTHWEST,State House,83,DEM, Kyle thele,65,17,61,143
Whitley,Cleveland NORTHWEST,County Treasurer,,REP,Kay Gatton,294,30,177,501
Whitley,Cleveland NORTHWEST,County Coroner,,REP,Scott Smith,296,30,183,509
Whitley,Cleveland NORTHWEST,County Surveyor,,REP,Dane Drew,292,31,181,504
