county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Starke,01-California 01,Registered Voters,,,,,824,,,
Starke,01-California 01,Ballots Cast,,,,,489,,,
Starke,01-California 01,Public Question-Const Amendment,,1,,Yes,189,92,88,9
Starke,01-California 01,Public Question-Const Amendment,,1,,No,192,98,82,12
Starke,01-California 01,President,,1,REP,Donald J. TRUMP / JD VANCE,372,190,170,12
Starke,01-California 01,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,109,64,32,13
Starke,01-California 01,President,,1,LBT,Chase OLIVER / Mike terr MAAT,4,2,2,0
Starke,01-California 01,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,0,2,0
Starke,01-California 01,President,,1,,Write-In,0,0,0,0
Starke,01-California 01,U.S. Senate,,1,REP,Jim BANKS,331,171,150,10
Starke,01-California 01,U.S. Senate,,1,DEM,Valerie McCRAY,99,59,27,13
Starke,01-California 01,U.S. Senate,,1,LBT,Andrew HORNING,12,5,6,1
Starke,01-California 01,U.S. Senate,,1,,Write-In,0,0,0,0
Starke,01-California 01,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,298,164,125,9
Starke,01-California 01,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,116,64,39,13
Starke,01-California 01,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,35,11,21,3
Starke,01-California 01,Governor,,1,,Write-In,0,0,0,0
Starke,01-California 01,Attorney General,,1,REP,Todd ROKITA,352,183,156,13
Starke,01-California 01,Attorney General,,1,DEM,Destiny WELLS,105,58,36,11
Starke,01-California 01,U.S. House,2,1,REP,Rudy YAKYM,348,179,155,14
Starke,01-California 01,U.S. House,2,1,DEM,Lori A. CAMP,104,62,31,11
Starke,01-California 01,U.S. House,2,1,LBT,William E. HENRY,11,3,8,0
Starke,01-California 01,U.S. House,2,1,,Write-In,0,0,0,0
Starke,01-California 01,State Senate,8,1,REP,Mike BOHACEK,373,192,166,15
Starke,01-California 01,State Senate,8,1,DEM,Leon P. SMITH,90,52,29,9
Starke,01-California 01,State House,16,1,REP,Kendell CULP,345,178,154,13
Starke,01-California 01,State House,16,1,DEM,Dennis COLLINS,100,59,30,11
Starke,01-California 01,County Treasurer,,1,REP,Kelly GRAHAM,373,191,167,15
Starke,01-California 01,County Surveyor,,1,REP,Gwen RENTZ,342,179,148,15
Starke,01-California 01,County Surveyor,,1,DEM,Thomas SCHOUTEN,109,61,38,10
Starke,01-California 01,County Commissioner,1,1,REP,Michael VANDEMARK,341,177,148,16
Starke,01-California 01,County Commissioner,1,1,DEM,Lonnie BOLEY,108,63,36,9
Starke,01-California 01,County Commissioner,3,1,REP,Charles R. CHESAK,376,193,169,14
Starke,01-California 01,County Council Member,At Large,3,REP,Bill R. CRASE JR.,250,137,99,14
Starke,01-California 01,County Council Member,At Large,3,REP,Kay GUDEMAN,235,129,97,9
Starke,01-California 01,County Council Member,At Large,3,REP,E. Todd LEINBACH,216,109,95,12
