county,precinct,office,district,candidate,party,election_day,early_voting,mail,votes
Ripley,ADAMS 1 - BATESVILLE,Registered Voters,,,,,,,747
Ripley,ADAMS 1 - BATESVILLE,Ballots Cast,,,,,,,483
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,151,88,6,245
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,29,17,2,48
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,WE THE PEOPLE PARTY,WTP,3,2,0,5
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,Under Votes,,119,56,10,185
Ripley,ADAMS 1 - BATESVILLE,STRAIGHT PARTY,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,PUBLIC QUESTION #1,,YES,,126,71,10,207
Ripley,ADAMS 1 - BATESVILLE,PUBLIC QUESTION #1,,NO,,121,64,5,190
Ripley,ADAMS 1 - BATESVILLE,PUBLIC QUESTION #1,,Under Votes,,55,28,3,86
Ripley,ADAMS 1 - BATESVILLE,PUBLIC QUESTION #1,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,Donald J. Trump,REP,239,126,10,375
Ripley,ADAMS 1 - BATESVILLE,President,,Kamala D. Harris,DEM,52,35,7,94
Ripley,ADAMS 1 - BATESVILLE,President,,Chase Oliver,LIB,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,Robert F. Kennedy Jr.,WTP,4,1,1,6
Ripley,ADAMS 1 - BATESVILLE,President,,ANDRE RAMON McNEIL SR. (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,CAROL ASHER (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,CHERUNDA LYNN FOX (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,CLAUDIA De la CRUZ/KARINA GARCIA (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,CORNEL WEST/MELINA ABDULLAH (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,DOUG JENKINS (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,NALA BAOZUN SCOTT JOHNSON JR. (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,PAIJ BORING (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,PETER SONSKI (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,SHONDRA IRVING (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,SUSAN MAUDE BUCHSER (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,TOM HOEFLING/ANDY PRIOR (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,WILLIAM CODY NALBACH (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,Under Votes,,7,1,0,8
Ripley,ADAMS 1 - BATESVILLE,President,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,President,,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,JIM BANKS,REP,236,126,10,372
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,VALERIE McCRAY,DEM,56,32,7,95
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,ANDREW HORNING,LIB,4,2,1,7
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,ANTONIO XAVIER ALVAREZ (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,PHILLIP D. BEACHY (PHIL) (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,Under Votes,,6,3,0,9
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. Senate,,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,Governor,,MIKE BRAUN,REP,213,122,13,348
Ripley,ADAMS 1 - BATESVILLE,Governor,,JENNIFER G. McCORMICK,DEM,73,35,5,113
Ripley,ADAMS 1 - BATESVILLE,Governor,,DONALD RAINWATER,LIB,13,3,0,16
Ripley,ADAMS 1 - BATESVILLE,Governor,,CHRISTOPHER RYAN STRIED (W),,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,Governor,,Under Votes,,3,3,0,6
Ripley,ADAMS 1 - BATESVILLE,Governor,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,Governor,,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,Attorney General,,TODD ROKITA,REP,233,126,13,372
Ripley,ADAMS 1 - BATESVILLE,Attorney General,,DESTINY WELLS,DEM,61,33,5,99
Ripley,ADAMS 1 - BATESVILLE,Attorney General,,Under Votes,,8,4,0,12
Ripley,ADAMS 1 - BATESVILLE,Attorney General,,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,Attorney General,,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,ERIN HOUCHIN,REP,242,125,11,378
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,TIMOTHY (TIM) PECK,DEM,51,35,7,93
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,RUSSELL (RUSS) BROOKSBANK,LIB,3,1,0,4
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,Under Votes,,6,2,0,8
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,U.S. House,9,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,State Senate,42,JEAN LEISING,REP,272,144,15,431
Ripley,ADAMS 1 - BATESVILLE,State Senate,42,Under Votes,,30,19,3,52
Ripley,ADAMS 1 - BATESVILLE,State Senate,42,Over Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,State Senate,42,Invalid Votes,,0,0,0,0
Ripley,ADAMS 1 - BATESVILLE,State House,55,LINDSAY PATTERSON,REP,243,126,12,381
Ripley,ADAMS 1 - BATESVILLE,State House,55,VICTORIA C MARTZ,DEM,51,35,6,92
