county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee,provisional
Floyd,Franklin - 1,Registered Voters,,,,1087,,,,
Floyd,Franklin - 1,Ballots Cast,,,,681,449,206,26,0
Floyd,Franklin - 1,Public Question-Const Amendment,,,Yes,323,215,96,12,0
Floyd,Franklin - 1,Public Question-Const Amendment,,,No,358,234,110,14,0
Floyd,Franklin - 1,Straight Ticket,,REP,Republican,332,233,89,10,0
Floyd,Franklin - 1,Straight Ticket,,DEM,Democratic,128,79,33,16,0
Floyd,Franklin - 1,Straight Ticket,,LBT,Libertarian,3,2,1,0,0
Floyd,Franklin - 1,Straight Ticket,,WTP,We The People,8,2,6,0,0
Floyd,Franklin - 1,President,,REP,Donald J TRUMP / JD VANCE,515,326,172,17,0
Floyd,Franklin - 1,President,,DEM,Kamala D HARRIS / Tim WALZ,220,145,53,22,0
Floyd,Franklin - 1,President,,LBT,Chase OLIVER / Mike ter MAAT,5,1,3,1,0
Floyd,Franklin - 1,President,,WTP,Robert F KENNEDY JR / Nichole SHANAHAN,8,4,4,0,0
Floyd,Franklin - 1,President,,,Write-In,2,2,0,0,0
Floyd,Franklin - 1,U.S. Senate,,REP,Jim BANKS,503,324,161,18,0
Floyd,Franklin - 1,U.S. Senate,,DEM,Valerie McCRAY,221,146,53,22,0
Floyd,Franklin - 1,U.S. Senate,,LBT,Andrew HORNING,15,7,8,0,0
Floyd,Franklin - 1,U.S. Senate,,,Write-In,0,0,0,0,0
Floyd,Franklin - 1,Governor,,REP,Mike BRAUN / Micah BECKWITH,495,324,154,17,0
Floyd,Franklin - 1,Governor,,DEM,Jennifer G McCORMICK / Terry GOODIN,230,148,60,22,0
Floyd,Franklin - 1,Governor,,LBT,Donald RAINWATER / Tonya HUDSON,21,9,11,1,0
Floyd,Franklin - 1,Governor,,,Write-In,0,0,0,0,0
Floyd,Franklin - 1,Attorney General,,REP,Todd ROKITA,509,331,160,18,0
Floyd,Franklin - 1,Attorney General,,DEM,Destiny WELLS,232,149,61,22,0
Floyd,Franklin - 1,U.S. House,9,REP,Erin HOUCHIN,509,335,157,17,0
Floyd,Franklin - 1,U.S. House,9,DEM,Timothy (Tim) PECK,213,136,55,22,0
Floyd,Franklin - 1,U.S. House,9,LBT,Russell (Russ) BROOKSBANK,20,9,10,1,0
