county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee,provisional
Floyd,Franklin - 1,State House,72,REP,Edward D (Ed) CLERE,517,339,159,19,0
Floyd,Franklin - 1,State House,72,DEM,Jason APPLEGATE,220,138,61,21,0
Floyd,Franklin - 1,County Recorder,,REP,Lois NAVILLE ENDRIS,562,363,177,22,0
Floyd,Franklin - 1,County Recorder,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Franklin - 1,County Treasurer,,REP,Steve BURKS,506,324,162,20,0
Floyd,Franklin - 1,County Treasurer,,DEM,Vickie TENCER,225,149,56,20,0
Floyd,Franklin - 1,County Coroner,,REP,Matthew TOMLIN,494,322,153,19,0
Floyd,Franklin - 1,County Coroner,,DEM,Amy M CULWELL,242,156,65,21,0
Floyd,Franklin - 1,County Surveyor,,REP,John G BRINKWORTH III,565,362,181,22,0
Floyd,Franklin - 1,County Surveyor,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Franklin - 1,County Commissioner,2,REP,Frank A LOOP,498,325,154,19,0
Floyd,Franklin - 1,County Commissioner,2,DEM,Veronica M COMBS,240,153,66,21,0
Floyd,Franklin - 1,County Commissioner,3,REP,Jason SHARP,463,305,142,16,0
Floyd,Franklin - 1,County Commissioner,3,DEM,Tim HARBISON,267,170,74,23,0
Floyd,Franklin - 1,County Council Member,At Large,REP,D M BAGSHAW,393,255,123,15,0
Floyd,Franklin - 1,County Council Member,At Large,REP,Matt MILLIES,379,251,114,14,0
Floyd,Franklin - 1,County Council Member,At Large,REP,Sam SARKISIAN,367,247,106,14,0
Floyd,Franklin - 1,County Council Member,At Large,DEM,Daniel T HARRIS,169,115,41,13,0
Floyd,Franklin - 1,County Council Member,At Large,DEM,Ellen MORRISON KELLEY,203,140,50,13,0
Floyd,Franklin - 1,County Council Member,At Large,DEM,Brad STRIEGEL,236,155,68,13,0
Floyd,Franklin - 1,County Council Member,At Large,LBT,Morgan BEATTY,76,49,26,1,0
Floyd,Franklin - 1,Floyd County School Board,At Large,,Ann CURRUTHER,232,153,72,7,0
Floyd,Franklin - 1,Floyd County School Board,At Large,,Jennie HIGBIE,132,83,42,7,0
Floyd,Franklin - 1,Floyd County School Board,At Large,,Matt MAYFIELD,184,113,64,7,0
Floyd,Franklin - 1,Floyd County School Board,3,,Elizabeth A GALLIGAN,448,278,152,18,0
Floyd,Franklin - 1,Floyd County School Board,4,,Rebecca Jo GARDENOUR,389,245,127,17,0
Floyd,Franklin - 1,IN Supreme Court-Rush,,,Yes,431,280,134,17,0
Floyd,Franklin - 1,IN Supreme Court-Rush,,,No,174,107,57,10,0
Floyd,Franklin - 1,IN Supreme Court-Massa,,,Yes,413,270,128,15,0
Floyd,Franklin - 1,IN Supreme Court-Massa,,,No,178,108,58,12,0
Floyd,Franklin - 1,IN Supreme Court-Molter,,,Yes,408,268,119,21,0
Floyd,Franklin - 1,IN Supreme Court-Molter,,,No,186,114,66,6,0
Floyd,Franklin - 1,Court of Appeals Dist 1-Foley,,,Yes,431,280,128,23,0
Floyd,Franklin - 1,Court of Appeals Dist 1-Foley,,,No,154,95,55,4,0
Floyd,Franklin - 1,Court of Appeals Dist 4-Pyle III,,,Yes,416,272,121,23,0
Floyd,Franklin - 1,Court of Appeals Dist 4-Pyle III,,,No,162,97,61,4,0
Floyd,Georgetown - 1,Registered Voters,,,,1280,,,,
Floyd,Georgetown - 1,Ballots Cast,,,,857,556,259,42,0
Floyd,Georgetown - 1,Public Question-Const Amendment,,,Yes,398,255,114,29,0
Floyd,Georgetown - 1,Public Question-Const Amendment,,,No,459,301,145,13,0
Floyd,Georgetown - 1,Straight Ticket,,REP,Republican,346,217,114,15,0
Floyd,Georgetown - 1,Straight Ticket,,DEM,Democratic,181,123,46,12,0
Floyd,Georgetown - 1,Straight Ticket,,LBT,Libertarian,4,3,1,0,0
Floyd,Georgetown - 1,Straight Ticket,,WTP,We The People,5,4,1,0,0
Floyd,Georgetown - 1,President,,REP,Donald J TRUMP / JD VANCE,583,361,187,35,0
Floyd,Georgetown - 1,President,,DEM,Kamala D HARRIS / Tim WALZ,339,231,84,24,0
Floyd,Georgetown - 1,President,,LBT,Chase OLIVER / Mike ter MAAT,11,8,3,0,0
Floyd,Georgetown - 1,President,,WTP,Robert F KENNEDY JR / Nichole SHANAHAN,13,5,8,0,0
Floyd,Georgetown - 1,President,,,Write-In,1,1,0,0,0
Floyd,Georgetown - 1,U.S. Senate,,REP,Jim BANKS,583,367,180,36,0
Floyd,Georgetown - 1,U.S. Senate,,DEM,Valerie McCRAY,326,218,86,22,0
Floyd,Georgetown - 1,U.S. Senate,,LBT,Andrew HORNING,32,14,17,1,0
Floyd,Georgetown - 1,U.S. Senate,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 1,Governor,,REP,Mike BRAUN / Micah BECKWITH,572,358,180,34,0
Floyd,Georgetown - 1,Governor,,DEM,Jennifer G McCORMICK / Terry GOODIN,355,235,95,25,0
Floyd,Georgetown - 1,Governor,,LBT,Donald RAINWATER / Tonya HUDSON,17,8,8,1,0
Floyd,Georgetown - 1,Governor,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 1,Attorney General,,REP,Todd ROKITA,586,371,181,34,0
Floyd,Georgetown - 1,Attorney General,,DEM,Destiny WELLS,344,222,99,23,0
Floyd,Georgetown - 1,U.S. House,9,REP,Erin HOUCHIN,594,377,180,37,0
Floyd,Georgetown - 1,U.S. House,9,DEM,Timothy (Tim) PECK,313,208,85,20,0
Floyd,Georgetown - 1,U.S. House,9,LBT,Russell (Russ) BROOKSBANK,26,12,13,1,0
Floyd,Georgetown - 1,State House,72,REP,Edward D (Ed) CLERE,607,384,185,38,0
Floyd,Georgetown - 1,State House,72,DEM,Jason APPLEGATE,328,210,97,21,0
Floyd,Georgetown - 1,County Recorder,,REP,Lois NAVILLE ENDRIS,747,465,241,41,0
Floyd,Georgetown - 1,County Recorder,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 1,County Treasurer,,REP,Steve BURKS,592,370,188,34,0
Floyd,Georgetown - 1,County Treasurer,,DEM,Vickie TENCER,335,223,90,22,0
Floyd,Georgetown - 1,County Coroner,,REP,Matthew TOMLIN,517,320,166,31,0
Floyd,Georgetown - 1,County Coroner,,DEM,Amy M CULWELL,404,272,106,26,0
Floyd,Georgetown - 1,County Surveyor,,REP,John G BRINKWORTH III,726,453,232,41,0
Floyd,Georgetown - 1,County Surveyor,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 1,County Commissioner,2,REP,Frank A LOOP,612,389,189,34,0
Floyd,Georgetown - 1,County Commissioner,2,DEM,Veronica M COMBS,321,207,90,24,0
Floyd,Georgetown - 1,County Commissioner,3,REP,Jason SHARP,551,349,168,34,0
Floyd,Georgetown - 1,County Commissioner,3,DEM,Tim HARBISON,376,244,108,24,0
Floyd,Georgetown - 1,County Council Member,At Large,REP,D M BAGSHAW,456,293,141,22,0
Floyd,Georgetown - 1,County Council Member,At Large,REP,Matt MILLIES,448,294,133,21,0
Floyd,Georgetown - 1,County Council Member,At Large,REP,Sam SARKISIAN,473,312,137,24,0
Floyd,Georgetown - 1,County Council Member,At Large,DEM,Daniel T HARRIS,248,161,72,15,0
Floyd,Georgetown - 1,County Council Member,At Large,DEM,Ellen MORRISON KELLEY,285,185,81,19,0
Floyd,Georgetown - 1,County Council Member,At Large,DEM,Brad STRIEGEL,391,254,114,23,0
Floyd,Georgetown - 1,County Council Member,At Large,LBT,Morgan BEATTY,110,67,39,4,0
Floyd,Georgetown - 1,Floyd County School Board,At Large,,Ann CURRUTHER,311,208,86,17,0
Floyd,Georgetown - 1,Floyd County School Board,At Large,,Jennie HIGBIE,226,145,68,13,0
Floyd,Georgetown - 1,Floyd County School Board,At Large,,Matt MAYFIELD,209,121,74,14,0
Floyd,Georgetown - 1,Floyd County School Board,3,,Elizabeth A GALLIGAN,606,382,192,32,0
Floyd,Georgetown - 1,Floyd County School Board,4,,Rebecca Jo GARDENOUR,559,340,185,34,0
Floyd,Georgetown - 1,IN Supreme Court-Rush,,,Yes,544,342,171,31,0
Floyd,Georgetown - 1,IN Supreme Court-Rush,,,No,198,136,52,10,0
Floyd,Georgetown - 1,IN Supreme Court-Massa,,,Yes,524,334,164,26,0
Floyd,Georgetown - 1,IN Supreme Court-Massa,,,No,211,140,56,15,0
Floyd,Georgetown - 1,IN Supreme Court-Molter,,,Yes,523,329,166,28,0
Floyd,Georgetown - 1,IN Supreme Court-Molter,,,No,211,145,52,14,0
Floyd,Georgetown - 1,Court of Appeals Dist 1-Foley,,,Yes,540,345,164,31,0
Floyd,Georgetown - 1,Court of Appeals Dist 1-Foley,,,No,199,132,56,11,0
Floyd,Georgetown - 1,Court of Appeals Dist 4-Pyle III,,,Yes,522,331,158,33,0
Floyd,Georgetown - 1,Court of Appeals Dist 4-Pyle III,,,No,208,139,60,9,0
Floyd,Georgetown - 2,Registered Voters,,,,1511,,,,
Floyd,Georgetown - 2,Ballots Cast,,,,980,589,359,32,0
Floyd,Georgetown - 2,Public Question-Const Amendment,,,Yes,504,299,186,19,0
Floyd,Georgetown - 2,Public Question-Const Amendment,,,No,476,290,173,13,0
Floyd,Georgetown - 2,Straight Ticket,,REP,Republican,484,296,178,10,0
Floyd,Georgetown - 2,Straight Ticket,,DEM,Democratic,203,133,60,10,0
Floyd,Georgetown - 2,Straight Ticket,,LBT,Libertarian,0,0,0,0,0
Floyd,Georgetown - 2,Straight Ticket,,WTP,We The People,3,1,1,1,0
Floyd,Georgetown - 2,President,,REP,Donald J TRUMP / JD VANCE,703,417,266,20,0
Floyd,Georgetown - 2,President,,DEM,Kamala D HARRIS / Tim WALZ,364,219,118,27,0
Floyd,Georgetown - 2,President,,LBT,Chase OLIVER / Mike ter MAAT,5,2,3,0,0
Floyd,Georgetown - 2,President,,WTP,Robert F KENNEDY JR / Nichole SHANAHAN,14,6,7,1,0
Floyd,Georgetown - 2,President,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 2,U.S. Senate,,REP,Jim BANKS,695,423,252,20,0
Floyd,Georgetown - 2,U.S. Senate,,DEM,Valerie McCRAY,358,212,118,28,0
Floyd,Georgetown - 2,U.S. Senate,,LBT,Andrew HORNING,19,6,13,0,0
Floyd,Georgetown - 2,U.S. Senate,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 2,Governor,,REP,Mike BRAUN / Micah BECKWITH,686,414,252,20,0
Floyd,Georgetown - 2,Governor,,DEM,Jennifer G McCORMICK / Terry GOODIN,372,221,124,27,0
Floyd,Georgetown - 2,Governor,,LBT,Donald RAINWATER / Tonya HUDSON,23,8,13,2,0
Floyd,Georgetown - 2,Governor,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 2,Attorney General,,REP,Todd ROKITA,717,435,262,20,0
Floyd,Georgetown - 2,Attorney General,,DEM,Destiny WELLS,358,209,121,28,0
Floyd,Georgetown - 2,U.S. House,9,REP,Erin HOUCHIN,709,427,262,20,0
Floyd,Georgetown - 2,U.S. House,9,DEM,Timothy (Tim) PECK,339,201,110,28,0
Floyd,Georgetown - 2,U.S. House,9,LBT,Russell (Russ) BROOKSBANK,29,13,15,1,0
Floyd,Georgetown - 2,State House,72,REP,Edward D (Ed) CLERE,709,426,261,22,0
Floyd,Georgetown - 2,State House,72,DEM,Jason APPLEGATE,361,214,122,25,0
Floyd,Georgetown - 2,County Recorder,,REP,Lois NAVILLE ENDRIS,823,486,312,25,0
Floyd,Georgetown - 2,County Recorder,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 2,County Treasurer,,REP,Steve BURKS,701,419,262,20,0
Floyd,Georgetown - 2,County Treasurer,,DEM,Vickie TENCER,349,209,113,27,0
Floyd,Georgetown - 2,County Coroner,,REP,Matthew TOMLIN,655,384,253,18,0
Floyd,Georgetown - 2,County Coroner,,DEM,Amy M CULWELL,400,248,124,28,0
Floyd,Georgetown - 2,County Surveyor,,REP,John G BRINKWORTH III,816,478,314,24,0
Floyd,Georgetown - 2,County Surveyor,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 2,County Commissioner,2,REP,Frank A LOOP,708,424,261,23,0
Floyd,Georgetown - 2,County Commissioner,2,DEM,Veronica M COMBS,354,209,121,24,0
Floyd,Georgetown - 2,County Commissioner,3,REP,Jason SHARP,669,400,249,20,0
Floyd,Georgetown - 2,County Commissioner,3,DEM,Tim HARBISON,391,229,136,26,0
Floyd,Georgetown - 2,County Council Member,At Large,REP,D M BAGSHAW,565,351,203,11,0
Floyd,Georgetown - 2,County Council Member,At Large,REP,Matt MILLIES,562,353,195,14,0
Floyd,Georgetown - 2,County Council Member,At Large,REP,Sam SARKISIAN,564,359,190,15,0
Floyd,Georgetown - 2,County Council Member,At Large,DEM,Daniel T HARRIS,268,165,86,17,0
Floyd,Georgetown - 2,County Council Member,At Large,DEM,Ellen MORRISON KELLEY,330,196,114,20,0
Floyd,Georgetown - 2,County Council Member,At Large,DEM,Brad STRIEGEL,398,233,141,24,0
Floyd,Georgetown - 2,County Council Member,At Large,LBT,Morgan BEATTY,95,45,47,3,0
Floyd,Georgetown - 2,Floyd County School Board,At Large,,Ann CURRUTHER,321,197,117,7,0
Floyd,Georgetown - 2,Floyd County School Board,At Large,,Jennie HIGBIE,229,132,78,19,0
Floyd,Georgetown - 2,Floyd County School Board,At Large,,Matt MAYFIELD,282,161,112,9,0
Floyd,Georgetown - 2,Floyd County School Board,3,,Elizabeth A GALLIGAN,691,389,278,24,0
Floyd,Georgetown - 2,Floyd County School Board,4,,Rebecca Jo GARDENOUR,607,350,232,25,0
Floyd,Georgetown - 2,IN Supreme Court-Rush,,,Yes,614,378,218,18,0
Floyd,Georgetown - 2,IN Supreme Court-Rush,,,No,248,140,95,13,0
Floyd,Georgetown - 2,IN Supreme Court-Massa,,,Yes,610,382,211,17,0
Floyd,Georgetown - 2,IN Supreme Court-Massa,,,No,245,133,98,14,0
Floyd,Georgetown - 2,IN Supreme Court-Molter,,,Yes,616,382,216,18,0
Floyd,Georgetown - 2,IN Supreme Court-Molter,,,No,241,135,93,13,0
Floyd,Georgetown - 2,Court of Appeals Dist 1-Foley,,,Yes,627,387,221,19,0
Floyd,Georgetown - 2,Court of Appeals Dist 1-Foley,,,No,227,128,88,11,0
Floyd,Georgetown - 2,Court of Appeals Dist 4-Pyle III,,,Yes,618,386,213,19,0
Floyd,Georgetown - 2,Court of Appeals Dist 4-Pyle III,,,No,234,129,95,10,0
Floyd,Georgetown - 3,Registered Voters,,,,1321,,,,
Floyd,Georgetown - 3,Ballots Cast,,,,931,553,345,33,0
Floyd,Georgetown - 3,Public Question-Const Amendment,,,Yes,493,288,189,16,0
Floyd,Georgetown - 3,Public Question-Const Amendment,,,No,438,265,156,17,0
Floyd,Georgetown - 3,Straight Ticket,,REP,Republican,474,268,198,8,0
Floyd,Georgetown - 3,Straight Ticket,,DEM,Democratic,208,144,53,11,0
Floyd,Georgetown - 3,Straight Ticket,,LBT,Libertarian,1,1,0,0,0
Floyd,Georgetown - 3,Straight Ticket,,WTP,We The People,4,2,2,0,0
Floyd,Georgetown - 3,President,,REP,Donald J TRUMP / JD VANCE,679,375,286,18,0
Floyd,Georgetown - 3,President,,DEM,Kamala D HARRIS / Tim WALZ,341,223,95,23,0
Floyd,Georgetown - 3,President,,LBT,Chase OLIVER / Mike ter MAAT,5,3,1,1,0
Floyd,Georgetown - 3,President,,WTP,Robert F KENNEDY JR / Nichole SHANAHAN,2,1,1,0,0
Floyd,Georgetown - 3,President,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 3,U.S. Senate,,REP,Jim BANKS,679,377,283,19,0
Floyd,Georgetown - 3,U.S. Senate,,DEM,Valerie McCRAY,330,214,94,22,0
Floyd,Georgetown - 3,U.S. Senate,,LBT,Andrew HORNING,18,10,6,2,0
Floyd,Georgetown - 3,U.S. Senate,,,Write-In,1,0,1,0,0
Floyd,Georgetown - 3,Governor,,REP,Mike BRAUN / Micah BECKWITH,668,378,272,18,0
Floyd,Georgetown - 3,Governor,,DEM,Jennifer G McCORMICK / Terry GOODIN,348,221,103,24,0
Floyd,Georgetown - 3,Governor,,LBT,Donald RAINWATER / Tonya HUDSON,15,5,9,1,0
Floyd,Georgetown - 3,Governor,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 3,Attorney General,,REP,Todd ROKITA,683,380,285,18,0
Floyd,Georgetown - 3,Attorney General,,DEM,Destiny WELLS,340,221,97,22,0
Floyd,Georgetown - 3,U.S. House,9,REP,Erin HOUCHIN,697,397,280,20,0
Floyd,Georgetown - 3,U.S. House,9,DEM,Timothy (Tim) PECK,320,199,99,22,0
Floyd,Georgetown - 3,U.S. House,9,LBT,Russell (Russ) BROOKSBANK,12,6,5,1,0
Floyd,Georgetown - 3,State House,72,REP,Edward D (Ed) CLERE,689,381,285,23,0
Floyd,Georgetown - 3,State House,72,DEM,Jason APPLEGATE,339,219,100,20,0
Floyd,Georgetown - 3,County Recorder,,REP,Lois NAVILLE ENDRIS,802,445,330,27,0
Floyd,Georgetown - 3,County Recorder,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 3,County Treasurer,,REP,Steve BURKS,680,380,280,20,0
Floyd,Georgetown - 3,County Treasurer,,DEM,Vickie TENCER,343,219,101,23,0
Floyd,Georgetown - 3,County Coroner,,REP,Matthew TOMLIN,637,353,266,18,0
Floyd,Georgetown - 3,County Coroner,,DEM,Amy M CULWELL,382,244,113,25,0
Floyd,Georgetown - 3,County Surveyor,,REP,John G BRINKWORTH III,792,439,326,27,0
Floyd,Georgetown - 3,County Surveyor,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 3,County Commissioner,2,REP,Frank A LOOP,695,397,279,19,0
Floyd,Georgetown - 3,County Commissioner,2,DEM,Veronica M COMBS,324,200,100,24,0
Floyd,Georgetown - 3,County Commissioner,3,REP,Jason SHARP,643,358,266,19,0
Floyd,Georgetown - 3,County Commissioner,3,DEM,Tim HARBISON,376,238,114,24,0
Floyd,Georgetown - 3,County Council Member,At Large,REP,D M BAGSHAW,564,319,233,12,0
Floyd,Georgetown - 3,County Council Member,At Large,REP,Matt MILLIES,561,319,229,13,0
Floyd,Georgetown - 3,County Council Member,At Large,REP,Sam SARKISIAN,561,336,207,18,0
Floyd,Georgetown - 3,County Council Member,At Large,DEM,Daniel T HARRIS,250,170,65,15,0
Floyd,Georgetown - 3,County Council Member,At Large,DEM,Ellen MORRISON KELLEY,291,187,89,15,0
Floyd,Georgetown - 3,County Council Member,At Large,DEM,Brad STRIEGEL,352,230,100,22,0
Floyd,Georgetown - 3,County Council Member,At Large,LBT,Morgan BEATTY,92,43,47,2,0
Floyd,Georgetown - 3,Floyd County School Board,At Large,,Ann CURRUTHER,336,209,116,11,0
Floyd,Georgetown - 3,Floyd County School Board,At Large,,Jennie HIGBIE,219,128,82,9,0
Floyd,Georgetown - 3,Floyd County School Board,At Large,,Matt MAYFIELD,257,140,107,10,0
Floyd,Georgetown - 3,Floyd County School Board,3,,Elizabeth A GALLIGAN,670,387,264,19,0
Floyd,Georgetown - 3,Floyd County School Board,4,,Rebecca Jo GARDENOUR,604,355,229,20,0
Floyd,Georgetown - 3,IN Supreme Court-Rush,,,Yes,611,374,220,17,0
Floyd,Georgetown - 3,IN Supreme Court-Rush,,,No,234,133,92,9,0
Floyd,Georgetown - 3,IN Supreme Court-Massa,,,Yes,615,367,229,19,0
Floyd,Georgetown - 3,IN Supreme Court-Massa,,,No,225,134,84,7,0
Floyd,Georgetown - 3,IN Supreme Court-Molter,,,Yes,613,364,232,17,0
Floyd,Georgetown - 3,IN Supreme Court-Molter,,,No,230,139,83,8,0
Floyd,Georgetown - 3,Court of Appeals Dist 1-Foley,,,Yes,597,352,226,19,0
Floyd,Georgetown - 3,Court of Appeals Dist 1-Foley,,,No,228,136,85,7,0
Floyd,Georgetown - 3,Court of Appeals Dist 4-Pyle III,,,Yes,585,349,218,18,0
Floyd,Georgetown - 3,Court of Appeals Dist 4-Pyle III,,,No,237,135,95,7,0
Floyd,Georgetown - 4,Registered Voters,,,,1716,,,,
Floyd,Georgetown - 4,Ballots Cast,,,,1192,716,437,39,0
Floyd,Georgetown - 4,Public Question-Const Amendment,,,Yes,592,348,228,16,0
Floyd,Georgetown - 4,Public Question-Const Amendment,,,No,600,368,209,23,0
Floyd,Georgetown - 4,Straight Ticket,,REP,Republican,557,321,220,16,0
Floyd,Georgetown - 4,Straight Ticket,,DEM,Democratic,213,142,56,15,0
Floyd,Georgetown - 4,Straight Ticket,,LBT,Libertarian,2,2,0,0,0
Floyd,Georgetown - 4,Straight Ticket,,WTP,We The People,7,4,3,0,0
Floyd,Georgetown - 4,President,,REP,Donald J TRUMP / JD VANCE,896,528,340,28,0
Floyd,Georgetown - 4,President,,DEM,Kamala D HARRIS / Tim WALZ,403,246,126,31,0
Floyd,Georgetown - 4,President,,LBT,Chase OLIVER / Mike ter MAAT,9,3,4,2,0
Floyd,Georgetown - 4,President,,WTP,Robert F KENNEDY JR / Nichole SHANAHAN,9,3,6,0,0
Floyd,Georgetown - 4,President,,,Write-In,2,0,2,0,0
Floyd,Georgetown - 4,U.S. Senate,,REP,Jim BANKS,898,522,345,31,0
Floyd,Georgetown - 4,U.S. Senate,,DEM,Valerie McCRAY,366,232,105,29,0
Floyd,Georgetown - 4,U.S. Senate,,LBT,Andrew HORNING,36,20,16,0,0
Floyd,Georgetown - 4,U.S. Senate,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 4,Governor,,REP,Mike BRAUN / Micah BECKWITH,891,518,345,28,0
Floyd,Georgetown - 4,Governor,,DEM,Jennifer G McCORMICK / Terry GOODIN,394,245,117,32,0
Floyd,Georgetown - 4,Governor,,LBT,Donald RAINWATER / Tonya HUDSON,29,17,12,0,0
Floyd,Georgetown - 4,Governor,,,Write-In,0,0,0,0,0
Floyd,Georgetown - 4,Attorney General,,REP,Todd ROKITA,916,535,354,27,0
Floyd,Georgetown - 4,Attorney General,,DEM,Destiny WELLS,377,233,114,30,0
Floyd,Georgetown - 4,U.S. House,9,REP,Erin HOUCHIN,911,531,350,30,0
Floyd,Georgetown - 4,U.S. House,9,DEM,Timothy (Tim) PECK,363,230,103,30,0
Floyd,Georgetown - 4,U.S. House,9,LBT,Russell (Russ) BROOKSBANK,30,13,17,0,0
Floyd,Georgetown - 4,State House,72,REP,Edward D (Ed) CLERE,918,534,353,31,0
Floyd,Georgetown - 4,State House,72,DEM,Jason APPLEGATE,380,238,114,28,0
Floyd,Georgetown - 4,County Recorder,,REP,Lois NAVILLE ENDRIS,1069,617,414,38,0
Floyd,Georgetown - 4,County Recorder,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 4,County Treasurer,,REP,Steve BURKS,929,530,366,33,0
Floyd,Georgetown - 4,County Treasurer,,DEM,Vickie TENCER,356,232,99,25,0
Floyd,Georgetown - 4,County Coroner,,REP,Matthew TOMLIN,827,467,329,31,0
Floyd,Georgetown - 4,County Coroner,,DEM,Amy M CULWELL,469,306,135,28,0
Floyd,Georgetown - 4,County Surveyor,,REP,John G BRINKWORTH III,1058,612,408,38,0
Floyd,Georgetown - 4,County Surveyor,,DEM,No Candidate Filed,0,0,0,0,0
Floyd,Georgetown - 4,County Commissioner,2,REP,Frank A LOOP,911,523,356,32,0
Floyd,Georgetown - 4,County Commissioner,2,DEM,Veronica M COMBS,382,244,112,26,0
Floyd,Georgetown - 4,County Commissioner,3,REP,Jason SHARP,855,491,335,29,0
Floyd,Georgetown - 4,County Commissioner,3,DEM,Tim HARBISON,435,271,135,29,0
Floyd,Georgetown - 4,County Council Member,At Large,REP,D M BAGSHAW,667,391,257,19,0
Floyd,Georgetown - 4,County Council Member,At Large,REP,Matt MILLIES,771,453,299,19,0
Floyd,Georgetown - 4,County Council Member,At Large,REP,Sam SARKISIAN,725,439,270,16,0
Floyd,Georgetown - 4,County Council Member,At Large,DEM,Daniel T HARRIS,285,182,85,18,0
Floyd,Georgetown - 4,County Council Member,At Large,DEM,Ellen MORRISON KELLEY,341,223,98,20,0
Floyd,Georgetown - 4,County Council Member,At Large,DEM,Brad STRIEGEL,429,285,123,21,0
Floyd,Georgetown - 4,County Council Member,At Large,LBT,Morgan BEATTY,165,88,71,6,0
Floyd,Georgetown - 4,Floyd County School Board,At Large,,Ann CURRUTHER,413,278,125,10,0
Floyd,Georgetown - 4,Floyd County School Board,At Large,,Jennie HIGBIE,270,147,111,12,0
Floyd,Georgetown - 4,Floyd County School Board,At Large,,Matt MAYFIELD,325,184,134,7,0
Floyd,Georgetown - 4,Floyd County School Board,3,,Elizabeth A GALLIGAN,824,486,315,23,0
Floyd,Georgetown - 4,Floyd County School Board,4,,Rebecca Jo GARDENOUR,754,441,291,22,0
Floyd,Georgetown - 4,IN Supreme Court-Rush,,,Yes,719,436,261,22,0
Floyd,Georgetown - 4,IN Supreme Court-Rush,,,No,308,183,115,10,0
Floyd,Georgetown - 4,IN Supreme Court-Massa,,,Yes,716,435,261,20,0
Floyd,Georgetown - 4,IN Supreme Court-Massa,,,No,298,172,114,12,0
Floyd,Georgetown - 4,IN Supreme Court-Molter,,,Yes,714,423,270,21,0
Floyd,Georgetown - 4,IN Supreme Court-Molter,,,No,300,180,109,11,0
Floyd,Georgetown - 4,Court of Appeals Dist 1-Foley,,,Yes,715,430,266,19,0
