county,precinct,office,district,seats,party,candidate,votes
Martin,Lost River,County Commissioner,3,1,REP,Aaron Moose SUMMERS,173
Martin,Lost River,County Commissioner,3,1,IND,Jason B McCOY,75
Martin,Lost River,County Coroner,,1,REP,Tony ABEL,220
Martin,Lost River,County Recorder,,1,REP,Sheri CRANDALL,221
Martin,Lost River,County Surveyor,,1,REP,Nathan Dale HOFFMAN,229
Martin,Lost River,County Treasurer,,1,REP,Rhonda SANDERS,227
Martin,Lost River,County Council,At Large,3,REP,Gerald D MONTGOMERY,120
Martin,Lost River,County Council,At Large,3,REP,Jim WOODY,111
Martin,Lost River,County Council,At Large,3,REP,Warren D ALBRIGHT,136
Martin,Mitcheltree,President,,1,,Write-In,0
Martin,Mitcheltree,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,1
Martin,Mitcheltree,President,,1,REP,Donald J. TRUMP / JD Vance,216
Martin,Mitcheltree,President,,1,DEM,Kamala D. HARRIS / Tim Walz,61
Martin,Mitcheltree,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,8
Martin,Mitcheltree,U.S. Senate,,1,LBT,Andrew HORNING,13
Martin,Mitcheltree,U.S. Senate,,1,,Write-In,0
Martin,Mitcheltree,U.S. Senate,,1,REP,Jim BANKS,205
Martin,Mitcheltree,U.S. Senate,,1,DEM,Valerie McCRAY,62
Martin,Mitcheltree,U.S. House,8,1,DEM,Erik HURT,59
Martin,Mitcheltree,U.S. House,8,1,LBT,K Richard FITZLAFF,14
Martin,Mitcheltree,U.S. House,8,1,REP,Mark MESSMER,203
Martin,Mitcheltree,Governor,,1,,Write-In,0
Martin,Mitcheltree,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,18
Martin,Mitcheltree,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,71
Martin,Mitcheltree,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,196
Martin,Mitcheltree,Attorney General,,1,DEM,Destiny WELLS,72
Martin,Mitcheltree,Attorney General,,1,REP,Todd ROKITA,204
Martin,Mitcheltree,County Auditor,,1,DEM,Michelle NORRIS,140
Martin,Mitcheltree,County Commissioner,1,1,REP,Retha WARNER,224
Martin,Mitcheltree,County Commissioner,3,1,REP,Aaron Moose SUMMERS,172
Martin,Mitcheltree,County Commissioner,3,1,IND,Jason B McCOY,89
Martin,Mitcheltree,County Coroner,,1,REP,Tony ABEL,221
Martin,Mitcheltree,County Recorder,,1,REP,Sheri CRANDALL,217
Martin,Mitcheltree,County Surveyor,,1,REP,Nathan Dale HOFFMAN,229
Martin,Mitcheltree,County Treasurer,,1,REP,Rhonda SANDERS,227
Martin,Mitcheltree,County Council,At Large,3,REP,Gerald D MONTGOMERY,128
Martin,Mitcheltree,County Council,At Large,3,REP,Jim WOODY,106
Martin,Mitcheltree,County Council,At Large,3,REP,Warren D ALBRIGHT,136
Martin,North Center,President,,1,,Write-In,0
Martin,North Center,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,2
Martin,North Center,President,,1,REP,Donald J. TRUMP / JD Vance,311
Martin,North Center,President,,1,DEM,Kamala D. HARRIS / Tim Walz,54
Martin,North Center,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,6
Martin,North Center,U.S. Senate,,1,LBT,Andrew HORNING,16
Martin,North Center,U.S. Senate,,1,,Write-In,0
Martin,North Center,U.S. Senate,,1,REP,Jim BANKS,288
Martin,North Center,U.S. Senate,,1,DEM,Valerie McCRAY,55
Martin,North Center,U.S. House,8,1,DEM,Erik HURT,54
Martin,North Center,U.S. House,8,1,LBT,K Richard FITZLAFF,14
Martin,North Center,U.S. House,8,1,REP,Mark MESSMER,291
Martin,North Center,Governor,,1,,Write-In,0
Martin,North Center,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,50
Martin,North Center,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,70
Martin,North Center,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,239
Martin,North Center,Attorney General,,1,DEM,Destiny WELLS,60
Martin,North Center,Attorney General,,1,REP,Todd ROKITA,296
Martin,North Center,County Auditor,,1,DEM,Michelle NORRIS,186
Martin,North Center,County Commissioner,1,1,REP,Retha WARNER,320
Martin,North Center,County Commissioner,3,1,REP,Aaron Moose SUMMERS,239
Martin,North Center,County Commissioner,3,1,IND,Jason B McCOY,115
Martin,North Center,County Coroner,,1,REP,Tony ABEL,309
Martin,North Center,County Recorder,,1,REP,Sheri CRANDALL,303
Martin,North Center,County Surveyor,,1,REP,Nathan Dale HOFFMAN,302
Martin,North Center,County Treasurer,,1,REP,Rhonda SANDERS,312
Martin,North Center,County Council,At Large,3,REP,Gerald D MONTGOMERY,184
Martin,North Center,County Council,At Large,3,REP,Jim WOODY,167
Martin,North Center,County Council,At Large,3,REP,Warren D ALBRIGHT,203
Martin,North Halbert,President,,1,,Write-In,0
Martin,North Halbert,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,0
Martin,North Halbert,President,,1,REP,Donald J. TRUMP / JD Vance,218
Martin,North Halbert,President,,1,DEM,Kamala D. HARRIS / Tim Walz,29
Martin,North Halbert,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,4
Martin,North Halbert,U.S. Senate,,1,LBT,Andrew HORNING,7
Martin,North Halbert,U.S. Senate,,1,,Write-In,0
Martin,North Halbert,U.S. Senate,,1,REP,Jim BANKS,204
Martin,North Halbert,U.S. Senate,,1,DEM,Valerie McCRAY,33
Martin,North Halbert,U.S. House,8,1,DEM,Erik HURT,33
Martin,North Halbert,U.S. House,8,1,LBT,K Richard FITZLAFF,9
Martin,North Halbert,U.S. House,8,1,REP,Mark MESSMER,203
Martin,North Halbert,Governor,,1,,Write-In,0
Martin,North Halbert,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,26
Martin,North Halbert,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,43
Martin,North Halbert,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,173
Martin,North Halbert,Attorney General,,1,DEM,Destiny WELLS,40
Martin,North Halbert,Attorney General,,1,REP,Todd ROKITA,204
Martin,North Halbert,County Auditor,,1,DEM,Michelle NORRIS,128
Martin,North Halbert,County Commissioner,1,1,REP,Retha WARNER,212
Martin,North Halbert,County Commissioner,3,1,REP,Aaron Moose SUMMERS,170
Martin,North Halbert,County Commissioner,3,1,IND,Jason B McCOY,69
Martin,North Halbert,County Coroner,,1,REP,Tony ABEL,209
