county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,absentee
Wabash,001 - Noble 01,Registered Voters,,,,,550,,,
Wabash,001 - Noble 01,Ballots Cast,,,,,320,165,150,5
Wabash,001 - Noble 01,Public Question-Const Amendment,,1,,Yes,140,69,70,1
Wabash,001 - Noble 01,Public Question-Const Amendment,,1,,No,134,71,60,3
Wabash,001 - Noble 01,President,,1,REP,Donald J. TRUMP / JD VANCE,249,134,115,0
Wabash,001 - Noble 01,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,60,27,29,4
Wabash,001 - Noble 01,President,,1,LBT,Chase OLIVER / Mike terr MAAT,2,0,2,0
Wabash,001 - Noble 01,President,,1,WTP,Robert F. KENNEDY JR. / Nichole SHANAHAN,2,1,1,0
Wabash,001 - Noble 01,President,,1,,Write-In,2,1,1,0
Wabash,001 - Noble 01,U.S. Senate,,1,REP,Jim BANKS,242,133,108,1
Wabash,001 - Noble 01,U.S. Senate,,1,DEM,Valerie McCRAY,54,25,25,4
Wabash,001 - Noble 01,U.S. Senate,,1,LBT,Andrew HORNING,7,3,4,0
Wabash,001 - Noble 01,U.S. Senate,,1,,Write-In,1,0,1,0
Wabash,001 - Noble 01,Governor,,1,REP,Mike BRAUN / Micah BECKWITH,206,115,90,1
Wabash,001 - Noble 01,Governor,,1,DEM,Jennifer G. McCORMICK / Terry GOODIN,70,31,35,4
Wabash,001 - Noble 01,Governor,,1,LBT,Donald RAINWATER / Tonya HUDSON,26,14,12,0
Wabash,001 - Noble 01,Governor,,1,,Write-In,0,0,0,0
Wabash,001 - Noble 01,Attorney General,,1,REP,Todd ROKITA,235,128,106,1
Wabash,001 - Noble 01,Attorney General,,1,DEM,Destiny WELLS,73,34,35,4
Wabash,001 - Noble 01,U.S. House,2,1,REP,Rudy YAKYM,231,133,97,1
Wabash,001 - Noble 01,U.S. House,2,1,DEM,Lori A. CAMP,60,26,30,4
Wabash,001 - Noble 01,U.S. House,2,1,LBT,William E. HENRY,11,1,10,0
Wabash,001 - Noble 01,U.S. House,2,1,,Write-In,0,0,0,0
Wabash,001 - Noble 01,State House,50,1,REP,Lorissa SWEET,245,133,111,1
Wabash,001 - Noble 01,State House,50,1,DEM,Joe SWISHER,60,28,28,4
Wabash,001 - Noble 01,County Auditor,,1,REP,Shelly BAUCCO,265,143,119,3
Wabash,001 - Noble 01,County Treasurer,,1,REP,Brenda HEGEL,255,138,114,3
Wabash,001 - Noble 01,County Coroner,,1,REP,Ken BROWN,265,143,119,3
Wabash,001 - Noble 01,County Surveyor,,1,REP,Cheri SLEE,259,139,117,3
Wabash,001 - Noble 01,County Commissioner,1,1,REP,Cheryl ROSS,262,141,118,3
Wabash,001 - Noble 01,County Commissioner,3,1,REP,Tyler J. NICCUM,261,140,118,3
Wabash,001 - Noble 01,County Council Member,At Large,3,REP,Matt DILLON,203,101,100,2
Wabash,001 - Noble 01,County Council Member,At Large,3,REP,Nicholas Jay KOPKEY,125,69,56,0
Wabash,001 - Noble 01,County Council Member,At Large,3,REP,David W. TERFLINGER,126,71,55,0
Wabash,001 - Noble 01,County Council Member,At Large,3,DEM,John T. HARGENRADER,41,20,19,2
Wabash,001 - Noble 01,County Council Member,At Large,3,DEM,Tammy INGALLS,56,26,28,2
Wabash,001 - Noble 01,IN Supreme Court-Rush,,1,,Yes,175,93,79,3
Wabash,001 - Noble 01,IN Supreme Court-Rush,,1,,No,57,24,32,1
Wabash,001 - Noble 01,IN Supreme Court-Massa,,1,,Yes,171,92,77,2
Wabash,001 - Noble 01,IN Supreme Court-Massa,,1,,No,57,20,36,1
Wabash,001 - Noble 01,IN Supreme Court-Molter,,1,,Yes,186,99,84,3
Wabash,001 - Noble 01,IN Supreme Court-Molter,,1,,No,52,19,33,0
