office,district,party,candidate,votes
President,1,DEM,Dennis J. Kucinich,1444
President,2,DEM,Dennis J. Kucinich,895
President,3,DEM,Dennis J. Kucinich,381
President,4,DEM,Dennis J. Kucinich,417
President,5,DEM,Dennis J. Kucinich,380
President,6,DEM,Dennis J. Kucinich,654
President,7,DEM,Dennis J. Kucinich,604
President,8,DEM,Dennis J. Kucinich,961
President,9,DEM,Dennis J. Kucinich,1267
President,1,DEM,Howard Dean,2956
President,2,DEM,Howard Dean,2197
President,3,DEM,Howard Dean,1089
President,4,DEM,Howard Dean,1189
President,5,DEM,Howard Dean,1400
President,6,DEM,Howard Dean,2741
President,7,DEM,Howard Dean,1720
President,8,DEM,Howard Dean,4352
President,9,DEM,Howard Dean,3838
President,1,DEM,John Edwards,4867
President,2,DEM,John Edwards,3698
President,3,DEM,John Edwards,1771
President,4,DEM,John Edwards,2024
President,5,DEM,John Edwards,2371
President,6,DEM,John Edwards,4685
President,7,DEM,John Edwards,2250
President,8,DEM,John Edwards,7727
President,9,DEM,John Edwards,6258
President,1,DEM,John F. Kerry,38909
President,2,DEM,John F. Kerry,25782
President,3,DEM,John F. Kerry,11113
President,4,DEM,John F. Kerry,12827
President,5,DEM,John F. Kerry,14726
President,6,DEM,John F. Kerry,27085
President,7,DEM,John F. Kerry,27673
President,8,DEM,John F. Kerry,37370
President,9,DEM,John F. Kerry,35562
President,1,DEM,"Lyndon H. LaRouche, Jr.",1040
President,2,DEM,"Lyndon H. LaRouche, Jr.",412
President,3,DEM,"Lyndon H. LaRouche, Jr.",168
President,4,DEM,"Lyndon H. LaRouche, Jr.",187
President,5,DEM,"Lyndon H. LaRouche, Jr.",181
President,6,DEM,"Lyndon H. LaRouche, Jr.",480
President,7,DEM,"Lyndon H. LaRouche, Jr.",185
President,8,DEM,"Lyndon H. LaRouche, Jr.",1092
President,9,DEM,"Lyndon H. LaRouche, Jr.",846
President,1,DEM,Wesley K. Clark,2839
President,2,DEM,Wesley K. Clark,1387
President,3,DEM,Wesley K. Clark,845
President,4,DEM,Wesley K. Clark,1016
President,5,DEM,Wesley K. Clark,1128
President,6,DEM,Wesley K. Clark,2176
President,7,DEM,Wesley K. Clark,1283
President,8,DEM,Wesley K. Clark,3839
President,9,DEM,Wesley K. Clark,2924
President,1,REP,George W. Bush,21837
President,2,REP,George W. Bush,41665
President,3,REP,George W. Bush,55015
President,4,REP,George W. Bush,78794
President,5,REP,George W. Bush,93145
President,6,REP,George W. Bush,62536
President,7,REP,George W. Bush,33968
President,8,REP,George W. Bush,42527
President,9,REP,George W. Bush,40041
