county,office,district,candidate,party,votes
Adams,President,,Wesley K. Clark,Democratic,56
Adams,President,,Howard Dean,Democratic,99
Adams,President,,John Edwards,Democratic,138
Adams,President,,John F. Kerry,Democratic,822
Adams,President,,Dennis J. Kucinich,Democratic,26
Adams,President,,"Lyndon H. Larouche, Jr.",Democratic,12
Adams,President,,George W. Bush,Republican,2524
Adams,U.S. Senator,,Evan Bayh,Democratic,1187
Adams,U.S. Senator,,Marvin Scott,Republican,1594
Adams,Governor,,Joe Kernan,Democratic,1125
Adams,Governor,,Mitch Daniels,Republican,1584
Adams,Governor,,Eric Miller,Republican,1041
Adams,U.S. House,3,Steve G. Hope,Democratic,0
Adams,U.S. House,3,Maria M. Parra,Democratic,0
Adams,U.S. House,3,Mark A. Summers,Democratic,0
Adams,U.S. House,3,William Larsen,Republican,0
Adams,U.S. House,3,Mark Edward Souder,Republican,0
Adams,State House,79,Michael A. Ripley,Republican,2448
Allen,President,,Wesley K. Clark,Democratic,550
Allen,President,,Howard Dean,Democratic,624
Allen,President,,John Edwards,Democratic,937
Allen,President,,John F. Kerry,Democratic,6242
Allen,President,,Dennis J. Kucinich,Democratic,216
Allen,President,,"Lyndon H. Larouche, Jr.",Democratic,88
Allen,President,,George W. Bush,Republican,21649
Allen,U.S. Senator,,Evan Bayh,Democratic,8220
Allen,U.S. Senator,,Marvin Scott,Republican,16601
Allen,Governor,,Joe Kernan,Democratic,8055
Allen,Governor,,Mitch Daniels,Republican,15711
Allen,Governor,,Eric Miller,Republican,8054
Allen,U.S. House,3,Steve G. Hope,Democratic,1527
Allen,U.S. House,3,Maria M. Parra,Democratic,3701
Allen,U.S. House,3,Mark A. Summers,Democratic,2365
Allen,U.S. House,3,William Larsen,Republican,4945
Allen,U.S. House,3,Mark Edward Souder,Republican,17670
Allen,State Senator,16,David C. Long,Republican,7235
Allen,State House,50,Joe Wilson,Democratic,0
Allen,State House,50,Daniel J. (Dan) Leonard,Republican,0
Allen,State House,50,Marlin A. Stutzman,Republican,0
Allen,State House,50,Kevin Howell,Republican,1572
Allen,State House,50,John M. Zimmerman,Republican,1369
Bartholomew,President,,Wesley K. Clark,Democratic,243
Bartholomew,President,,Howard Dean,Democratic,259
Bartholomew,President,,John Edwards,Democratic,451
Bartholomew,President,,John F. Kerry,Democratic,2770
Bartholomew,President,,Dennis J. Kucinich,Democratic,59
Bartholomew,President,,"Lyndon H. Larouche, Jr.",Democratic,30
Bartholomew,President,,George W. Bush,Republican,7538
Bartholomew,U.S. Senator,,Evan Bayh,Democratic,3719
Bartholomew,U.S. Senator,,Marvin Scott,Republican,4656
Bartholomew,Governor,,Joe Kernan,Democratic,3479
Bartholomew,Governor,,Mitch Daniels,Republican,6076
Bartholomew,Governor,,Eric Miller,Republican,2015
Bartholomew,U.S. House,6,Mel Fox,Democratic,1494
Bartholomew,U.S. House,6,Mike Pence,Republican,4676
Bartholomew,State Senator,44,Becky Skillman,Republican,0
Bartholomew,State House,57,Luke Messer,Republican,1750
Bartholomew,State House,57,Billy Bright,Republican,0
Bartholomew,State House,57,Ben P. Newell,Republican,0
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,Stephen R. Heimann,Democratic,3401
Bartholomew,Judge Of The Circuit Court,Bartholomew 9Th Circuit,David A. Nowak,Republican,5899
Benton,President,,Wesley K. Clark,Democratic,8
Benton,President,,Howard Dean,Democratic,23
Benton,President,,John Edwards,Democratic,35
Benton,President,,John F. Kerry,Democratic,189
Benton,President,,Dennis J. Kucinich,Democratic,0
Benton,President,,"Lyndon H. Larouche, Jr.",Democratic,1
Benton,President,,George W. Bush,Republican,1670
Benton,U.S. Senator,,Evan Bayh,Democratic,258
Benton,U.S. Senator,,Marvin Scott,Republican,1340
Benton,Governor,,Joe Kernan,Democratic,252
Benton,Governor,,Mitch Daniels,Republican,1407
Benton,Governor,,Eric Miller,Republican,438
Benton,U.S. House,4,Bill Abbott,Democratic,0
Benton,U.S. House,4,David Sanders,Democratic,0
Benton,U.S. House,4,Steve Buyer,Republican,0
Benton,U.S. House,4,Mike Campbell,Republican,0
Benton,U.S. House,4,Dennis Hardy,Republican,0
Benton,U.S. House,4,Brian D. Paasch,Republican,0
Benton,State House,13,Chester F. Dobis,Democratic,0
Benton,State House,13,David M. Uzelac,Democratic,0
Blackford,President,,Wesley K. Clark,Democratic,68
Blackford,President,,Howard Dean,Democratic,79
Blackford,President,,John Edwards,Democratic,129
Blackford,President,,John F. Kerry,Democratic,689
Blackford,President,,Dennis J. Kucinich,Democratic,8
Blackford,President,,"Lyndon H. Larouche, Jr.",Democratic,10
Blackford,President,,George W. Bush,Republican,787
Blackford,U.S. Senator,,Evan Bayh,Democratic,1000
Blackford,U.S. Senator,,Marvin Scott,Republican,498
Blackford,Governor,,Joe Kernan,Democratic,916
Blackford,Governor,,Mitch Daniels,Republican,602
Blackford,Governor,,Eric Miller,Republican,248
Blackford,U.S. House,3,Steve G. Hope,Democratic,0
Blackford,U.S. House,3,Maria M. Parra,Democratic,0
Blackford,U.S. House,3,Mark A. Summers,Democratic,0
Blackford,U.S. House,3,William Larsen,Republican,0
Blackford,U.S. House,3,Mark Edward Souder,Republican,0
Blackford,U.S. House,3,Katherine Fox Carr,Republican,0
Blackford,U.S. House,3,Dan Burton,Republican,0
Blackford,U.S. House,3,George Thomas Holland,Republican,0
Blackford,U.S. House,3,Victor Dean Wakley,Republican,0
Blackford,State House,31,Larry R. Hile,Democratic,948
Blackford,State House,31,Timothy W. Harris,Republican,619
Blackford,State House,31,Noel (Bud) Carpenter,Republican,0
Blackford,State House,31,Bill J. Davis,Republican,0
Blackford,Judge Of The Superior Court,Blackford County,John W. Forcum,Democratic,915
Boone,President,,Wesley K. Clark,Democratic,73
Boone,President,,Howard Dean,Democratic,53
Boone,President,,John Edwards,Democratic,106
Boone,President,,John F. Kerry,Democratic,575
Boone,President,,Dennis J. Kucinich,Democratic,14
Boone,President,,"Lyndon H. Larouche, Jr.",Democratic,7
Boone,President,,George W. Bush,Republican,7002
Boone,U.S. Senator,,Evan Bayh,Democratic,825
Boone,U.S. Senator,,Marvin Scott,Republican,5109
Boone,Governor,,Joe Kernan,Democratic,784
Boone,Governor,,Mitch Daniels,Republican,5715
Boone,Governor,,Eric Miller,Republican,2378
Boone,U.S. House,4,Bill Abbott,Democratic,304
Boone,U.S. House,4,David Sanders,Democratic,375
Boone,U.S. House,4,Steve Buyer,Republican,5141
Boone,U.S. House,4,Mike Campbell,Republican,880
Boone,U.S. House,4,Dennis Hardy,Republican,610
Boone,U.S. House,4,Brian D. Paasch,Republican,639
Boone,U.S. House,4,Katherine Fox Carr,Republican,0
Boone,U.S. House,4,Dan Burton,Republican,0
Boone,U.S. House,4,George Thomas Holland,Republican,0
Boone,U.S. House,4,Victor Dean Wakley,Republican,0
Boone,State Senator,7,Brandt Hershman,Republican,0
Boone,State House,24,Richard W. (Rich) Mcclain,Republican,0
Boone,State House,24,Timothy (Tim) Brown,Republican,0
Brown,President,,Wesley K. Clark,Democratic,69
Brown,President,,Howard Dean,Democratic,87
Brown,President,,John Edwards,Democratic,145
Brown,President,,John F. Kerry,Democratic,909
Brown,President,,Dennis J. Kucinich,Democratic,39
Brown,President,,"Lyndon H. Larouche, Jr.",Democratic,21
Brown,President,,George W. Bush,Republican,1669
Brown,U.S. Senator,,Evan Bayh,Democratic,1322
Brown,U.S. Senator,,Marvin Scott,Republican,1341
Brown,Governor,,Joe Kernan,Democratic,1208
Brown,Governor,,Mitch Daniels,Republican,1257
Brown,Governor,,Eric Miller,Republican,518
Brown,U.S. House,9,Baron Hill,Democratic,1158
Brown,U.S. House,9,Lendall B. Terry,Democratic,158
Brown,U.S. House,9,Mike Sodrel,Republican,1541
Brown,State Senator,44,Becky Skillman,Republican,0
Brown,State House,65,Eric Allan Koch,Republican,1391
Carroll,President,,Wesley K. Clark,Democratic,43
Carroll,President,,Howard Dean,Democratic,60
Carroll,President,,John Edwards,Democratic,94
Carroll,President,,John F. Kerry,Democratic,592
Carroll,President,,Dennis J. Kucinich,Democratic,8
Carroll,President,,"Lyndon H. Larouche, Jr.",Democratic,2
Carroll,President,,George W. Bush,Republican,2621
Carroll,U.S. Senator,,Evan Bayh,Democratic,802
Carroll,U.S. Senator,,Marvin Scott,Republican,2083
Carroll,Governor,,Joe Kernan,Democratic,748
Carroll,Governor,,Mitch Daniels,Republican,1811
Carroll,Governor,,Eric Miller,Republican,1015
Carroll,U.S. House,4,Bill Abbott,Democratic,0
Carroll,U.S. House,4,David Sanders,Democratic,0
Carroll,U.S. House,4,Steve Buyer,Republican,0
Carroll,U.S. House,4,Mike Campbell,Republican,0
Carroll,U.S. House,4,Dennis Hardy,Republican,0
Carroll,U.S. House,4,Brian D. Paasch,Republican,0
Carroll,State Senator,7,Brandt Hershman,Republican,2312
Carroll,State House,25,Jeb Bardon,Democratic,0
Carroll,State House,25,Dennis K. Foreman,Republican,0
Cass,President,,Wesley K. Clark,Democratic,106
Cass,President,,Howard Dean,Democratic,141
Cass,President,,John Edwards,Democratic,229
Cass,President,,John F. Kerry,Democratic,1178
Cass,President,,Dennis J. Kucinich,Democratic,28
Cass,President,,"Lyndon H. Larouche, Jr.",Democratic,31
Cass,President,,George W. Bush,Republican,4005
Cass,U.S. Senator,,Evan Bayh,Democratic,1728
Cass,U.S. Senator,,Marvin Scott,Republican,3404
Cass,Governor,,Joe Kernan,Democratic,1647
Cass,Governor,,Mitch Daniels,Republican,2677
Cass,Governor,,Eric Miller,Republican,1543
Cass,U.S. House,4,Bill Abbott,Democratic,0
Cass,U.S. House,4,David Sanders,Democratic,0
Cass,U.S. House,4,Steve Buyer,Republican,0
Cass,U.S. House,4,Mike Campbell,Republican,0
Cass,U.S. House,4,Dennis Hardy,Republican,0
Cass,U.S. House,4,Brian D. Paasch,Republican,0
Cass,State Senator,18,Thomas K. Weatherwax,Republican,3797
Cass,State House,23,C.L. Alfred,Republican,0
Cass,State House,23,William C. Friend,Republican,0
Cass,State House,23,Dennis K. Foreman,Republican,0
Cass,Judge Of The Superior Court,"Cass County, Court 1",Thomas C. Perrone,Democratic,1661
Clark,President,,Wesley K. Clark,Democratic,585
Clark,President,,Howard Dean,Democratic,764
Clark,President,,John Edwards,Democratic,1220
Clark,President,,John F. Kerry,Democratic,6414
Clark,President,,Dennis J. Kucinich,Democratic,171
Clark,President,,"Lyndon H. Larouche, Jr.",Democratic,193
Clark,President,,George W. Bush,Republican,3590
Clark,U.S. Senator,,Evan Bayh,Democratic,9517
Clark,U.S. Senator,,Marvin Scott,Republican,2509
Clark,Governor,,Joe Kernan,Democratic,8511
Clark,Governor,,Mitch Daniels,Republican,1872
Clark,Governor,,Eric Miller,Republican,1674
Clark,U.S. House,9,Baron Hill,Democratic,9078
Clark,U.S. House,9,Lendall B. Terry,Democratic,1356
Clark,U.S. House,9,Mike Sodrel,Republican,3344
Clark,State House,66,Terry Goodin,Democratic,1650
Clark,State House,66,Jack Gillespie,Republican,351
Clark,Judge Of The Circuit Court,"Clark 4Th Circt, No. 1",Daniel F. Donahue,Democratic,8896
Clay,President,,Wesley K. Clark,Democratic,134
Clay,President,,Howard Dean,Democratic,153
Clay,President,,John Edwards,Democratic,312
Clay,President,,John F. Kerry,Democratic,1337
Clay,President,,Dennis J. Kucinich,Democratic,22
Clay,President,,"Lyndon H. Larouche, Jr.",Democratic,32
Clay,President,,George W. Bush,Republican,3104
Clay,U.S. Senator,,Evan Bayh,Democratic,1953
Clay,U.S. Senator,,Marvin Scott,Republican,2180
Clay,Governor,,Joe Kernan,Democratic,1750
Clay,Governor,,Mitch Daniels,Republican,2304
Clay,Governor,,Eric Miller,Republican,943
Clay,U.S. House,8,Jon P. Jennings,Democratic,1452
Clay,U.S. House,8,Bill Pearman,Democratic,382
Clay,U.S. House,8,John N. Hostettler,Republican,2804
Clay,State House,42,F. Dale Grubb,Democratic,0
Clay,State House,42,Patti Smith,Republican,0
Clay,State House,42,"Kenneth J. Eitel, Jr.",Republican,396
Clay,State House,42,Andrew P. Thomas,Republican,1760
Clay,State House,42,Herbert (Herb) W. Jones Jr.,Republican,394
Clay,State House,42,Jeffery M. Lee,Republican,427
Clay,Judge Of The Circuit Court,Clay 13Th Circuit,Ernest E. Yelton,Republican,2988
Clinton,President,,Wesley K. Clark,Democratic,72
Clinton,President,,Howard Dean,Democratic,74
Clinton,President,,John Edwards,Democratic,147
Clinton,President,,John F. Kerry,Democratic,794
Clinton,President,,Dennis J. Kucinich,Democratic,21
Clinton,President,,"Lyndon H. Larouche, Jr.",Democratic,7
Clinton,President,,George W. Bush,Republican,3779
Clinton,U.S. Senator,,Evan Bayh,Democratic,1072
Clinton,U.S. Senator,,Marvin Scott,Republican,2594
Clinton,Governor,,Joe Kernan,Democratic,976
Clinton,Governor,,Mitch Daniels,Republican,2870
Clinton,Governor,,Eric Miller,Republican,1296
Clinton,U.S. House,4,Bill Abbott,Democratic,470
Clinton,U.S. House,4,David Sanders,Democratic,503
Clinton,U.S. House,4,Steve Buyer,Republican,3126
Clinton,U.S. House,4,Mike Campbell,Republican,338
Clinton,U.S. House,4,Dennis Hardy,Republican,267
Clinton,U.S. House,4,Brian D. Paasch,Republican,280
Clinton,State Senator,7,Brandt Hershman,Republican,899
Clinton,State House,25,Jeb Bardon,Democratic,0
Clinton,State House,25,Dennis K. Foreman,Republican,0
Crawford,President,,Wesley K. Clark,Democratic,77
Crawford,President,,Howard Dean,Democratic,102
Crawford,President,,John Edwards,Democratic,127
Crawford,President,,John F. Kerry,Democratic,969
Crawford,President,,Dennis J. Kucinich,Democratic,27
Crawford,President,,"Lyndon H. Larouche, Jr.",Democratic,21
Crawford,President,,George W. Bush,Republican,687
Crawford,U.S. Senator,,Evan Bayh,Democratic,1350
Crawford,U.S. Senator,,Marvin Scott,Republican,430
Crawford,Governor,,Joe Kernan,Democratic,1162
Crawford,Governor,,Mitch Daniels,Republican,487
Crawford,Governor,,Eric Miller,Republican,195
Crawford,U.S. House,8,Jon P. Jennings,Democratic,0
Crawford,U.S. House,8,Bill Pearman,Democratic,0
Crawford,U.S. House,8,John N. Hostettler,Republican,0
Crawford,U.S. House,8,Lendall B. Terry,Republican,156
Crawford,U.S. House,8,Mike Sodrel,Republican,562
Crawford,State House,74,Russ Stilwell,Democratic,0
Crawford,Judge Of The Circuit Court,Crawford 77Th Circuit,Kenneth Lynn Lopp,Democratic,1263
Daviess,President,,Wesley K. Clark,Democratic,73
Daviess,President,,Howard Dean,Democratic,86
Daviess,President,,John Edwards,Democratic,125
Daviess,President,,John F. Kerry,Democratic,632
Daviess,President,,Dennis J. Kucinich,Democratic,13
Daviess,President,,"Lyndon H. Larouche, Jr.",Democratic,12
Daviess,President,,George W. Bush,Republican,2608
Daviess,U.S. Senator,,Evan Bayh,Democratic,938
