county,office,district,candidate,party,votes
Adams,President,Statewide,Barack Obama,Democratic,3806
Adams,President,Statewide,Gary Johnson,None,262
Adams,President,Statewide,Mitt Romney,None,8937
Adams,President,Statewide,"Virgil H Goode, Jr.",None,2
Adams,President,Statewide,Dennis Knill,None,0
Adams,President,Statewide,Stephen Durham,None,0
Adams,President,Statewide,Christina Lopez,None,0
Adams,President,Statewide,Jill Stein,None,4
Adams,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Adams,President,Statewide,Paul Chehade,None,0
Adams,President,Statewide,Richard Duncan,None,0
Adams,President,Statewide,Tom Hoefling,None,0
Adams,President,Statewide,Terry Dale Jones,None,0
Adams,President,Statewide,Nelson Keyton,None,0
Adams,President,Statewide,Jill Reed,None,0
Adams,President,Statewide,"Michael A Simoneux, Jr.",None,0
Adams,President,Statewide,Randall A Terry,None,0
Adams,President,Statewide,"John A Dummett, Jr.",None,0
Adams,President,Statewide,Stewart Alexander,None,0
Adams,United States Senator,Statewide,Joseph Donnelly,Democratic,4613
Adams,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,784
Adams,United States Senator,Statewide,Richard E Mourdock,None,7426
Adams,United States Senator,Statewide,Amy J Willis,None,0
Adams,United States Senator,Statewide,James L Johnson Junior,None,0
Adams,Governor,Statewide,John R Gregg,Democratic,4521
Adams,Governor,Statewide,Rupert Boneham,None,329
Adams,Governor,Statewide,Michael R Pence,None,8109
Adams,Governor,Statewide,Donnie Harold Harris,None,0
Adams,Attorney General,Statewide,Kay Fleming,Democratic,3799
Adams,Attorney General,Statewide,Greg Zoeller,None,8675
Adams,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,6443
Adams,Superintendent of Public Instruction,Statewide,Tony Bennett,None,6238
Adams,United States Representative,3,Kevin Boyd,Democratic,3520
Adams,United States Representative,3,Marlin A Stutzman,None,9186
Adams,State Representative,79,Michael D Snyder,Democratic,4523
Adams,State Representative,79,Matthew S Lehman,None,8318
Adams,Judge of the Circuit Court,Adams (26Th Circuit),Frederick A Schurger,Democratic,6119
Adams,Judge of the Circuit Court,Adams (26Th Circuit),Chad E Kukelhan,None,6748
Allen,President,Statewide,Barack Obama,Democratic,60036
Allen,President,Statewide,Gary Johnson,None,2197
Allen,President,Statewide,Mitt Romney,None,84613
Allen,President,Statewide,"Virgil H Goode, Jr.",None,16
Allen,President,Statewide,Dennis Knill,None,0
Allen,President,Statewide,Stephen Durham,None,0
Allen,President,Statewide,Christina Lopez,None,0
Allen,President,Statewide,Jill Stein,None,72
Allen,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Allen,President,Statewide,Paul Chehade,None,0
Allen,President,Statewide,Richard Duncan,None,0
Allen,President,Statewide,Tom Hoefling,None,1
Allen,President,Statewide,Terry Dale Jones,None,0
Allen,President,Statewide,Nelson Keyton,None,0
Allen,President,Statewide,Jill Reed,None,0
Allen,President,Statewide,"Michael A Simoneux, Jr.",None,0
Allen,President,Statewide,Randall A Terry,None,1
Allen,President,Statewide,"John A Dummett, Jr.",None,2
Allen,President,Statewide,Stewart Alexander,None,1
Allen,United States Senator,Statewide,Joseph Donnelly,Democratic,65053
Allen,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,6936
Allen,United States Senator,Statewide,Richard E Mourdock,None,71734
Allen,United States Senator,Statewide,Amy J Willis,None,0
Allen,United States Senator,Statewide,James L Johnson Junior,None,3
Allen,Governor,Statewide,John R Gregg,Democratic,61491
Allen,Governor,Statewide,Rupert Boneham,None,3808
Allen,Governor,Statewide,Michael R Pence,None,78869
Allen,Governor,Statewide,Donnie Harold Harris,None,4
Allen,Attorney General,Statewide,Kay Fleming,Democratic,51825
Allen,Attorney General,Statewide,Greg Zoeller,None,88793
Allen,Superintendent of Public Instruction,Statewide,Glenda Ritz,Democratic,72325
Allen,Superintendent of Public Instruction,Statewide,Tony Bennett,None,69401
Allen,United States Representative,3,Kevin Boyd,Democratic,54087
Allen,United States Representative,3,Marlin A Stutzman,None,88918
Allen,State Senator,16,Charles Thomas Keen Iii,Democratic,17475
Allen,State Senator,16,David C Long,None,32421
Allen,State Representative,50,R Wallin,Democratic,3550
Allen,State Representative,50,Daniel J Leonard,None,4392
Allen,State Representative,52,Charles E Odier,None,2323
Allen,State Representative,52,Benjamin Charles Smaltz,None,6462
Allen,State Representative,79,Michael D Snyder,None,1694
Allen,State Representative,79,Matthew S Lehman,None,3077
Allen,State Representative,80,Philip K Giaquinta,None,16577
Allen,State Representative,81,"Winfield C Moses, Jr.",None,9979
Allen,State Representative,81,"Alexander ""Alex"" Avery",None,937
Allen,State Representative,81,Martin Carbaugh,None,11681
Allen,State Representative,82,Michael T Wilber,None,669
Allen,State Representative,82,David L Ober,None,1770
Allen,State Representative,83,John A Good,None,5587
Allen,State Representative,83,Kathleen Heuer,None,13512
Allen,State Representative,84,Lafayette Lee Jordan,None,10693
Allen,State Representative,84,James A Hanson,None,1379
Allen,State Representative,84,Robert Donald Morris,None,18193
Allen,State Representative,85,Audrey Queckboerner,None,2071
Allen,State Representative,85,Evan Smith,None,7112
Allen,State Representative,85,Phyllis J Pond,None,16522
Bartholomew,President,Statewide,Barack Obama,Democratic,10625
Bartholomew,President,Statewide,Gary Johnson,None,608
Bartholomew,President,Statewide,Mitt Romney,None,18083
Bartholomew,President,Statewide,"Virgil H Goode, Jr.",None,4
Bartholomew,President,Statewide,Dennis Knill,None,0
Bartholomew,President,Statewide,Stephen Durham,None,0
Bartholomew,President,Statewide,Christina Lopez,None,0
Bartholomew,President,Statewide,Jill Stein,None,4
Bartholomew,President,Statewide,Missionary-Tracey Elaine Blair,None,0
Bartholomew,President,Statewide,Paul Chehade,None,0
Bartholomew,President,Statewide,Richard Duncan,None,0
Bartholomew,President,Statewide,Tom Hoefling,None,0
Bartholomew,President,Statewide,Terry Dale Jones,None,0
Bartholomew,President,Statewide,Nelson Keyton,None,0
Bartholomew,President,Statewide,Jill Reed,None,0
Bartholomew,President,Statewide,"Michael A Simoneux, Jr.",None,0
Bartholomew,President,Statewide,Randall A Terry,None,0
Bartholomew,President,Statewide,"John A Dummett, Jr.",None,0
Bartholomew,President,Statewide,Stewart Alexander,None,2
Bartholomew,United States Senator,Statewide,Joseph Donnelly,Democratic,12214
Bartholomew,United States Senator,Statewide,"Andrew ""Andy"" Horning",None,2075
Bartholomew,United States Senator,Statewide,Richard E Mourdock,None,14430
Bartholomew,United States Senator,Statewide,Amy J Willis,None,0
Bartholomew,United States Senator,Statewide,James L Johnson Junior,None,0
