county,office,district,candidate,party,votes
Adams,President,,Barack Obama,Democratic,842
Adams,President,,Newt Gingrich,Republican,275
Adams,President,,Ron Paul,Republican,478
Adams,President,,Mitt Romney,Republican,2438
Adams,President,,Rick Santorum,Republican,804
Adams,U.S. Senate,,Joe Donnelly,Democratic,824
Adams,U.S. Senate,,Richard G. Lugar,Republican,1226
Adams,U.S. Senate,,Richard E. Mourdock,Republican,3006
Adams,Governor,,John R. Gregg,Democratic,807
Adams,Governor,,Mike Pence,Republican,3836
Adams,U.S. House,3,Kevin R. Boyd,Democratic,272
Adams,U.S. House,3,Stephen G. Hope,Democratic,85
Adams,U.S. House,3,Justin Kuhnle,Democratic,262
Adams,U.S. House,3,John Forrest Roberson,Democratic,49
Adams,U.S. House,3,Tommy A. Schrader,Democratic,105
Adams,U.S. House,3,David Sowards,Democratic,133
Adams,U.S. House,3,Marlin A. Stutzman,Republican,3704
Adams,State House,79,Mike Snyder,Democratic,883
Adams,State House,79,Matthew S. Lehman,Republican,3761
Adams,Judge of the Circuit Court,Adams 26Th Circuit,Frederick A. Schurger,Democratic,957
Adams,Judge of the Circuit Court,Adams 26Th Circuit,Chad E. Kukelhan,Republican,3420
Adams,State Convention Delegate,Adams County,Justin Arnold,Republican,0
Adams,State Convention Delegate,Adams County,Amber D. Coates,Republican,0
Adams,State Convention Delegate,Adams County,Matthew J. Dyer,Republican,0
Adams,State Convention Delegate,Adams County,Rob Noetzel,Republican,0
Adams,State Convention Delegate,Adams County,Charity S. Walker,Republican,0
Adams,State Convention Delegate,Adams County,Gerald M. (Jerry) Walker,Republican,0
Adams,State Convention Delegate,Adams County,Nancy M. Walker,Republican,0
Allen,President,,Barack Obama,Democratic,7542
Allen,President,,Newt Gingrich,Republican,1713
Allen,President,,Ron Paul,Republican,5046
Allen,President,,Mitt Romney,Republican,23140
Allen,President,,Rick Santorum,Republican,6002
Allen,U.S. Senate,,Joe Donnelly,Democratic,6479
Allen,U.S. Senate,,Richard G. Lugar,Republican,11296
Allen,U.S. Senate,,Richard E. Mourdock,Republican,25984
Allen,Governor,,John R. Gregg,Democratic,6318
Allen,Governor,,Mike Pence,Republican,32688
Allen,U.S. House,3,Kevin R. Boyd,Democratic,3813
Allen,U.S. House,3,Stephen G. Hope,Democratic,737
Allen,U.S. House,3,Justin Kuhnle,Democratic,575
Allen,U.S. House,3,John Forrest Roberson,Democratic,485
Allen,U.S. House,3,Tommy A. Schrader,Democratic,833
Allen,U.S. House,3,David Sowards,Democratic,496
Allen,U.S. House,3,Marlin A. Stutzman,Republican,32178
Allen,State Senator,15,Ken Fries,Republican,0
Allen,State Senator,15,David C. Long,Republican,11052
Allen,State House,50,Mike Wallin,Democratic,409
Allen,State House,50,(Dan) Daniel J. Leonard,Republican,1627
Allen,State House,50,Gary Harbaugh,Republican,299
Allen,State House,50,Paul Moss,Republican,806
Allen,State House,50,David Powers,Republican,172
Allen,State House,50,Ben Smaltz,Republican,656
Allen,State House,50,Matthew S. Lehman,Republican,1157
Allen,State House,50,Martin Carbaugh,Republican,4506
Allen,State House,50,Mike Caywood,Republican,112
Allen,State House,50,Denise Lemmon,Republican,140
Allen,State House,50,David L. Ober,Republican,384
Allen,State House,50,Wesley Ortell,Republican,29
Allen,State House,50,Kathy Heuer,Republican,3188
Allen,State House,50,Keith R. Potter,Republican,1866
Allen,State House,50,Bob Morris,Republican,6856
Allen,State House,50,Phyllis J. Pond,Republican,4335
Allen,State House,50,Denny Worman,Republican,3083
Allen,State Convention Delegate,Allen County,Gordon Anthony,Democratic,0
Allen,State Convention Delegate,Allen County,Mike Avila,Democratic,0
Allen,State Convention Delegate,Allen County,Charles Belch,Democratic,0
Allen,State Convention Delegate,Allen County,Donna Belch,Democratic,0
Allen,State Convention Delegate,Allen County,Rachel Blakeman,Democratic,0
Allen,State Convention Delegate,Allen County,Barbara L Blauvelt,Democratic,0
