county,office,district,candidate,party,votes
Adams,President,,Barack Obama,Democratic,3806
Adams,President,,Gary Johnson,Libertarian,262
Adams,President,,Mitt Romney,Republican,8937
Adams,President,,"Virgil H Goode, Jr.",Constitution,2
Adams,President,,Dennis Knill,Democratic,0
Adams,President,,Stephen Durham,Freedom Socialist,0
Adams,President,,Christina Lopez,Freedom Socialist,0
Adams,President,,Jill Stein,Green,4
Adams,President,,Missionary-Tracey Elaine Blair,Independent,0
Adams,President,,Paul Chehade,Independent,0
Adams,President,,Richard Duncan,Independent,0
Adams,President,,Tom Hoefling,Independent,0
Adams,President,,Terry Dale Jones,Independent,0
Adams,President,,Nelson Keyton,Independent,0
Adams,President,,Jill Reed,Independent,0
Adams,President,,"Michael A Simoneux, Jr.",Independent,0
Adams,President,,Randall A Terry,Independent,0
Adams,President,,"John A Dummett, Jr.",Republican,0
Adams,President,,Stewart Alexander,Socialist,0
Adams,U.S. Senate,,Joseph Donnelly,Democratic,4613
Adams,U.S. Senate,,"Andrew ""Andy"" Horning",Libertarian,784
Adams,U.S. Senate,,Richard E Mourdock,Republican,7426
Adams,U.S. Senate,,Amy J Willis,Independent,0
Adams,U.S. Senate,,James L Johnson Junior,Workers Peace And Lo,0
Adams,Governor,,John R Gregg,Democratic,4521
Adams,Governor,,Rupert Boneham,Libertarian,329
Adams,Governor,,Michael R Pence,Republican,8109
Adams,Governor,,Donnie Harold Harris,Independent,0
Adams,Attorney General,,Kay Fleming,Democratic,3799
Adams,Attorney General,,Greg Zoeller,Republican,8675
Adams,Superintendent of Public Instruction,,Glenda Ritz,Democratic,6443
Adams,Superintendent of Public Instruction,,Tony Bennett,Republican,6238
Adams,U.S. House,3,Kevin Boyd,Democratic,3520
Adams,U.S. House,3,Marlin A Stutzman,Republican,9186
Adams,State House,79,Michael D Snyder,Democratic,4523
Adams,State House,79,Matthew S Lehman,Republican,8318
Adams,Judge of the Circuit Court,Adams (26Th Circuit),Frederick A Schurger,Democratic,6119
Adams,Judge of the Circuit Court,Adams (26Th Circuit),Chad E Kukelhan,Republican,6748
Allen,President,,Barack Obama,Democratic,60036
Allen,President,,Gary Johnson,Libertarian,2197
Allen,President,,Mitt Romney,Republican,84613
Allen,President,,"Virgil H Goode, Jr.",Constitution,16
Allen,President,,Dennis Knill,Democratic,0
Allen,President,,Stephen Durham,Freedom Socialist,0
Allen,President,,Christina Lopez,Freedom Socialist,0
Allen,President,,Jill Stein,Green,72
Allen,President,,Missionary-Tracey Elaine Blair,Independent,0
Allen,President,,Paul Chehade,Independent,0
Allen,President,,Richard Duncan,Independent,0
Allen,President,,Tom Hoefling,Independent,1
Allen,President,,Terry Dale Jones,Independent,0
Allen,President,,Nelson Keyton,Independent,0
Allen,President,,Jill Reed,Independent,0
Allen,President,,"Michael A Simoneux, Jr.",Independent,0
Allen,President,,Randall A Terry,Independent,1
Allen,President,,"John A Dummett, Jr.",Republican,2
Allen,President,,Stewart Alexander,Socialist,1
Allen,U.S. Senate,,Joseph Donnelly,Democratic,65053
Allen,U.S. Senate,,"Andrew ""Andy"" Horning",Libertarian,6936
Allen,U.S. Senate,,Richard E Mourdock,Republican,71734
Allen,U.S. Senate,,Amy J Willis,Independent,0
Allen,U.S. Senate,,James L Johnson Junior,Workers Peace And Lo,3
Allen,Governor,,John R Gregg,Democratic,61491
Allen,Governor,,Rupert Boneham,Libertarian,3808
Allen,Governor,,Michael R Pence,Republican,78869
Allen,Governor,,Donnie Harold Harris,Independent,4
Allen,Attorney General,,Kay Fleming,Democratic,51825
Allen,Attorney General,,Greg Zoeller,Republican,88793
Allen,Superintendent of Public Instruction,,Glenda Ritz,Democratic,72325
Allen,Superintendent of Public Instruction,,Tony Bennett,Republican,69401
Allen,U.S. House,3,Kevin Boyd,Democratic,54087
Allen,U.S. House,3,Marlin A Stutzman,Republican,88918
Allen,State Senator,16,Charles Thomas Keen Iii,Democratic,17475
Allen,State Senator,16,David C Long,Republican,32421
Allen,State House,50,R Wallin,Democratic,3550
Allen,State House,50,Daniel J Leonard,Republican,4392
Allen,State House,52,Charles E Odier,Democratic,2323
