candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Hendricks,BROWN 1,,,,970
,Ballots Cast,,,Hendricks,BROWN 1,,,,375
Mike Braun,U.S. Senate,,R,Hendricks,BROWN 1,246,127,0,373
Joe Donnelly,U.S. Senate,,D,Hendricks,BROWN 1,118,78,0,196
Lucy M Brenton,U.S. Senate,,L,Hendricks,BROWN 1,10,5,0,15
Write in,U.S. Senate,,,Hendricks,BROWN 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Hendricks,BROWN 1,278,138,0,416
Jim Harper,Secretary of State,,D,Hendricks,BROWN 1,84,67,0,151
Mark W. Rutherford,Secretary of State,,L,Hendricks,BROWN 1,11,3,0,14
Write in,Secretary of State,,,Hendricks,BROWN 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Hendricks,BROWN 1,277,137,0,414
Joselyn Whitticker,Auditor of State,,D,Hendricks,BROWN 1,82,66,0,148
John Schick,Auditor of State,,L,Hendricks,BROWN 1,11,3,0,14
Kelly Mitchell,Treasurer of State,,R,Hendricks,BROWN 1,292,137,0,429
John C. Aguilera,Treasurer of State,,D,Hendricks,BROWN 1,79,69,0,148
Jim Baird,U.S. House,4,R,Hendricks,BROWN 1,274,136,0,410
Tobi Beck,U.S. House,4,D,Hendricks,BROWN 1,100,72,0,172
Write in,U.S. House,4,,Hendricks,BROWN 1,0,0,0,0
Jeffrey A Thompson,State Representative,28,R,Hendricks,BROWN 1,278,133,0,411
Harlan Vondersaar,State Representative,28,D,Hendricks,BROWN 1,94,72,0,166
,Registered Voters,,,Hendricks,BROWN 2,,,,638
,Ballots Cast,,,Hendricks,BROWN 2,,,,297
Mike Braun,U.S. Senate,,R,Hendricks,BROWN 2,187,70,0,257
Joe Donnelly,U.S. Senate,,D,Hendricks,BROWN 2,100,43,0,143
Lucy M Brenton,U.S. Senate,,L,Hendricks,BROWN 2,10,2,0,12
Write in,U.S. Senate,,,Hendricks,BROWN 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Hendricks,BROWN 2,217,79,0,296
Jim Harper,Secretary of State,,D,Hendricks,BROWN 2,69,34,0,103
Mark W. Rutherford,Secretary of State,,L,Hendricks,BROWN 2,9,3,0,12
Write in,Secretary of State,,,Hendricks,BROWN 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Hendricks,BROWN 2,198,74,0,272
Joselyn Whitticker,Auditor of State,,D,Hendricks,BROWN 2,80,38,0,118
John Schick,Auditor of State,,L,Hendricks,BROWN 2,14,3,0,17
Kelly Mitchell,Treasurer of State,,R,Hendricks,BROWN 2,210,81,0,291
John C. Aguilera,Treasurer of State,,D,Hendricks,BROWN 2,82,35,0,117
Jim Baird,U.S. House,4,R,Hendricks,BROWN 2,205,76,0,281
Tobi Beck,U.S. House,4,D,Hendricks,BROWN 2,88,40,0,128
Write in,U.S. House,4,,Hendricks,BROWN 2,0,0,0,0
Jeffrey A Thompson,State Representative,28,R,Hendricks,BROWN 2,204,74,0,278
Harlan Vondersaar,State Representative,28,D,Hendricks,BROWN 2,90,40,0,130
,Registered Voters,,,Hendricks,BROWN 3,,,,1236
,Ballots Cast,,,Hendricks,BROWN 3,,,,592
Mike Braun,U.S. Senate,,R,Hendricks,BROWN 3,424,159,0,583
Joe Donnelly,U.S. Senate,,D,Hendricks,BROWN 3,152,101,0,253
Lucy M Brenton,U.S. Senate,,L,Hendricks,BROWN 3,13,4,0,17
Write in,U.S. Senate,,,Hendricks,BROWN 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Hendricks,BROWN 3,470,178,0,646
Jim Harper,Secretary of State,,D,Hendricks,BROWN 3,103,82,0,185
Mark W. Rutherford,Secretary of State,,L,Hendricks,BROWN 3,14,3,0,17
Write in,Secretary of State,,,Hendricks,BROWN 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Hendricks,BROWN 3,460,173,0,633
Joselyn Whitticker,Auditor of State,,D,Hendricks,BROWN 3,105,83,0,188
John Schick,Auditor of State,,L,Hendricks,BROWN 3,14,4,0,18
Kelly Mitchell,Treasurer of State,,R,Hendricks,BROWN 3,469,176,0,645
John C. Aguilera,Treasurer of State,,D,Hendricks,BROWN 3,107,84,0,191
Jim Baird,U.S. House,4,R,Hendricks,BROWN 3,454,160,0,614
Tobi Beck,U.S. House,4,D,Hendricks,BROWN 3,132,101,0,233
Write in,U.S. House,4,,Hendricks,BROWN 3,0,0,0,0
Jeffrey A Thompson,State Representative,28,R,Hendricks,BROWN 3,453,169,0,622
Harlan Vondersaar,State Representative,28,D,Hendricks,BROWN 3,129,88,0,217
,Registered Voters,,,Hendricks,BROWN 4,,,,917
,Ballots Cast,,,Hendricks,BROWN 4,,,,435
Mike Braun,U.S. Senate,,R,Hendricks,BROWN 4,317,101,0,418
Joe Donnelly,U.S. Senate,,D,Hendricks,BROWN 4,106,57,0,163
Lucy M Brenton,U.S. Senate,,L,Hendricks,BROWN 4,8,1,0,9
Write in,U.S. Senate,,,Hendricks,BROWN 4,0,0,0,0
Connie Lawson,Secretary of State,,R,Hendricks,BROWN 4,337,107,0,444
Jim Harper,Secretary of State,,D,Hendricks,BROWN 4,80,51,0,131
