candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Miami,01-Allen,,,,409
,Ballots Cast,,,Miami,01-Allen,,,,209
Mike Braun,U.S. Senate,,R,Miami,01-Allen,125,23,0,148
Joe Donnelly,U.S. Senate,,D,Miami,01-Allen,69,8,0,77
Lucy M Brenton,U.S. Senate,,L,Miami,01-Allen,12,2,0,14
Write in,U.S. Senate,,,Miami,01-Allen,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,01-Allen,147,27,0,174
Jim Harper,Secretary of State,,D,Miami,01-Allen,50,5,0,55
Mark W. Rutherford,Secretary of State,,L,Miami,01-Allen,7,0,0,7
Write in,Secretary of State,,,Miami,01-Allen,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,01-Allen,134,26,0,160
Joselyn Whitticker,Auditor of State,,D,Miami,01-Allen,52,4,0,56
John Schick,Auditor of State,,L,Miami,01-Allen,13,2,0,15
Kelly Mitchell,Treasurer of State,,R,Miami,01-Allen,151,28,0,179
John C. Aguilera,Treasurer of State,,D,Miami,01-Allen,49,4,0,53
Jackie Walorski,U S House,2,R,Miami,01-Allen,135,25,0,160
Mel Hall,U S House,2,D,Miami,01-Allen,64,7,0,71
Write in,U S House,2,,Miami,01-Allen,0,0,0,0
Ethan Manning,State Repsentative ,23,R,Miami,01-Allen,128,21,0,149
Terry Doran,State Repsentative ,23,D,Miami,01-Allen,62,9,0,71
Adam Werner,State Repsentative ,23,L,Miami,01-Allen,12,2,0,14
,Registered Voters,,,Miami,02-Butler,,,,544
,Ballots Cast,,,Miami,02-Butler,,,,153
Mike Braun,U.S. Senate,,R,Miami,02-Butler,112,135,0,247
Joe Donnelly,U.S. Senate,,D,Miami,02-Butler,28,39,0,67
Lucy M Brenton,U.S. Senate,,L,Miami,02-Butler,10,8,0,18
Write in,U.S. Senate,,,Miami,02-Butler,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,02-Butler,125,136,0,261
Jim Harper,Secretary of State,,D,Miami,02-Butler,18,40,0,58
Mark W. Rutherford,Secretary of State,,L,Miami,02-Butler,5,3,0,8
Write in,Secretary of State,,,Miami,02-Butler,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,02-Butler,121,138,0,259
Joselyn Whitticker,Auditor of State,,D,Miami,02-Butler,20,40,0,60
John Schick,Auditor of State,,L,Miami,02-Butler,4,2,0,6
Kelly Mitchell,Treasurer of State,,R,Miami,02-Butler,127,140,0,267
John C. Aguilera,Treasurer of State,,D,Miami,02-Butler,18,40,0,58
Jackie Walorski,U S House,2,R,Miami,02-Butler,122,139,0,261
Mel Hall,U S House,2,D,Miami,02-Butler,25,41,0,66
Write in,U S House,2,,Miami,02-Butler,0,0,0,0
Ethan Manning,State Repsentative ,23,R,Miami,02-Butler,120,132,0,252
Terry Doran,State Repsentative ,23,D,Miami,02-Butler,21,43,0,64
Adam Werner,State Repsentative ,23,L,Miami,02-Butler,6,3,0,9
,Registered Voters,,,Miami,03-Clay,,,,604
,Ballots Cast,,,Miami,03-Clay,,,,142
Mike Braun,U.S. Senate,,R,Miami,03-Clay,108,161,0,269
Joe Donnelly,U.S. Senate,,D,Miami,03-Clay,25,38,0,63
Lucy M Brenton,U.S. Senate,,L,Miami,03-Clay,9,4,0,13
Write in,U.S. Senate,,,Miami,03-Clay,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,03-Clay,116,176,0,292
Jim Harper,Secretary of State,,D,Miami,03-Clay,22,27,0,49
Mark W. Rutherford,Secretary of State,,L,Miami,03-Clay,2,2,0,4
Write in,Secretary of State,,,Miami,03-Clay,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,03-Clay,111,173,0,284
Joselyn Whitticker,Auditor of State,,D,Miami,03-Clay,20,29,0,49
John Schick,Auditor of State,,L,Miami,03-Clay,7,2,0,9
Kelly Mitchell,Treasurer of State,,R,Miami,03-Clay,118,181,0,299
John C. Aguilera,Treasurer of State,,D,Miami,03-Clay,19,24,0,43
Jackie Walorski,U S House,2,R,Miami,03-Clay,117,169,0,286
Mel Hall,U S House,2,D,Miami,03-Clay,23,33,0,56
Write in,U S House,2,,Miami,03-Clay,1,0,0,1
Ethan Manning,State Repsentative ,23,R,Miami,03-Clay,119,168,0,287
Terry Doran,State Repsentative ,23,D,Miami,03-Clay,21,33,0,54
Adam Werner,State Repsentative ,23,L,Miami,03-Clay,2,1,0,3
,Registered Voters,,,Miami,04-Deer Creek,,,,1038
,Ballots Cast,,,Miami,04-Deer Creek,,,,255
Mike Braun,U.S. Senate,,R,Miami,04-Deer Creek,168,180,0,348
Joe Donnelly,U.S. Senate,,D,Miami,04-Deer Creek,76,59,0,135
Lucy M Brenton,U.S. Senate,,L,Miami,04-Deer Creek,7,10,0,17
Write in,U.S. Senate,,,Miami,04-Deer Creek,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,04-Deer Creek,182,194,0,376
Jim Harper,Secretary of State,,D,Miami,04-Deer Creek,58,50,0,108
Mark W. Rutherford,Secretary of State,,L,Miami,04-Deer Creek,10,7,0,17
Write in,Secretary of State,,,Miami,04-Deer Creek,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,04-Deer Creek,178,190,0,368
Joselyn Whitticker,Auditor of State,,D,Miami,04-Deer Creek,60,55,0,115
John Schick,Auditor of State,,L,Miami,04-Deer Creek,7,4,0,11
Kelly Mitchell,Treasurer of State,,R,Miami,04-Deer Creek,186,195,0,381
John C. Aguilera,Treasurer of State,,D,Miami,04-Deer Creek,60,54,0,114
Jackie Walorski,U S House,2,R,Miami,04-Deer Creek,179,193,0,372
Mel Hall,U S House,2,D,Miami,04-Deer Creek,70,56,0,126
Write in,U S House,2,,Miami,04-Deer Creek,0,0,0,0
Ethan Manning,State Repsentative ,23,R,Miami,04-Deer Creek,181,194,0,375
Terry Doran,State Repsentative ,23,D,Miami,04-Deer Creek,66,48,0,114
Adam Werner,State Repsentative ,23,L,Miami,04-Deer Creek,3,8,0,11
,Registered Voters,,,Miami,05-Erie,,,,382
,Ballots Cast,,,Miami,05-Erie,,,,98
Mike Braun,U.S. Senate,,R,Miami,05-Erie,66,90,0,156
Joe Donnelly,U.S. Senate,,D,Miami,05-Erie,20,23,0,43
Lucy M Brenton,U.S. Senate,,L,Miami,05-Erie,11,6,0,17
Write in,U.S. Senate,,,Miami,05-Erie,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,05-Erie,72,94,0,166
Jim Harper,Secretary of State,,D,Miami,05-Erie,15,20,0,35
Mark W. Rutherford,Secretary of State,,L,Miami,05-Erie,9,3,0,12
Write in,Secretary of State,,,Miami,05-Erie,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,05-Erie,72,93,0,165
Joselyn Whitticker,Auditor of State,,D,Miami,05-Erie,19,19,0,38
John Schick,Auditor of State,,L,Miami,05-Erie,5,5,0,10
Kelly Mitchell,Treasurer of State,,R,Miami,05-Erie,75,96,0,171
John C. Aguilera,Treasurer of State,,D,Miami,05-Erie,22,21,0,43
Jackie Walorski,U S House,2,R,Miami,05-Erie,70,85,0,155
Mel Hall,U S House,2,D,Miami,05-Erie,26,30,0,56
Write in,U S House,2,,Miami,05-Erie,0,0,0,0
Ethan Manning,State Repsentative ,23,R,Miami,05-Erie,74,93,0,167
Terry Doran,State Repsentative ,23,D,Miami,05-Erie,16,20,0,36
Adam Werner,State Repsentative ,23,L,Miami,05-Erie,8,4,0,12
,Registered Voters,,,Miami,06-Harrison,,,,4103
,Ballots Cast,,,Miami,06-Harrison,,,,124
Mike Braun,U.S. Senate,,R,Miami,06-Harrison,105,109,0,214
Joe Donnelly,U.S. Senate,,D,Miami,06-Harrison,12,29,0,41
Lucy M Brenton,U.S. Senate,,L,Miami,06-Harrison,7,7,0,14
Write in,U.S. Senate,,,Miami,06-Harrison,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,06-Harrison,111,113,0,224
Jim Harper,Secretary of State,,D,Miami,06-Harrison,9,25,0,34
Mark W. Rutherford,Secretary of State,,L,Miami,06-Harrison,2,6,0,8
Write in,Secretary of State,,,Miami,06-Harrison,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,06-Harrison,112,112,0,224
Joselyn Whitticker,Auditor of State,,D,Miami,06-Harrison,9,24,0,33
John Schick,Auditor of State,,L,Miami,06-Harrison,1,8,0,9
Kelly Mitchell,Treasurer of State,,R,Miami,06-Harrison,111,117,0,228
John C. Aguilera,Treasurer of State,,D,Miami,06-Harrison,11,27,0,38
Jackie Walorski,U S House,2,R,Miami,06-Harrison,110,116,0,226
Mel Hall,U S House,2,D,Miami,06-Harrison,11,28,0,39
Write in,U S House,2,,Miami,06-Harrison,1,0,0,1
Ethan Manning,State Repsentative ,23,R,Miami,06-Harrison,108,106,0,214
Terry Doran,State Repsentative ,23,D,Miami,06-Harrison,12,30,0,42
Adam Werner,State Repsentative ,23,L,Miami,06-Harrison,1,4,0,5
,Registered Voters,,,Miami,07-Jackson,,,,1175
,Ballots Cast,,,Miami,07-Jackson,,,,427
Mike Braun,U.S. Senate,,R,Miami,07-Jackson,297,152,0,449
Joe Donnelly,U.S. Senate,,D,Miami,07-Jackson,104,56,0,160
Lucy M Brenton,U.S. Senate,,L,Miami,07-Jackson,20,8,0,28
Write in,U.S. Senate,,,Miami,07-Jackson,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,07-Jackson,319,163,0,482
Jim Harper,Secretary of State,,D,Miami,07-Jackson,90,46,0,136
Mark W. Rutherford,Secretary of State,,L,Miami,07-Jackson,12,6,0,18
Write in,Secretary of State,,,Miami,07-Jackson,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,07-Jackson,305,160,0,465
Joselyn Whitticker,Auditor of State,,D,Miami,07-Jackson,96,47,0,143
John Schick,Auditor of State,,L,Miami,07-Jackson,17,8,0,25
Kelly Mitchell,Treasurer of State,,R,Miami,07-Jackson,331,169,0,500
John C. Aguilera,Treasurer of State,,D,Miami,07-Jackson,85,46,0,131
Jackie Walorski,U S House,2,R,Miami,07-Jackson,320,164,0,484
Mel Hall,U S House,2,D,Miami,07-Jackson,99,50,0,149
Write in,U S House,2,,Miami,07-Jackson,0,0,0,0
David A Wolkins ,State Repsentative ,18,R,Miami,07-Jackson,311,163,0,474
Dee M Moore,State Repsentative ,18,D,Miami,07-Jackson,104,51,0,155
,Registered Voters,,,Miami,08-Jefferson,,,,1602
,Ballots Cast,,,Miami,08-Jefferson,,,,387
Mike Braun,U.S. Senate,,R,Miami,08-Jefferson,267,344,0,611
Joe Donnelly,U.S. Senate,,D,Miami,08-Jefferson,89,125,0,214
Lucy M Brenton,U.S. Senate,,L,Miami,08-Jefferson,26,30,0,56
Write in,U.S. Senate,,,Miami,08-Jefferson,0,0,0,0
Connie Lawson,Secretary of State,,R,Miami,08-Jefferson,293,371,0,664
Jim Harper,Secretary of State,,D,Miami,08-Jefferson,72,101,0,173
Mark W. Rutherford,Secretary of State,,L,Miami,08-Jefferson,12,20,0,32
Write in,Secretary of State,,,Miami,08-Jefferson,0,0,0,0
Tera Klutz,Auditor of State,,R,Miami,08-Jefferson,280,362,0,642
