candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Decatur,Greensburg 1,,,,913
,Ballots Cast,,,Decatur,Greensburg 1,,,,281
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 1,178,91,0,269
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 1,86,55,0,141
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 1,16,7,0,23
Write in,U.S. Senate,,,Decatur,Greensburg 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 1,200,106,0,306
Jim Harper,Secretary of State,,D,Decatur,Greensburg 1,70,43,0,113
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 1,8,4,0,12
Write in,Secretary of State,,,Decatur,Greensburg 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 1,178,95,0,273
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 1,75,51,0,126
John Schick,Auditor of State,,L,Decatur,Greensburg 1,14,5,0,19
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 1,199,103,0,302
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 1,68,44,0,112
Greg Pence,U.S. House,6,R,Decatur,Greensburg 1,193,98,0,291
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 1,76,53,0,129
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 1,8,2,0,10
Write in,U.S. House,6,R,Decatur,Greensburg 1,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 1,211,111,0,322
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 1,191,97,0,288
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 1,82,49,0,131
,Registered Voters,,,Decatur,Greensburg 2,,,,784
,Ballots Cast,,,Decatur,Greensburg 2,,,,292
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 2,185,92,0,277
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 2,80,66,0,146
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 2,21,3,0,24
Write in,U.S. Senate,,,Decatur,Greensburg 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 2,211,97,0,308
Jim Harper,Secretary of State,,D,Decatur,Greensburg 2,66,58,0,124
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 2,8,2,0,10
Write in,Secretary of State,,,Decatur,Greensburg 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 2,199,96,0,295
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 2,68,57,0,125
John Schick,Auditor of State,,L,Decatur,Greensburg 2,5,1,0,6
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 2,213,106,0,319
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 2,61,49,0,110
Greg Pence,U.S. House,6,R,Decatur,Greensburg 2,201,94,0,295
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 2,76,62,0,138
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 2,7,3,0,10
Write in,U.S. House,6,R,Decatur,Greensburg 2,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 2,221,104,0,325
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 2,194,93,0,287
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 2,80,61,0,141
,Registered Voters,,,Decatur,Greensburg 3,,,,721
,Ballots Cast,,,Decatur,Greensburg 3,,,,270
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 3,182,74,0,256
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 3,67,54,0,121
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 3,19,7,0,26
Write in,U.S. Senate,,,Decatur,Greensburg 3,0,1,0,1
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 3,195,81,0,276
Jim Harper,Secretary of State,,D,Decatur,Greensburg 3,56,49,0,105
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 3,12,3,0,15
Write in,Secretary of State,,,Decatur,Greensburg 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 3,184,82,0,266
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 3,63,45,0,108
John Schick,Auditor of State,,L,Decatur,Greensburg 3,14,2,0,16
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 3,197,81,0,278
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 3,63,48,0,111
Greg Pence,U.S. House,6,R,Decatur,Greensburg 3,203,81,0,284
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 3,58,55,0,113
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 3,8,0,0,8
Write in,U.S. House,6,R,Decatur,Greensburg 3,0,1,0,1
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 3,221,89,0,310
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 3,188,81,0,269
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 3,71,54,0,125
,Registered Voters,,,Decatur,Greensburg 4,,,,1080
,Ballots Cast,,,Decatur,Greensburg 4,,,,470
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 4,317,172,0,489
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 4,112,94,0,206
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 4,29,7,0,36
Write in,U.S. Senate,,,Decatur,Greensburg 4,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 4,364,189,0,553
Jim Harper,Secretary of State,,D,Decatur,Greensburg 4,79,75,0,154
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 4,15,5,0,20
Write in,Secretary of State,,,Decatur,Greensburg 4,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 4,347,179,0,526
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 4,87,79,0,166
John Schick,Auditor of State,,L,Decatur,Greensburg 4,15,2,0,17
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 4,372,188,0,560
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 4,73,72,0,145
Greg Pence,U.S. House,6,R,Decatur,Greensburg 4,356,178,0,534
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 4,93,89,0,182
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 4,14,2,0,16
Write in,U.S. House,6,R,Decatur,Greensburg 4,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 4,382,200,0,582
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 4,363,179,0,542
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 4,94,83,0,177
,Registered Voters,,,Decatur,Greensburg 5,,,,796
,Ballots Cast,,,Decatur,Greensburg 5,,,,284
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 5,184,85,0,269
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 5,77,48,0,125
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 5,19,2,0,21
Write in,U.S. Senate,,,Decatur,Greensburg 5,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 5,204,94,0,298
Jim Harper,Secretary of State,,D,Decatur,Greensburg 5,60,37,0,97
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 5,12,2,0,14
Write in,Secretary of State,,,Decatur,Greensburg 5,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 5,193,89,0,282
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 5,64,38,0,102
John Schick,Auditor of State,,L,Decatur,Greensburg 5,9,3,0,12
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 5,202,92,0,294
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 5,63,38,0,101
Greg Pence,U.S. House,6,R,Decatur,Greensburg 5,196,89,0,285
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 5,74,42,0,116
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 5,10,2,0,12
Write in,U.S. House,6,R,Decatur,Greensburg 5,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 5,223,103,0,326
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 5,196,93,0,289
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 5,77,40,0,117
,Registered Voters,,,Decatur,Greensburg 6,,,,614
,Ballots Cast,,,Decatur,Greensburg 6,,,,179
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 6,105,60,0,165
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 6,59,24,0,83
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 6,13,5,0,18
Write in,U.S. Senate,,,Decatur,Greensburg 6,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 6,115,64,0,179
Jim Harper,Secretary of State,,D,Decatur,Greensburg 6,51,23,0,74
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 6,6,1,0,7
Write in,Secretary of State,,,Decatur,Greensburg 6,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 6,114,60,0,174
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 6,46,23,0,69
John Schick,Auditor of State,,L,Decatur,Greensburg 6,11,2,0,13
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 6,122,60,0,182
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 6,48,25,0,73
Greg Pence,U.S. House,6,R,Decatur,Greensburg 6,115,60,0,175
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 6,55,27,0,82
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 6,7,2,0,9
Write in,U.S. House,6,R,Decatur,Greensburg 6,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 6,133,68,0,201
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 6,117,58,0,175
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 6,59,30,0,89
,Registered Voters,,,Decatur,Greensburg 7,,,,1044
,Ballots Cast,,,Decatur,Greensburg 7,,,,266
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 7,165,91,0,256
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 7,78,50,0,128
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 7,19,8,0,27
Write in,U.S. Senate,,,Decatur,Greensburg 7,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 7,190,95,0,285
Jim Harper,Secretary of State,,D,Decatur,Greensburg 7,55,48,0,103
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 7,13,5,0,18
Write in,Secretary of State,,,Decatur,Greensburg 7,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 7,182,89,0,271
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 7,53,50,0,103
John Schick,Auditor of State,,L,Decatur,Greensburg 7,16,3,0,19
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 7,195,92,0,287
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 7,55,49,0,104
Greg Pence,U.S. House,6,R,Decatur,Greensburg 7,185,91,0,276
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 7,67,54,0,121
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 7,8,2,0,10
Write in,U.S. House,6,R,Decatur,Greensburg 7,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 7,204,101,0,305
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 7,191,99,0,290
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 7,65,48,0,113
,Registered Voters,,,Decatur,Greensburg 8,,,,940
,Ballots Cast,,,Decatur,Greensburg 8,,,,341
Mike Braun,U.S. Senate,,R,Decatur,Greensburg 8,215,71,0,286
Joe Donnelly,U.S. Senate,,D,Decatur,Greensburg 8,98,28,0,126
Lucy M Brenton,U.S. Senate,,L,Decatur,Greensburg 8,24,8,0,32
Write in,U.S. Senate,,,Decatur,Greensburg 8,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,Greensburg 8,241,82,0,323
Jim Harper,Secretary of State,,D,Decatur,Greensburg 8,80,21,0,101
Mark W. Rutherford,Secretary of State,,L,Decatur,Greensburg 8,13,3,0,16
Write in,Secretary of State,,,Decatur,Greensburg 8,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,Greensburg 8,215,78,0,293
Joselyn Whitticker,Auditor of State,,D,Decatur,Greensburg 8,93,24,0,117
John Schick,Auditor of State,,L,Decatur,Greensburg 8,17,2,0,19
Kelly Mitchell,Treasurer of State,,R,Decatur,Greensburg 8,238,85,0,323
John C. Aguilera,Treasurer of State,,D,Decatur,Greensburg 8,84,19,0,103
Greg Pence,U.S. House,6,R,Decatur,Greensburg 8,227,79,0,306
Jeannine Lee Lake,U.S. House,6,D,Decatur,Greensburg 8,92,25,0,117
Tom Ferkinhoff ,U.S. House,6,L,Decatur,Greensburg 8,18,3,0,21
Write in,U.S. House,6,R,Decatur,Greensburg 8,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,Greensburg 8,261,85,0,346
Cindy Meyer Ziemke,State Representative,55,R,Decatur,Greensburg 8,228,78,0,306
Corinne Westerfield,State Representative,55,D,Decatur,Greensburg 8,97,29,0,126
,Registered Voters,,,Decatur,09-Adams Township,,,,870
,Ballots Cast,,,Decatur,09-Adams Township,,,,352
Mike Braun,U.S. Senate,,R,Decatur,09-Adams Township,250,58,0,308
Joe Donnelly,U.S. Senate,,D,Decatur,09-Adams Township,81,44,0,125
Lucy M Brenton,U.S. Senate,,L,Decatur,09-Adams Township,17,6,0,23
Write in,U.S. Senate,,,Decatur,09-Adams Township,0,0,0,0
Connie Lawson,Secretary of State,,R,Decatur,09-Adams Township,280,70,0,350
Jim Harper,Secretary of State,,D,Decatur,09-Adams Township,57,33,0,90
Mark W. Rutherford,Secretary of State,,L,Decatur,09-Adams Township,8,3,0,11
Write in,Secretary of State,,,Decatur,09-Adams Township,0,0,0,0
Tera Klutz,Auditor of State,,R,Decatur,09-Adams Township,267,70,0,337
Joselyn Whitticker,Auditor of State,,D,Decatur,09-Adams Township,67,34,0,101
John Schick,Auditor of State,,L,Decatur,09-Adams Township,7,4,0,11
Kelly Mitchell,Treasurer of State,,R,Decatur,09-Adams Township,278,72,0,350
John C. Aguilera,Treasurer of State,,D,Decatur,09-Adams Township,59,35,0,94
Greg Pence,U.S. House,6,R,Decatur,09-Adams Township,270,64,0,334
Jeannine Lee Lake,U.S. House,6,D,Decatur,09-Adams Township,73,41,0,114
Tom Ferkinhoff ,U.S. House,6,L,Decatur,09-Adams Township,5,5,0,10
Write in,U.S. House,6,R,Decatur,09-Adams Township,0,0,0,0
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,R,Decatur,09-Adams Township,282,80,0,362
Cindy Meyer Ziemke,State Representative,55,R,Decatur,09-Adams Township,270,72,0,342
Corinne Westerfield,State Representative,55,D,Decatur,09-Adams Township,73,38,0,111
