candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
,Registered Voters,,,Adams,01-Berne A,,,,1033,
,Ballots Cast,,,Adams,01-Berne A,,,,411,
Mike Braun,U.S. Senate,,R,Adams,01-Berne A,296,114,1,411,
Joe Donnelly,U.S. Senate,,D,Adams,01-Berne A,92,54,0,146,
Lucy M Brenton,U.S. Senate,,L,Adams,01-Berne A,19,9,0,28,
Write in,U.S. Senate,,,Adams,01-Berne A,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,01-Berne A,316,128,1,445,
Jim Harper,Secretary of State,,D,Adams,01-Berne A,75,42,0,117,
Mark W. Rutherford,Secretary of State,,L,Adams,01-Berne A,12,1,0,13,
Write in,Secretary of State,,,Adams,01-Berne A,1,0,0,1,
Tera Klutz,Auditor of State,,R,Adams,01-Berne A,314,121,1,436,
Joselyn Whitticker,Auditor of State,,D,Adams,01-Berne A,79,43,0,122,
John Schick,Auditor of State,,L,Adams,01-Berne A,12,2,0,14,
Kelly Mitchell,Treasurer of State,,R,Adams,01-Berne A,325,129,1,455,
John C. Aguilera,Treasurer of State,,D,Adams,01-Berne A,78,43,0,121,
Jim Banks,U S House,3,R,Adams,01-Berne A,328,131,1,460,
Courtney Tritch,U S House,3,D,Adams,01-Berne A,80,44,0,124,
Write in,U S House,3,,Adams,01-Berne A,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,01-Berne A,346,139,1,486,
Matthew S Lehman,State Representative ,79,R,Adams,01-Berne A,359,145,1,505,
,Registered Voters,,,Adams,02-Berne B,,,,986,
,Ballots Cast,,,Adams,02-Berne B,,,,416,
Mike Braun,U.S. Senate,,R,Adams,02-Berne B,322,116,0,438,
Joe Donnelly,U.S. Senate,,D,Adams,02-Berne B,68,39,0,107,
Lucy M Brenton,U.S. Senate,,L,Adams,02-Berne B,21,7,0,28,
Write in,U.S. Senate,,,Adams,02-Berne B,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,02-Berne B,335,129,0,464,
Jim Harper,Secretary of State,,D,Adams,02-Berne B,56,30,0,86,
Mark W. Rutherford,Secretary of State,,L,Adams,02-Berne B,16,2,0,18,
Write in,Secretary of State,,,Adams,02-Berne B,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,02-Berne B,333,123,0,456,
Joselyn Whitticker,Auditor of State,,D,Adams,02-Berne B,61,32,0,93,
John Schick,Auditor of State,,L,Adams,02-Berne B,15,3,0,18,
Kelly Mitchell,Treasurer of State,,R,Adams,02-Berne B,350,125,0,475,
John C. Aguilera,Treasurer of State,,D,Adams,02-Berne B,58,32,0,90,
Jim Banks,U S House,3,R,Adams,02-Berne B,353,125,0,478,
Courtney Tritch,U S House,3,D,Adams,02-Berne B,57,36,0,93,
Write in,U S House,3,,Adams,02-Berne B,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,02-Berne B,364,135,0,499,
Matthew S Lehman,State Representative ,79,R,Adams,02-Berne B,372,137,0,509,
,Registered Voters,,,Adams,03-Berne C,,,,830,
,Ballots Cast,,,Adams,03-Berne C,,,,369,
Mike Braun,U.S. Senate,,R,Adams,03-Berne C,288,170,0,458,
Joe Donnelly,U.S. Senate,,D,Adams,03-Berne C,65,50,0,115,
Lucy M Brenton,U.S. Senate,,L,Adams,03-Berne C,6,7,0,13,
Write in,U.S. Senate,,,Adams,03-Berne C,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,03-Berne C,303,189,0,492,
Jim Harper,Secretary of State,,D,Adams,03-Berne C,49,39,0,88,
Mark W. Rutherford,Secretary of State,,L,Adams,03-Berne C,4,0,0,4,
Write in,Secretary of State,,,Adams,03-Berne C,2,0,0,2,
Tera Klutz,Auditor of State,,R,Adams,03-Berne C,298,184,0,482,
Joselyn Whitticker,Auditor of State,,D,Adams,03-Berne C,53,40,0,93,
John Schick,Auditor of State,,L,Adams,03-Berne C,5,3,0,8,
Kelly Mitchell,Treasurer of State,,R,Adams,03-Berne C,308,188,0,496,
John C. Aguilera,Treasurer of State,,D,Adams,03-Berne C,47,39,0,86,
Jim Banks,U S House,3,R,Adams,03-Berne C,307,185,0,492,
Courtney Tritch,U S House,3,D,Adams,03-Berne C,60,45,0,105,
Write in,U S House,3,,Adams,03-Berne C,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,03-Berne C,321,191,0,512,
Matthew S Lehman,State Representative ,79,R,Adams,03-Berne C,338,200,0,538,
,Registered Voters,,,Adams,04-Blue Creek,,,,296,
,Ballots Cast,,,Adams,04-Blue Creek,,,,118,
Mike Braun,U.S. Senate,,R,Adams,04-Blue Creek,101,51,0,152,
Joe Donnelly,U.S. Senate,,D,Adams,04-Blue Creek,13,12,0,25,
Lucy M Brenton,U.S. Senate,,L,Adams,04-Blue Creek,1,0,0,1,
Write in,U.S. Senate,,,Adams,04-Blue Creek,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,04-Blue Creek,107,54,0,161,
Jim Harper,Secretary of State,,D,Adams,04-Blue Creek,6,8,0,14,
Mark W. Rutherford,Secretary of State,,L,Adams,04-Blue Creek,2,0,0,2,
Write in,Secretary of State,,,Adams,04-Blue Creek,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,04-Blue Creek,102,54,0,156,
