candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Warrick,Anderson,,,,851
,Ballots Cast,,,Warrick,Anderson,,,,416
Mike Braun,U.S. Senate,,R,Warrick,Anderson,252,51,0,303
Joe Donnelly,U.S. Senate,,D,Warrick,Anderson,141,30,0,171
Lucy M Brenton,U.S. Senate,,L,Warrick,Anderson,17,1,0,18
Write in,U.S. Senate,,,Warrick,Anderson,0,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Anderson,269,51,0,320
Jim Harper,Secretary of State,,D,Warrick,Anderson,123,25,0,148
Mark W. Rutherford,Secretary of State,,L,Warrick,Anderson,12,4,0,16
Write in,Secretary of State,,,Warrick,Anderson,1,0,0,1
Tera Klutz,Auditor of State,,R,Warrick,Anderson,263,51,0,314
Joselyn Whitticker,Auditor of State,,D,Warrick,Anderson,122,27,0,149
John Schick,Auditor of State,,L,Warrick,Anderson,15,2,0,17
Kelly Mitchell,Treasurer of State,,R,Warrick,Anderson,284,53,0,337
John C. Aguilera,Treasurer of State,,D,Warrick,Anderson,117,27,0,144
Larry D Bucshon,U.S. House,8,R,Warrick,Anderson,279,51,0,330
William Tanoos,U.S. House,8,D,Warrick,Anderson,129,29,0,158
Write in,U.S. House,8,,Warrick,Anderson,0,0,0,0
Mark Messmer,State Senate,48,R,Warrick,Anderson,329,58,0,387
No Candidate Filed,State Senate,48,D,Warrick,Anderson,0,0,0,0
Ron Bacon ,State Representative,75,R,Warrick,Anderson,,,,
John Hurley ,State Representative,75,D,Warrick,Anderson,,,,
,Registered Voters,,,Warrick,Boon 1,,,,290
,Ballots Cast,,,Warrick,Boon 1,,,,78
Mike Braun,U.S. Senate,,R,Warrick,Boon 1,47,27,0,74
Joe Donnelly,U.S. Senate,,D,Warrick,Boon 1,27,23,0,50
Lucy M Brenton,U.S. Senate,,L,Warrick,Boon 1,4,0,0,4
Write in,U.S. Senate,,,Warrick,Boon 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Warrick,Boon 1,50,29,0,79
Jim Harper,Secretary of State,,D,Warrick,Boon 1,25,20,0,45
Mark W. Rutherford,Secretary of State,,L,Warrick,Boon 1,3,1,0,4
Write in,Secretary of State,,,Warrick,Boon 1,0,0,0,0
