candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Pike,01-Clay,,,,245
,Ballots Cast,,,Pike,01-Clay,,,,106
Mike Braun,U.S. Senate,,R,Pike,01-Clay,61,22,0,83
Joe Donnelly,U.S. Senate,,D,Pike,01-Clay,37,8,1,46
Lucy M Brenton,U.S. Senate,,L,Pike,01-Clay,8,0,0,8
Write in,U.S. Senate,,,Pike,01-Clay,0,0,0,0
Connie Lawson,Secretary of State,,R,Pike,01-Clay,58,20,0,78
Jim Harper,Secretary of State,,D,Pike,01-Clay,35,9,1,45
Mark W. Rutherford,Secretary of State,,L,Pike,01-Clay,10,0,0,10
Write in,Secretary of State,,,Pike,01-Clay,0,0,0,0
Tera Klutz,Auditor of State,,R,Pike,01-Clay,60,21,0,81
Joselyn Whitticker,Auditor of State,,D,Pike,01-Clay,33,8,1,42
John Schick,Auditor of State,,L,Pike,01-Clay,8,0,0,8
Kelly Mitchell,Treasurer of State,,R,Pike,01-Clay,67,21,0,88
John C. Aguilera,Treasurer of State,,D,Pike,01-Clay,35,8,1,44
Larry D Bucshon,U S House,8,R,Pike,01-Clay,68,20,0,88
William Tanoos,U S House,8,D,Pike,01-Clay,36,9,1,46
Write in,U S House,8,,Pike,01-Clay,0,0,0,0
Mark Messmer,State Senate,48,R,Pike,01-Clay,85,28,0,113
No Candidate Filed,State Senate,48,D,Pike,01-Clay,0,0,0,0
Matt Hostettler,State Representative ,64,R,Pike,01-Clay,84,28,0,112
No Candidate Filed,State Representative ,64,D,Pike,01-Clay,0,0,0,0
,Registered Voters,,,Pike,02-Jeff 1,,,,746
,Ballots Cast,,,Pike,02-Jeff 1,,,,319
Mike Braun,U.S. Senate,,R,Pike,02-Jeff 1,229,99,0,328
Joe Donnelly,U.S. Senate,,D,Pike,02-Jeff 1,76,78,0,154
Lucy M Brenton,U.S. Senate,,L,Pike,02-Jeff 1,10,6,0,16
Write in,U.S. Senate,,,Pike,02-Jeff 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Pike,02-Jeff 1,225,95,0,320
Jim Harper,Secretary of State,,D,Pike,02-Jeff 1,67,77,0,144
