county,office,district,candidate,party,votes
Adams,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Adams,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Adams,U.S. Senate,,Joe Donnelly,Democratic,3146
Adams,U.S. Senate,,Lucy M. Brenton,Libertarian,489
Adams,U.S. Senate,,Mike Braun,Republican,7511
Adams,U.S. Senate,,Nathan Altman (W/I),Independent,0
Allen,U.S. Senate,,Christopher Fischer (W/I),Independent,1
Allen,U.S. Senate,,James L. Johnson Jr. (W/I),Other,1
Allen,U.S. Senate,,Joe Donnelly,Democratic,55903
Allen,U.S. Senate,,Lucy M. Brenton,Libertarian,4080
Allen,U.S. Senate,,Mike Braun,Republican,65927
Allen,U.S. Senate,,Nathan Altman (W/I),Independent,5
Bartholomew,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Bartholomew,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Bartholomew,U.S. Senate,,Joe Donnelly,Democratic,10071
Bartholomew,U.S. Senate,,Lucy M. Brenton,Libertarian,1223
Bartholomew,U.S. Senate,,Mike Braun,Republican,15222
Bartholomew,U.S. Senate,,Nathan Altman (W/I),Independent,4
Benton,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Benton,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Benton,U.S. Senate,,Joe Donnelly,Democratic,847
Benton,U.S. Senate,,Lucy M. Brenton,Libertarian,191
Benton,U.S. Senate,,Mike Braun,Republican,1926
Benton,U.S. Senate,,Nathan Altman (W/I),Independent,0
Blackford,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Blackford,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Blackford,U.S. Senate,,Joe Donnelly,Democratic,1275
Blackford,U.S. Senate,,Lucy M. Brenton,Libertarian,300
Blackford,U.S. Senate,,Mike Braun,Republican,2303
Blackford,U.S. Senate,,Nathan Altman (W/I),Independent,0
Boone,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Boone,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Boone,U.S. Senate,,Joe Donnelly,Democratic,10981
Boone,U.S. Senate,,Lucy M. Brenton,Libertarian,1019
Boone,U.S. Senate,,Mike Braun,Republican,15540
Boone,U.S. Senate,,Nathan Altman (W/I),Independent,0
Brown,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Brown,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Brown,U.S. Senate,,Joe Donnelly,Democratic,2768
Brown,U.S. Senate,,Lucy M. Brenton,Libertarian,318
Brown,U.S. Senate,,Mike Braun,Republican,4103
Brown,U.S. Senate,,Nathan Altman (W/I),Independent,0
Carroll,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Carroll,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Carroll,U.S. Senate,,Joe Donnelly,Democratic,2071
Carroll,U.S. Senate,,Lucy M. Brenton,Libertarian,325
Carroll,U.S. Senate,,Mike Braun,Republican,4518
Carroll,U.S. Senate,,Nathan Altman (W/I),Independent,0
Cass,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Cass,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Cass,U.S. Senate,,Joe Donnelly,Democratic,4061
Cass,U.S. Senate,,Lucy M. Brenton,Libertarian,772
Cass,U.S. Senate,,Mike Braun,Republican,6617
Cass,U.S. Senate,,Nathan Altman (W/I),Independent,0
Clark,U.S. Senate,,Christopher Fischer (W/I),Independent,0
Clark,U.S. Senate,,James L. Johnson Jr. (W/I),Other,0
Clark,U.S. Senate,,Joe Donnelly,Democratic,18551
Clark,U.S. Senate,,Lucy M. Brenton,Libertarian,1967
Clark,U.S. Senate,,Mike Braun,Republican,22766
