candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Scott,Finley 1,,,,1138
,Ballots Cast,,,Scott,Finley 1,,,,560
Joe Donnelly,U.S. Senate,,D,Scott,Finley 1,172,33,0,205
Mike Braun,U.S. Senate,,R,Scott,Finley 1,368,63,0,431
Lucy M Brenton,U.S. Senate,,L,Scott,Finley 1,11,5,0,16
Write in,U.S. Senate,,,Scott,Finley 1,0,0,0,0
Jim Harper,Secretary of State,,D,Scott,Finley 1,153,31,0,184
Connie Lawson,Secretary of State,,R,Scott,Finley 1,369,67,0,436
Mark W. Rutherford,Secretary of State,,L,Scott,Finley 1,19,4,0,23
Write in,Secretary of State,,,Scott,Finley 1,1,0,0,1
Joselyn Whitticker,Auditor of State,,D,Scott,Finley 1,159,33,0,192
Tera Klutz,Auditor of State,,R,Scott,Finley 1,364,62,0,426
John Schick,Auditor of State,,L,Scott,Finley 1,12,3,0,15
John C. Aguilera,Treasurer of State,,D,Scott,Finley 1,158,33,0,191
Kelly Mitchell,Treasurer of State,,R,Scott,Finley 1,376,64,0,440
Liz Watson,U S House,9,D,Scott,Finley 1,172,38,0,210
Trey Hollingsworth,U S House,9,R,Scott,Finley 1,378,61,0,439
Write in,U S House,9,,Scott,Finley 1,0,0,0,0
John Perkins,State Senate,45,D,Scott,Finley 1,131,27,0,158
Chris Garten,State Senate,45,R,Scott,Finley 1,410,73,0,483
Charles Johnson,State Senate,45,L,Scott,Finley 1,10,2,0,12
Terry Goodin,State Representative ,66,D,Scott,Finley 1,315,59,0,374
Mike Bowling,State Representative ,66,R,Scott,Finley 1,233,43,0,276
,Registered Voters,,,Scott,Jennings 1,,,,932
,Ballots Cast,,,Scott,Jennings 1,,,,214
Joe Donnelly,U.S. Senate,,D,Scott,Jennings 1,77,56,0,133
Mike Braun,U.S. Senate,,R,Scott,Jennings 1,112,41,0,153
Lucy M Brenton,U.S. Senate,,L,Scott,Jennings 1,17,6,0,23
Write in,U.S. Senate,,,Scott,Jennings 1,0,0,0,0
Jim Harper,Secretary of State,,D,Scott,Jennings 1,80,58,0,138
Connie Lawson,Secretary of State,,R,Scott,Jennings 1,112,35,0,147
Mark W. Rutherford,Secretary of State,,L,Scott,Jennings 1,6,5,0,11
Write in,Secretary of State,,,Scott,Jennings 1,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Scott,Jennings 1,79,61,0,140
Tera Klutz,Auditor of State,,R,Scott,Jennings 1,111,29,0,140
John Schick,Auditor of State,,L,Scott,Jennings 1,7,6,0,13
John C. Aguilera,Treasurer of State,,D,Scott,Jennings 1,82,55,0,137
Kelly Mitchell,Treasurer of State,,R,Scott,Jennings 1,114,41,0,155
Jeannine Lee Lake,U S House,6,D,Scott,Jennings 1,66,55,0,121
Greg Pence,U S House,6,R,Scott,Jennings 1,133,45,0,178
Tom Ferkinhoff,U S House,6,L,Scott,Jennings 1,3,3,0,6
Write in,U S House,6,,Scott,Jennings 1,0,0,0,0
John Perkins,State Senate,45,D,Scott,Jennings 1,73,61,0,134
Chris Garten,State Senate,45,R,Scott,Jennings 1,124,39,0,163
Charles Johnson,State Senate,45,L,Scott,Jennings 1,7,2,0,9
Terry Goodin,State Representative ,66,D,Scott,Jennings 1,159,100,0,259
Mike Bowling,State Representative ,66,R,Scott,Jennings 1,49,16,0,65
,Registered Voters,,,Scott,Jennings 2,,,,804
,Ballots Cast,,,Scott,Jennings 2,,,,214
Joe Donnelly,U.S. Senate,,D,Scott,Jennings 2,103,92,0,195
Mike Braun,U.S. Senate,,R,Scott,Jennings 2,97,27,0,124
Lucy M Brenton,U.S. Senate,,L,Scott,Jennings 2,5,3,0,8
Write in,U.S. Senate,,,Scott,Jennings 2,0,0,0,0
Jim Harper,Secretary of State,,D,Scott,Jennings 2,93,80,0,173
Connie Lawson,Secretary of State,,R,Scott,Jennings 2,102,27,0,129
Mark W. Rutherford,Secretary of State,,L,Scott,Jennings 2,9,9,0,18
Write in,Secretary of State,,,Scott,Jennings 2,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Scott,Jennings 2,95,90,0,185
Tera Klutz,Auditor of State,,R,Scott,Jennings 2,96,18,0,114
John Schick,Auditor of State,,L,Scott,Jennings 2,11,6,0,17
John C. Aguilera,Treasurer of State,,D,Scott,Jennings 2,96,88,0,184
Kelly Mitchell,Treasurer of State,,R,Scott,Jennings 2,107,26,0,133
Jeannine Lee Lake,U S House,6,D,Scott,Jennings 2,90,81,0,171
Greg Pence,U S House,6,R,Scott,Jennings 2,117,35,0,152
Tom Ferkinhoff,U S House,6,L,Scott,Jennings 2,2,0,0,2
Write in,U S House,6,,Scott,Jennings 2,0,0,0,0
John Perkins,State Senate,45,D,Scott,Jennings 2,86,80,0,166
Chris Garten,State Senate,45,R,Scott,Jennings 2,114,31,0,145
Charles Johnson,State Senate,45,L,Scott,Jennings 2,9,4,0,13
Terry Goodin,State Representative ,66,D,Scott,Jennings 2,163,126,0,289
Mike Bowling,State Representative ,66,R,Scott,Jennings 2,49,9,0,58
,Registered Voters,,,Scott,Jennings 3,,,,1031
,Ballots Cast,,,Scott,Jennings 3,,,,245
Joe Donnelly,U.S. Senate,,D,Scott,Jennings 3,96,72,0,168
Mike Braun,U.S. Senate,,R,Scott,Jennings 3,124,27,0,151
Lucy M Brenton,U.S. Senate,,L,Scott,Jennings 3,13,4,0,17
Write in,U.S. Senate,,,Scott,Jennings 3,0,0,0,0
Jim Harper,Secretary of State,,D,Scott,Jennings 3,98,71,0,169
Connie Lawson,Secretary of State,,R,Scott,Jennings 3,119,25,0,144
Mark W. Rutherford,Secretary of State,,L,Scott,Jennings 3,8,4,0,12
Write in,Secretary of State,,,Scott,Jennings 3,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Scott,Jennings 3,105,77,0,182
Tera Klutz,Auditor of State,,R,Scott,Jennings 3,111,23,0,134
John Schick,Auditor of State,,L,Scott,Jennings 3,5,2,0,7
John C. Aguilera,Treasurer of State,,D,Scott,Jennings 3,96,75,0,171
Kelly Mitchell,Treasurer of State,,R,Scott,Jennings 3,128,24,0,152
Jeannine Lee Lake,U S House,6,D,Scott,Jennings 3,81,66,0,147
Greg Pence,U S House,6,R,Scott,Jennings 3,145,35,0,180
Tom Ferkinhoff,U S House,6,L,Scott,Jennings 3,3,1,0,4
Write in,U S House,6,,Scott,Jennings 3,0,0,0,0
John Perkins,State Senate,45,D,Scott,Jennings 3,90,66,0,156
Chris Garten,State Senate,45,R,Scott,Jennings 3,126,33,0,159
