candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Jasper,Barkley North,,,,362
,Ballots Cast,,,Jasper,Barkley North,,,,163
Mike Braun,U.S. Senate,,R,Jasper,Barkley North,115,22,0,137
Joe Donnelly,U.S. Senate,,D,Jasper,Barkley North,38,21,0,59
Lucy M Brenton,U.S. Senate,,L,Jasper,Barkley North,4,0,0,4
Write in,U.S. Senate,,,Jasper,Barkley North,0,0,0,0
Connie Lawson,Secretary of State,,R,Jasper,Barkley North,119,27,0,146
Jim Harper,Secretary of State,,D,Jasper,Barkley North,35,15,0,50
Mark W. Rutherford,Secretary of State,,L,Jasper,Barkley North,5,2,0,7
Write in,Secretary of State,,,Jasper,Barkley North,0,0,0,0
Tera Klutz,Auditor of State,,R,Jasper,Barkley North,117,30,0,147
Joselyn Whitticker,Auditor of State,,D,Jasper,Barkley North,32,13,0,45
John Schick,Auditor of State,,L,Jasper,Barkley North,7,0,0,7
Kelly Mitchell,Treasurer of State,,R,Jasper,Barkley North,122,27,0,149
John C. Aguilera,Treasurer of State,,D,Jasper,Barkley North,35,16,0,51
Jim Baird,U S House,4,R,Jasper,Barkley North,123,28,0,151
Tobi Beck,U S House,4,D,Jasper,Barkley North,36,16,0,52
Write in,US House,4,,Jasper,Barkley North,0,0,0,0
Douglas L Gutwein,State Representative ,16,R ,Jasper,Barkley North,122,27,0,149
Christina L Zacny,State Representative ,16,D,Jasper,Barkley North,36,17,0,53
,Registered Voters,,,Jasper,Barkley South,,,,240
,Ballots Cast,,,Jasper,Barkley South,,,,121
Mike Braun,U.S. Senate,,R,Jasper,Barkley South,96,22,0,118
Joe Donnelly,U.S. Senate,,D,Jasper,Barkley South,21,8,0,29
Lucy M Brenton,U.S. Senate,,L,Jasper,Barkley South,4,0,0,4
Write in,U.S. Senate,,,Jasper,Barkley South,0,0,0,0
Connie Lawson,Secretary of State,,R,Jasper,Barkley South,96,22,0,118
Jim Harper,Secretary of State,,D,Jasper,Barkley South,15,7,0,22
Mark W. Rutherford,Secretary of State,,L,Jasper,Barkley South,6,0,0,6
Write in,Secretary of State,,,Jasper,Barkley South,0,0,0,0
Tera Klutz,Auditor of State,,R,Jasper,Barkley South,98,22,0,120
Joselyn Whitticker,Auditor of State,,D,Jasper,Barkley South,16,6,0,22
John Schick,Auditor of State,,L,Jasper,Barkley South,3,0,0,3
Kelly Mitchell,Treasurer of State,,R,Jasper,Barkley South,101,22,0,123
John C. Aguilera,Treasurer of State,,D,Jasper,Barkley South,18,6,0,24
Jim Baird,U S House,4,R,Jasper,Barkley South,100,22,0,122
Tobi Beck,U S House,4,D,Jasper,Barkley South,19,7,0,26
Write in,US House,4,,Jasper,Barkley South,0,0,0,0
Douglas L Gutwein,State Representative ,16,R ,Jasper,Barkley South,99,23,0,122
Christina L Zacny,State Representative ,16,D,Jasper,Barkley South,19,7,0,26
,Registered Voters,,,Jasper,Carpenter East,,,,618
,Ballots Cast,,,Jasper,Carpenter East,,,,261
Mike Braun,U.S. Senate,,R,Jasper,Carpenter East,178,33,0,211
Joe Donnelly,U.S. Senate,,D,Jasper,Carpenter East,65,12,0,77
Lucy M Brenton,U.S. Senate,,L,Jasper,Carpenter East,16,0,0,16
Write in,U.S. Senate,,,Jasper,Carpenter East,0,0,0,0
Connie Lawson,Secretary of State,,R,Jasper,Carpenter East,201,30,0,231
Jim Harper,Secretary of State,,D,Jasper,Carpenter East,48,13,0,61
Mark W. Rutherford,Secretary of State,,L,Jasper,Carpenter East,8,1,0,9
Write in,Secretary of State,,,Jasper,Carpenter East,0,0,0,0
Tera Klutz,Auditor of State,,R,Jasper,Carpenter East,201,30,0,231
Joselyn Whitticker,Auditor of State,,D,Jasper,Carpenter East,45,12,0,57
John Schick,Auditor of State,,L,Jasper,Carpenter East,6,2,0,8
Kelly Mitchell,Treasurer of State,,R,Jasper,Carpenter East,207,33,0,240
John C. Aguilera,Treasurer of State,,D,Jasper,Carpenter East,48,11,0,59
Jim Baird,U S House,4,R,Jasper,Carpenter East,202,34,0,236
Tobi Beck,U S House,4,D,Jasper,Carpenter East,55,11,0,66
Write in,US House,4,,Jasper,Carpenter East,1,0,0,1
Sharon Negele,State Representative ,13,R ,Jasper,Carpenter East,207,34,0,241
Loretta Barnes,State Representative ,13,D,Jasper,Carpenter East,50,11,0,61
,Registered Voters,,,Jasper,Carpenter West,,,,604
,Ballots Cast,,,Jasper,Carpenter West,,,,289
Mike Braun,U.S. Senate,,R,Jasper,Carpenter West,215,24,0,239
Joe Donnelly,U.S. Senate,,D,Jasper,Carpenter West,56,17,0,73
Lucy M Brenton,U.S. Senate,,L,Jasper,Carpenter West,10,0,0,10
Write in,U.S. Senate,,,Jasper,Carpenter West,0,0,0,0
Connie Lawson,Secretary of State,,R,Jasper,Carpenter West,217,27,0,244
Jim Harper,Secretary of State,,D,Jasper,Carpenter West,46,13,0,59
Mark W. Rutherford,Secretary of State,,L,Jasper,Carpenter West,11,1,0,12
Write in,Secretary of State,,,Jasper,Carpenter West,0,0,0,0
Tera Klutz,Auditor of State,,R,Jasper,Carpenter West,218,26,0,244
Joselyn Whitticker,Auditor of State,,D,Jasper,Carpenter West,47,13,0,60
John Schick,Auditor of State,,L,Jasper,Carpenter West,9,2,0,11
Kelly Mitchell,Treasurer of State,,R,Jasper,Carpenter West,221,28,0,249
John C. Aguilera,Treasurer of State,,D,Jasper,Carpenter West,48,13,0,61
Jim Baird,U S House,4,R,Jasper,Carpenter West,221,26,0,247
Tobi Beck,U S House,4,D,Jasper,Carpenter West,48,15,0,63
Write in,US House,4,,Jasper,Carpenter West,0,0,0,0
Sharon Negele,State Representative ,13,R ,Jasper,Carpenter West,226,26,0,252
Loretta Barnes,State Representative ,13,D,Jasper,Carpenter West,50,15,0,65
,Registered Voters,,,Jasper,Gillam,,,,401
,Ballots Cast,,,Jasper,Gillam,,,,159
Mike Braun,U.S. Senate,,R,Jasper,Gillam,115,33,0,148
Joe Donnelly,U.S. Senate,,D,Jasper,Gillam,35,12,0,47
Lucy M Brenton,U.S. Senate,,L,Jasper,Gillam,6,3,0,9
Write in,U.S. Senate,,,Jasper,Gillam,0,0,0,0
Connie Lawson,Secretary of State,,R,Jasper,Gillam,110,36,0,146
Jim Harper,Secretary of State,,D,Jasper,Gillam,31,13,0,44
Mark W. Rutherford,Secretary of State,,L,Jasper,Gillam,10,1,0,11
Write in,Secretary of State,,,Jasper,Gillam,0,0,0,0
Tera Klutz,Auditor of State,,R,Jasper,Gillam,115,36,0,151
Joselyn Whitticker,Auditor of State,,D,Jasper,Gillam,29,12,0,41
John Schick,Auditor of State,,L,Jasper,Gillam,6,1,0,7
Kelly Mitchell,Treasurer of State,,R,Jasper,Gillam,119,37,0,156
John C. Aguilera,Treasurer of State,,D,Jasper,Gillam,27,12,0,39
Jim Baird,U S House,4,R,Jasper,Gillam,121,38,0,159
Tobi Beck,U S House,4,D,Jasper,Gillam,30,12,0,42
Write in,US House,4,,Jasper,Gillam,0,0,0,0
Douglas L Gutwein,State Representative ,16,R ,Jasper,Gillam,117,36,0,153
