candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Shelby,1ST NORTH,,,,331
,Ballots Cast,,,Shelby,1ST NORTH,,,,101
Mike Braun,U.S. Senate,,R,Shelby,1ST NORTH,66,54,0,120
Joe Donnelly,U.S. Senate,,D,Shelby,1ST NORTH,32,41,0,73
Lucy M Brenton,U.S. Senate,,L,Shelby,1ST NORTH,1,2,0,3
Write in,U.S. Senate,,,Shelby,1ST NORTH,0,0,0,0
Connie Lawson,Secretary of State,,R,Shelby,1ST NORTH,68,61,0,129
Jim Harper,Secretary of State,,D,Shelby,1ST NORTH,26,34,0,60
Mark W. Rutherford,Secretary of State,,L,Shelby,1ST NORTH,2,3,0,5
Write in,Secretary of State,,,Shelby,1ST NORTH,0,0,0,0
Tera Klutz,Auditor of State,,R,Shelby,1ST NORTH,67,61,0,128
Joselyn Whitticker,Auditor of State,,D,Shelby,1ST NORTH,27,34,0,61
John Schick,Auditor of State,,L,Shelby,1ST NORTH,3,2,0,5
Kelly Mitchell,Treasurer of State,,R,Shelby,1ST NORTH,69,63,0,132
John C. Aguilera,Treasurer of State,,D,Shelby,1ST NORTH,26,35,0,61
Greg Pence,U S House,6,R,Shelby,1ST NORTH,69,60,0,129
Jeannine Lee Lake,U S House,6,D,Shelby,1ST NORTH,29,37,0,66
Tom Ferkinhogg,U S House,6,L,Shelby,1ST NORTH,1,1,0,2
Write in,U S House,6,,Shelby,1ST NORTH,0,0,0,0
Sean R Eberhart,State Repsentative ,57,R,Shelby,1ST NORTH,78,72,0,150
,Registered Voters,,,Shelby,1ST SOUTH,,,,765
,Ballots Cast,,,Shelby,1ST SOUTH,,,,195
Mike Braun,U.S. Senate,,R,Shelby,1ST SOUTH,112,51,0,163
Joe Donnelly,U.S. Senate,,D,Shelby,1ST SOUTH,61,24,0,85
Lucy M Brenton,U.S. Senate,,L,Shelby,1ST SOUTH,18,2,0,20
Write in,U.S. Senate,,,Shelby,1ST SOUTH,0,0,0,0
Connie Lawson,Secretary of State,,R,Shelby,1ST SOUTH,122,57,0,179
Jim Harper,Secretary of State,,D,Shelby,1ST SOUTH,60,19,0,79
Mark W. Rutherford,Secretary of State,,L,Shelby,1ST SOUTH,12,1,0,13
