candidate,office,district,party,county,precinct,absentee,early_voting,election_day,votes
,Ballots Cast,,,Monroe,Bean Blossom 01,,,,596
,Straight Party,,D,Monroe,Bean Blossom 01,27,0,38,65
,Straight Party,,R,Monroe,Bean Blossom 01,38,0,117,155
,Straight Party,,L,Monroe,Bean Blossom 01,1,0,3,4
Joe Donnelly,U.S. Senate,,D,Monroe,Bean Blossom 01,73,0,132,205
Mike Braun,U.S. Senate,,R,Monroe,Bean Blossom 01,85,0,262,347
Lucy M Brenton,U.S. Senate,,L,Monroe,Bean Blossom 01,12,0,28,40
Christopher Fischer,U.S. Senate,,W,Monroe,Bean Blossom 01,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bean Blossom 01,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bean Blossom 01,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bean Blossom 01,73,0,116,189
Connie Lawson,Secretary of State,,R,Monroe,Bean Blossom 01,90,0,281,371
Mark W. Rutherford,Secretary of State,,L,Monroe,Bean Blossom 01,5,0,12,17
George William Wolfe ,Secretary of State,,W,Monroe,Bean Blossom 01,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bean Blossom 01,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bean Blossom 01,73,0,122,195
Tera Klutz,Auditor of State,,R,Monroe,Bean Blossom 01,87,0,265,352
John Schick,Auditor of State,,L,Monroe,Bean Blossom 01,8,0,17,25
John C. Aguilera,Treasurer of State,,D,Monroe,Bean Blossom 01,79,0,119,198
Kelly Mitchell,Treasurer of State,,R,Monroe,Bean Blossom 01,87,0,285,372
Liz Watson,U.S. House,9,D,Monroe,Bean Blossom 01,83,0,154,237
Trey Hollingsworth,U.S. House,9,R,Monroe,Bean Blossom 01,87,0,263,350
George William Wolfe ,US House,9,W,Monroe,Bean Blossom 01,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bean Blossom 01,0,0,0,0
E Thomasina Marsili,State Representative,46,D,Monroe,Bean Blossom 01,74,0,115,189
Bob Heaton,State Representative,46,R,Monroe,Bean Blossom 01,96,0,296,392
,Ballots Cast,,,Monroe,Bean Blossom 02,,,,587
,Straight Party,,D,Monroe,Bean Blossom 02,52,0,31,83
,Straight Party,,R,Monroe,Bean Blossom 02,34,0,121,155
,Straight Party,,L,Monroe,Bean Blossom 02,1,0,2,3
Joe Donnelly,U.S. Senate,,D,Monroe,Bean Blossom 02,115,0,117,232
Mike Braun,U.S. Senate,,R,Monroe,Bean Blossom 02,84,0,242,326
Lucy M Brenton,U.S. Senate,,L,Monroe,Bean Blossom 02,4,0,17,21
Christopher Fischer,U.S. Senate,,W,Monroe,Bean Blossom 02,0,0,0,0
Nathan Altman,U.S. Senate,,W,Monroe,Bean Blossom 02,0,0,0,0
James L Johnson Jr. ,U.S. Senate,,W,Monroe,Bean Blossom 02,0,0,0,0
Jim Harper,Secretary of State,,D,Monroe,Bean Blossom 02,107,0,97,204
Connie Lawson,Secretary of State,,R,Monroe,Bean Blossom 02,90,0,263,353
Mark W. Rutherford,Secretary of State,,L,Monroe,Bean Blossom 02,5,0,14,19
George William Wolfe ,Secretary of State,,W,Monroe,Bean Blossom 02,0,0,0,0
Jeremy Heath ,Secretary of State,,W,Monroe,Bean Blossom 02,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Monroe,Bean Blossom 02,108,0,102,210
Tera Klutz,Auditor of State,,R,Monroe,Bean Blossom 02,84,0,251,335
John Schick,Auditor of State,,L,Monroe,Bean Blossom 02,8,0,14,22
John C. Aguilera,Treasurer of State,,D,Monroe,Bean Blossom 02,107,0,99,206
Kelly Mitchell,Treasurer of State,,R,Monroe,Bean Blossom 02,95,0,267,362
Liz Watson,U.S. House,9,D,Monroe,Bean Blossom 02,116,0,120,236
Trey Hollingsworth,U.S. House,9,R,Monroe,Bean Blossom 02,85,0,254,339
George William Wolfe ,US House,9,W,Monroe,Bean Blossom 02,0,0,0,0
Jeremy Heath ,US House,9,W,Monroe,Bean Blossom 02,0,0,0,0
E Thomasina Marsili,State Representative,46,D,Monroe,Bean Blossom 02,105,0,107,212
Bob Heaton,State Representative,46,R,Monroe,Bean Blossom 02,97,0,261,358
,Ballots Cast,,,Monroe,Benton 01,,,,815
