candidate,office,district,party,county,precinct,early_voting,election_day,votes,
,Ballots Cast,,,Ohio,FEDERAL,,,0,
,Straight Party,,R,Ohio,FEDERAL,0,0,,
,Straight Party,,D,Ohio,FEDERAL,0,0,,
,Straight Party,,L,Ohio,FEDERAL,0,0,,
Mike Braun,U.S. Senate,,,Ohio,FEDERAL,0,0,,
Joe Donnelly,U.S. Senate,,,Ohio,FEDERAL,0,0,,
Lucy M Brenton,U.S. Senate,,,Ohio,FEDERAL,0,0,,
Connie Lawson,Secretary of State,,,Ohio,FEDERAL,,,,
Jim Harper,Secretary of State,,,Ohio,FEDERAL,,,,
Mark W. Rutherford,Secretary of State,,,Ohio,FEDERAL,,,,
Tera Klutz,Auditor of State,,,Ohio,FEDERAL,,,,
Joselyn Whitticker,Auditor of State,,,Ohio,FEDERAL,,,,
John Schick,Auditor of State,,,Ohio,FEDERAL,,,,
Kelly Mitchell,Treasurer of State,,,Ohio,FEDERAL,,,,
John C. Aguilera,Treasurer of State,,,Ohio,FEDERAL,,,,
Greg Pence,U.S. House,6,,Ohio,FEDERAL,0,0,,
Jeannine Lee Lake,U.S. House,6,,Ohio,FEDERAL,0,0,,
Tom Ferkinhoff,U.S. House,6,,Ohio,FEDERAL,0,0,,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,FEDERAL,,,,
Randy Frye,State Representative,67,,Ohio,FEDERAL,,,,
Cordelle Feuston,State Representative,67,,Ohio,FEDERAL,,,,
,Ballots Cast,,,Ohio,RAN1,,,168,
,Straight Party,,R,Ohio,RAN1,10,12,22,
,Straight Party,,D,Ohio,RAN1,8,3,11,
,Straight Party,,L,Ohio,RAN1,1,0,1,
Mike Braun,U.S. Senate,,,Ohio,RAN1,36,50,86,1
Joe Donnelly,U.S. Senate,,,Ohio,RAN1,39,33,72,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN1,2,1,3,
Connie Lawson,Secretary of State,,,Ohio,RAN1,36,47,83,
Jim Harper,Secretary of State,,,Ohio,RAN1,39,29,58,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN1,2,6,8,
Tera Klutz,Auditor of State,,,Ohio,RAN1,35,45,80,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN1,36,28,64,
John Schick,Auditor of State,,,Ohio,RAN1,5,7,12,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN1,36,55,91,
John C. Aguilera,Treasurer of State,,,Ohio,RAN1,36,26,62,
Greg Pence,U.S. House,6,,Ohio,RAN1,36,50,86,
Jeannine Lee Lake,U.S. House,6,,Ohio,RAN1,39,27,66,
Tom Ferkinhoff,U.S. House,6,,Ohio,RAN1,2,5,7,
"Clyde A ""Chip"" Perfect Jr. ",State Senate,43,,Ohio,RAN1,62,62,124,
Randy Frye,State Representative,67,,Ohio,RAN1,45,59,104,
Cordelle Feuston,State Representative,67,,Ohio,RAN1,31,23,54,
,Ballots Cast,,,Ohio,RAN2,,,167,
,Straight Party,,R,Ohio,RAN2,10,11,21,
,Straight Party,,D,Ohio,RAN2,6,7,13,
,Straight Party,,L,Ohio,RAN2,1,0,1,
Mike Braun,U.S. Senate,,,Ohio,RAN2,32,61,93,
Joe Donnelly,U.S. Senate,,,Ohio,RAN2,18,47,65,
Lucy M Brenton,U.S. Senate,,,Ohio,RAN2,1,3,4,
Connie Lawson,Secretary of State,,,Ohio,RAN2,32,65,97,
Jim Harper,Secretary of State,,,Ohio,RAN2,16,44,60,
Mark W. Rutherford,Secretary of State,,,Ohio,RAN2,2,1,3,
Tera Klutz,Auditor of State,,,Ohio,RAN2,30,57,87,
Joselyn Whitticker,Auditor of State,,,Ohio,RAN2,17,47,64,
John Schick,Auditor of State,,,Ohio,RAN2,3,3,6,
Kelly Mitchell,Treasurer of State,,,Ohio,RAN2,31,61,92,
