candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
,Registered Voters,,,Floyd,FRANKLIN 1,,,,,4088
,Ballots Cast,,,Floyd,FRANKLIN 1,332,26,222,,580
,Straight Party,,R,Floyd,FRANKLIN 1,111,7,86,0,204
,Straight Party,,D,Floyd,FRANKLIN 1,46,9,46,0,101
,Straight Party,,L,Floyd,FRANKLIN 1,5,1,1,0,7
Mike Braun,U.S. Senate,,R,Floyd,FRANKLIN 1,209,99,14,0,322
Joe Donnelly,U.S. Senate,,D,Floyd,FRANKLIN 1,12,13,1,0,26
Lucy M Brenton,U.S. Senate,,L,Floyd,FRANKLIN 1,134,83,3,0,220
Write In ,U.S. Senate,,,Floyd,FRANKLIN 1,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,FRANKLIN 1,206,97,10,0,313
Jim Harper,Secretary of State,,D,Floyd,FRANKLIN 1,13,12,1,,26
Mark W. Rutherford,Secretary of State,,L,Floyd,FRANKLIN 1,140,77,5,0,222
Write In ,Secretary of State,,,Floyd,FRANKLIN 1,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,FRANKLIN 1,200,12,137,0,349
Joselyn Whitticker,Auditor of State,,D,Floyd,FRANKLIN 1,100,13,78,0,191
John Schick,Auditor of State,,L,Floyd,FRANKLIN 1,11,1,6,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,FRANKLIN 1,215,14,143,0,372
John C. Aguilera,Treasurer of State,,D,Floyd,FRANKLIN 1,91,12,78,0,181
Trey Hollingsworth,U S House,9,R,Floyd,FRANKLIN 1,213,12,136,0,361
Liz Watson,U S House,9,D,Floyd,FRANKLIN 1,112,12,86,0,210
Write In ,U S House,9,,Floyd,FRANKLIN 1,0,1,0,0,1
Ron Grooms,State Senate,46,R,Floyd,FRANKLIN 1,209,14,146,0,369
Anna Murray,State Senate,46,D,Floyd,FRANKLIN 1,112,12,76,0,200
Karen Engleman,State Representative ,70,R,Floyd,FRANKLIN 1,211,16,142,0,369
Sarah Stivers,State Representative ,70,D,Floyd,FRANKLIN 1,105,9,79,0,193
Edward D (ED) Clere,State Representative ,72,R,Floyd,FRANKLIN 1,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,FRANKLIN 1,,,,,0
,Registered Voters,,,Floyd,GEORGETOWN 1,,,,,4556
,Ballots Cast,,,Floyd,GEORGETOWN 1,372,39,326,,737
,Straight Party,,R,Floyd,GEORGETOWN 1,124,14,118,0,256
,Straight Party,,D,Floyd,GEORGETOWN 1,61,9,55,0,125
,Straight Party,,L,Floyd,GEORGETOWN 1,0,0,1,0,1
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 1,210,142,16,0,368
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 1,21,16,1,0,38
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 1,193,122,7,0,322
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 1,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 1,233,123,9,0,365
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 1,21,16,1,0,38
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 1,197,114,6,0,317
Write In ,Secretary of State,,,Floyd,GEORGETOWN 1,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 1,228,22,196,0,446
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 1,120,15,113,0,248
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 1,12,1,5,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 1,233,24,203,0,460
John C. Aguilera,Treasurer of State,,D,Floyd,GEORGETOWN 1,124,13,113,0,250
Trey Hollingsworth,U S House,9,R,Floyd,GEORGETOWN 1,228,22,196,0,446
Liz Watson,U S House,9,D,Floyd,GEORGETOWN 1,138,16,124,0,278
Write In ,U S House,9,,Floyd,GEORGETOWN 1,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GEORGETOWN 1,232,23,205,0,460
Anna Murray,State Senate,46,D,Floyd,GEORGETOWN 1,135,15,115,0,265
Karen Engleman,State Representative ,70,R,Floyd,GEORGETOWN 1,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,GEORGETOWN 1,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,GEORGETOWN 1,231,23,201,0,455
Sam Charbonne Au,State Representative ,72,D,Floyd,GEORGETOWN 1,135,15,120,0,270
,Registered Voters,,,Floyd,GEORGETOWN 2,,,,,5612
,Ballots Cast,,,Floyd,GEORGETOWN 2,441,54,339,,834
,Straight Party,,R,Floyd,GEORGETOWN 2,156,15,111,0,282
,Straight Party,,D,Floyd,GEORGETOWN 2,73,22,62,0,157
,Straight Party,,L,Floyd,GEORGETOWN 2,1,0,1,0,2
Mike Braun,U.S. Senate,,R,Floyd,GEORGETOWN 2,266,149,20,0,435
Joe Donnelly,U.S. Senate,,D,Floyd,GEORGETOWN 2,25,29,0,0,54
Lucy M Brenton,U.S. Senate,,L,Floyd,GEORGETOWN 2,199,126,12,0,337
Write In ,U.S. Senate,,,Floyd,GEORGETOWN 2,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GEORGETOWN 2,286,126,21,0,433
Jim Harper,Secretary of State,,D,Floyd,GEORGETOWN 2,24,28,1,0,53
Mark W. Rutherford,Secretary of State,,L,Floyd,GEORGETOWN 2,201,126,4,0,331
Write In ,Secretary of State,,,Floyd,GEORGETOWN 2,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GEORGETOWN 2,282,24,201,0,507
Joselyn Whitticker,Auditor of State,,D,Floyd,GEORGETOWN 2,135,25,123,0,283
John Schick,Auditor of State,,L,Floyd,GEORGETOWN 2,14,4,4,0,22
Kelly Mitchell,Treasurer of State,,R,Floyd,GEORGETOWN 2,301,25,209,0,535
