candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Marshall,BOURBON 1,,,,908
,Ballots Cast,,,Marshall,BOURBON 1,,,,363
Mike Braun,U.S. Senate,,R,Marshall,BOURBON 1,252,86,0,338
Joe Donnelly,U.S. Senate,,D,Marshall,BOURBON 1,97,31,0,128
Lucy M Brenton,U.S. Senate,,L,Marshall,BOURBON 1,12,3,0,15
Write in,U.S. Senate,,,Marshall,BOURBON 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Marshall,BOURBON 1,284,90,0,374
Jim Harper,Secretary of State,,D,Marshall,BOURBON 1,62,23,0,85
Mark W. Rutherford,Secretary of State,,L,Marshall,BOURBON 1,12,3,0,15
Write in,Secretary of State,,,Marshall,BOURBON 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Marshall,BOURBON 1,269,88,0,357
Joselyn Whitticker,Auditor of State,,D,Marshall,BOURBON 1,77,25,0,102
John Schick,Auditor of State,,L,Marshall,BOURBON 1,10,2,0,12
Kelly Mitchell,Treasurer of State,,R,Marshall,BOURBON 1,289,87,0,376
John C. Aguilera,Treasurer of State,,D,Marshall,BOURBON 1,67,25,0,92
Jackie Walorski,U S House,2,R,Marshall,BOURBON 1,269,90,0,359
Mel Hall,U S House,2,D,Marshall,BOURBON 1,91,28,0,119
Write in,U S House,2,,Marshall,BOURBON 1,0,0,0,0
Jack Jordan,State Repsentative ,17,R,Marshall,BOURBON 1,278,86,0,364
Michelle Livinghouse,State Repsentative ,17,D,Marshall,BOURBON 1,78,28,0,106
,Registered Voters,,,Marshall,BOURBON 2,,,,886
,Ballots Cast,,,Marshall,BOURBON 2,,,,370
Mike Braun,U.S. Senate,,R,Marshall,BOURBON 2,271,65,0,336
Joe Donnelly,U.S. Senate,,D,Marshall,BOURBON 2,85,30,0,115
Lucy M Brenton,U.S. Senate,,L,Marshall,BOURBON 2,11,1,0,12
Write in,U.S. Senate,,,Marshall,BOURBON 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Marshall,BOURBON 2,288,70,0,358
Jim Harper,Secretary of State,,D,Marshall,BOURBON 2,63,23,0,86
Mark W. Rutherford,Secretary of State,,L,Marshall,BOURBON 2,14,2,0,16
Write in,Secretary of State,,,Marshall,BOURBON 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Marshall,BOURBON 2,282,66,0,348
Joselyn Whitticker,Auditor of State,,D,Marshall,BOURBON 2,70,27,0,97
John Schick,Auditor of State,,L,Marshall,BOURBON 2,12,2,0,14
Kelly Mitchell,Treasurer of State,,R,Marshall,BOURBON 2,301,72,0,373
John C. Aguilera,Treasurer of State,,D,Marshall,BOURBON 2,63,24,0,87
Jackie Walorski,U S House,2,R,Marshall,BOURBON 2,266,69,0,335
Mel Hall,U S House,2,D,Marshall,BOURBON 2,97,27,0,124
Write in,U S House,2,,Marshall,BOURBON 2,1,0,0,1
Jack Jordan,State Repsentative ,17,R,Marshall,BOURBON 2,295,67,0,362
Michelle Livinghouse,State Repsentative ,17,D,Marshall,BOURBON 2,71,27,0,98
,Registered Voters,,,Marshall,CENTER 1,,,,1073
,Ballots Cast,,,Marshall,CENTER 1,,,,243
Mike Braun,U.S. Senate,,R,Marshall,CENTER 1,115,69,0,184
Joe Donnelly,U.S. Senate,,D,Marshall,CENTER 1,107,58,0,165
Lucy M Brenton,U.S. Senate,,L,Marshall,CENTER 1,15,1,0,16
Write in,U.S. Senate,,,Marshall,CENTER 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Marshall,CENTER 1,128,76,0,204
Jim Harper,Secretary of State,,D,Marshall,CENTER 1,96,49,0,145
Mark W. Rutherford,Secretary of State,,L,Marshall,CENTER 1,11,1,0,12
Write in,Secretary of State,,,Marshall,CENTER 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Marshall,CENTER 1,124,79,0,203
Joselyn Whitticker,Auditor of State,,D,Marshall,CENTER 1,98,44,0,142
John Schick,Auditor of State,,L,Marshall,CENTER 1,11,1,0,12
Kelly Mitchell,Treasurer of State,,R,Marshall,CENTER 1,137,79,0,216
John C. Aguilera,Treasurer of State,,D,Marshall,CENTER 1,96,46,0,142
Jackie Walorski,U S House,2,R,Marshall,CENTER 1,109,68,0,177
Mel Hall,U S House,2,D,Marshall,CENTER 1,127,59,0,186
Write in,U S House,2,,Marshall,CENTER 1,0,1,0,1
Jack Jordan,State Repsentative ,17,R,Marshall,CENTER 1,129,76,0,205
Michelle Livinghouse,State Repsentative ,17,D,Marshall,CENTER 1,106,0,0,156
,Registered Voters,,,Marshall,CENTER 2,,,,1382
,Ballots Cast,,,Marshall,CENTER 2,,,,373
Mike Braun,U.S. Senate,,R,Marshall,CENTER 2,180,116,0,296
Joe Donnelly,U.S. Senate,,D,Marshall,CENTER 2,167,124,0,291
Lucy M Brenton,U.S. Senate,,L,Marshall,CENTER 2,25,10,0,35
Write in,U.S. Senate,,,Marshall,CENTER 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Marshall,CENTER 2,213,155,0,368
Jim Harper,Secretary of State,,D,Marshall,CENTER 2,136,91,0,227
Mark W. Rutherford,Secretary of State,,L,Marshall,CENTER 2,18,6,0,24
Write in,Secretary of State,,,Marshall,CENTER 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Marshall,CENTER 2,200,151,0,351
Joselyn Whitticker,Auditor of State,,D,Marshall,CENTER 2,139,92,0,231
John Schick,Auditor of State,,L,Marshall,CENTER 2,24,7,0,31
Kelly Mitchell,Treasurer of State,,R,Marshall,CENTER 2,216,157,0,373
