candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,LaGrange,Bloomfield 1,,,,947
,Ballots Cast,,,LaGrange,Bloomfield 1,,,,367
Mike Braun,U.S. Senate,,R,LaGrange,Bloomfield 1,226,33,0,259
Joe Donnelly,U.S. Senate,,D,LaGrange,Bloomfield 1,128,44,0,172
Lucy M Brenton,U.S. Senate,,L,LaGrange,Bloomfield 1,7,2,0,9
Write in,U.S. Senate,,,LaGrange,Bloomfield 1,0,0,0,0
Connie Lawson,Secretary of State,,R,LaGrange,Bloomfield 1,256,42,0,298
Jim Harper,Secretary of State,,D,LaGrange,Bloomfield 1,92,33,0,125
Mark W. Rutherford,Secretary of State,,L,LaGrange,Bloomfield 1,6,3,0,9
Write in,Secretary of State,,,LaGrange,Bloomfield 1,0,0,0,0
Tera Klutz,Auditor of State,,R,LaGrange,Bloomfield 1,241,41,0,282
Joselyn Whitticker,Auditor of State,,D,LaGrange,Bloomfield 1,98,31,0,129
John Schick,Auditor of State,,L,LaGrange,Bloomfield 1,10,4,0,14
Kelly Mitchell,Treasurer of State,,R,LaGrange,Bloomfield 1,256,44,0,300
John C. Aguilera,Treasurer of State,,D,LaGrange,Bloomfield 1,91,32,0,123
Jim Banks,U.S. House,3,R,LaGrange,Bloomfield 1,251,41,0,292
Courtney Tritch,U.S. House,3,D,LaGrange,Bloomfield 1,106,37,0,143
Write in,U.S. House,3,,LaGrange,Bloomfield 1,0,0,0,0
Dennis J Zent,State Representative,51,R,LaGrange,Bloomfield 1,262,43,0,305
Michael M Stephenson,State Representative,51,D,LaGrange,Bloomfield 1,90,35,0,125
,Registered Voters,,,LaGrange,Bloomfield 2,,,,692
,Ballots Cast,,,LaGrange,Bloomfield 2,,,,217
Mike Braun,U.S. Senate,,R,LaGrange,Bloomfield 2,115,29,0,144
Joe Donnelly,U.S. Senate,,D,LaGrange,Bloomfield 2,82,19,0,101
Lucy M Brenton,U.S. Senate,,L,LaGrange,Bloomfield 2,17,1,0,18
Write in,U.S. Senate,,,LaGrange,Bloomfield 2,0,0,0,0
Connie Lawson,Secretary of State,,R,LaGrange,Bloomfield 2,136,31,0,167
Jim Harper,Secretary of State,,D,LaGrange,Bloomfield 2,63,15,0,78
Mark W. Rutherford,Secretary of State,,L,LaGrange,Bloomfield 2,12,1,0,13
Write in,Secretary of State,,,LaGrange,Bloomfield 2,0,1,0,1
Tera Klutz,Auditor of State,,R,LaGrange,Bloomfield 2,130,27,0,157
Joselyn Whitticker,Auditor of State,,D,LaGrange,Bloomfield 2,67,17,0,84
John Schick,Auditor of State,,L,LaGrange,Bloomfield 2,13,1,0,14
Kelly Mitchell,Treasurer of State,,R,LaGrange,Bloomfield 2,143,29,0,172
John C. Aguilera,Treasurer of State,,D,LaGrange,Bloomfield 2,68,16,0,84
Jim Banks,U.S. House,3,R,LaGrange,Bloomfield 2,140,30,0,170
Courtney Tritch,U.S. House,3,D,LaGrange,Bloomfield 2,76,17,0,93
Write in,U.S. House,3,,LaGrange,Bloomfield 2,0,0,0,0
Dennis J Zent,State Representative,51,R,LaGrange,Bloomfield 2,141,37,0,178
Michael M Stephenson,State Representative,51,D,LaGrange,Bloomfield 2,71,12,0,83
