candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Sullivan,Cass 1,,,,529
,Ballots Cast,,,Sullivan,Cass 1,,,,222
Mike Braun,U.S. Senate,,R,Sullivan,Cass 1,128,45,0,173
Joe Donnelly,U.S. Senate,,D,Sullivan,Cass 1,71,26,0,97
Lucy M Brenton,U.S. Senate,,L,Sullivan,Cass 1,15,1,0,16
Write in,U.S. Senate,,,Sullivan,Cass 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Sullivan,Cass 1,132,46,0,178
Jim Harper,Secretary of State,,D,Sullivan,Cass 1,68,25,0,93
Mark W. Rutherford,Secretary of State,,L,Sullivan,Cass 1,9,1,0,10
Write in,Secretary of State,,,Sullivan,Cass 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Sullivan,Cass 1,130,46,0,176
Joselyn Whitticker,Auditor of State,,D,Sullivan,Cass 1,70,27,0,97
John Schick,Auditor of State,,L,Sullivan,Cass 1,10,1,0,11
Kelly Mitchell,Treasurer of State,,R,Sullivan,Cass 1,141,52,0,193
John C. Aguilera,Treasurer of State,,D,Sullivan,Cass 1,68,23,0,91
Larry D Bucshon,U S House,8,R,Sullivan,Cass 1,148,48,0,196
William Tanoos,U S House,8,D,Sullivan,Cass 1,64,24,0,88
Write in,U S House,8,,Sullivan,Cass 1,0,0,0,0
Eric S Bassler,State Senate,39,R,Sullivan,Cass 1,160,51,0,211
No Candidate Filed,State Senate,39,D,Sullivan,Cass 1,0,0,0,0
Bruce Borders,State Representative ,45,R,Sullivan,Cass 1,142,44,0,186
Jim Exline,State Representative ,45,D,Sullivan,Cass 1,71,29,0,100
,Registered Voters,,,Sullivan,Cass 2,,,,829
,Ballots Cast,,,Sullivan,Cass 2,,,,351
Mike Braun,U.S. Senate,,R,Sullivan,Cass 2,205,52,0,257
Joe Donnelly,U.S. Senate,,D,Sullivan,Cass 2,113,26,0,139
Lucy M Brenton,U.S. Senate,,L,Sullivan,Cass 2,21,1,0,22
Write in,U.S. Senate,,,Sullivan,Cass 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Sullivan,Cass 2,219,54,0,273
Jim Harper,Secretary of State,,D,Sullivan,Cass 2,99,24,0,123
Mark W. Rutherford,Secretary of State,,L,Sullivan,Cass 2,14,1,0,15
Write in,Secretary of State,,,Sullivan,Cass 2,1,0,0,1
Tera Klutz,Auditor of State,,R,Sullivan,Cass 2,207,50,0,257
Joselyn Whitticker,Auditor of State,,D,Sullivan,Cass 2,111,29,0,140
John Schick,Auditor of State,,L,Sullivan,Cass 2,11,0,0,11
Kelly Mitchell,Treasurer of State,,R,Sullivan,Cass 2,222,52,0,274
John C. Aguilera,Treasurer of State,,D,Sullivan,Cass 2,110,27,0,137
Larry D Bucshon,U S House,8,R,Sullivan,Cass 2,235,55,0,290
William Tanoos,U S House,8,D,Sullivan,Cass 2,94,24,0,118
Write in,U S House,8,,Sullivan,Cass 2,0,0,0,0
Eric S Bassler,State Senate,39,R,Sullivan,Cass 2,257,55,0,312
No Candidate Filed,State Senate,39,D,Sullivan,Cass 2,0,0,0,0
Bruce Borders,State Representative ,45,R,Sullivan,Cass 2,230,52,0,282
Jim Exline,State Representative ,45,D,Sullivan,Cass 2,109,30,0,139
,Registered Voters,,,Sullivan,Curry 1,,,,712
,Ballots Cast,,,Sullivan,Curry 1,,,,311
Mike Braun,U.S. Senate,,R,Sullivan,Curry 1,168,33,0,201
Joe Donnelly,U.S. Senate,,D,Sullivan,Curry 1,121,27,0,148
Lucy M Brenton,U.S. Senate,,L,Sullivan,Curry 1,20,3,0,23
Write in,U.S. Senate,,,Sullivan,Curry 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Sullivan,Curry 1,184,32,0,216
Jim Harper,Secretary of State,,D,Sullivan,Curry 1,105,27,0,132
Mark W. Rutherford,Secretary of State,,L,Sullivan,Curry 1,16,2,0,18
Write in,Secretary of State,,,Sullivan,Curry 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Sullivan,Curry 1,174,31,0,205
Joselyn Whitticker,Auditor of State,,D,Sullivan,Curry 1,117,27,0,144
John Schick,Auditor of State,,L,Sullivan,Curry 1,12,2,0,14
Kelly Mitchell,Treasurer of State,,R,Sullivan,Curry 1,190,34,0,224
John C. Aguilera,Treasurer of State,,D,Sullivan,Curry 1,114,26,0,140
Larry D Bucshon,U S House,8,R,Sullivan,Curry 1,213,34,0,247
William Tanoos,U S House,8,D,Sullivan,Curry 1,93,27,0,120
Write in,U S House,8,,Sullivan,Curry 1,0,1,0,1
Eric S Bassler,State Senate,39,R,Sullivan,Curry 1,243,42,0,285
No Candidate Filed,State Senate,39,D,Sullivan,Curry 1,0,0,0,0
Bruce Borders,State Representative ,45,R,Sullivan,Curry 1,190,39,0,229
Jim Exline,State Representative ,45,D,Sullivan,Curry 1,118,23,0,141
,Registered Voters,,,Sullivan,Curry 2,,,,794
,Ballots Cast,,,Sullivan,Curry 2,,,,291
Mike Braun,U.S. Senate,,R,Sullivan,Curry 2,163,28,0,191
Joe Donnelly,U.S. Senate,,D,Sullivan,Curry 2,112,21,0,133
Lucy M Brenton,U.S. Senate,,L,Sullivan,Curry 2,12,1,0,13
Write in,U.S. Senate,,,Sullivan,Curry 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Sullivan,Curry 2,160,27,0,187
Jim Harper,Secretary of State,,D,Sullivan,Curry 2,107,22,0,129
Mark W. Rutherford,Secretary of State,,L,Sullivan,Curry 2,10,0,0,10
