candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Orange,01-French Lick East,,,,406
,Ballots Cast,,,Orange,01-French Lick East,,,,117
Mike Braun,U.S. Senate,,R,Orange,01-French Lick East,57,10,0,67
Joe Donnelly,U.S. Senate,,D,Orange,01-French Lick East,44,13,0,57
Lucy M Brenton,U.S. Senate,,L,Orange,01-French Lick East,11,1,0,12
Write in,U.S. Senate,,,Orange,01-French Lick East,0,0,0,0
Connie Lawson,Secretary of State,,R,Orange,01-French Lick East,55,11,0,66
Jim Harper,Secretary of State,,D,Orange,01-French Lick East,45,12,0,57
Mark W. Rutherford,Secretary of State,,L,Orange,01-French Lick East,8,1,0,9
Write in,Secretary of State,,,Orange,01-French Lick East,0,0,0,0
Tera Klutz,Auditor of State,,R,Orange,01-French Lick East,48,10,0,58
Joselyn Whitticker,Auditor of State,,D,Orange,01-French Lick East,49,13,0,62
John Schick,Auditor of State,,L,Orange,01-French Lick East,9,1,0,10
Kelly Mitchell,Treasurer of State,,R,Orange,01-French Lick East,67,12,0,79
John C. Aguilera,Treasurer of State,,D,Orange,01-French Lick East,40,12,0,52
Trey Hollingsworth,U S House,9,R,Orange,01-French Lick East,58,12,0,70
Liz Watson,U S House,9,D,Orange,01-French Lick East,55,13,0,68
Write in,U S House,9,,Orange,01-French Lick East,0,0,0,0
Erin Houchin,State Senate ,47,R,Orange,01-French Lick East,57,13,0,70
Nicholas A (Nick) Siler,State Senate ,47,D,Orange,01-French Lick East,56,12,0,68
Stephen R Bartels ,State Repsentative ,74,R,Orange,01-French Lick East,59,11,0,70
Larry K Kleeman ,State Repsentative ,74,D,Orange,01-French Lick East,51,13,0,64
,Registered Voters,,,Orange,02-FLE-West Baden,,,,743
,Ballots Cast,,,Orange,02-FLE-West Baden,,,,329
Mike Braun,U.S. Senate,,R,Orange,02-FLE-West Baden,202,38,0,240
Joe Donnelly,U.S. Senate,,D,Orange,02-FLE-West Baden,109,21,0,130
Lucy M Brenton,U.S. Senate,,L,Orange,02-FLE-West Baden,7,0,0,7
