candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Ballots Cast,,,Jefferson,1~1 ,,,,276
Mike Braun,U.S. Senate,,R,Jefferson,1~1 ,109,47,2,158
Joe Donnelly,U.S. Senate,,D,Jefferson,1~1 ,143,94,0,237
Lucy M Brenton,U.S. Senate,,L,Jefferson,1~1 ,21,3,0,24
Write in,U.S. Senate,,,Jefferson,1~1 ,0,0,0,0
Connie Lawson,Secretary of State,,R,Jefferson,1~1 ,119,49,1,169
Jim Harper,Secretary of State,,D,Jefferson,1~1 ,136,92,0,228
Mark W. Rutherford,Secretary of State,,L,Jefferson,1~1 ,12,1,1,14
Write in,Secretary of State,,,Jefferson,1~1 ,0,0,0,0
Tera Klutz,Auditor of State,,R,Jefferson,1~1 ,116,50,2,168
Joselyn Whitticker,Auditor of State,,D,Jefferson,1~1 ,136,89,0,225
John Schick,Auditor of State,,L,Jefferson,1~1 ,12,2,0,14
Kelly Mitchell,Treasurer of State,,R,Jefferson,1~1 ,130,53,1,184
John C. Aguilera,Treasurer of State,,D,Jefferson,1~1 ,133,88,1,222
Greg Pence,U S House,6,R,Jefferson,1~1 ,116,52,2,170
Jeannine Lee Lake,U S House,6,D,Jefferson,1~1 ,142,91,0,233
Tom Ferkinhoff,US House,6,L,Jefferson,1~1 ,11,2,0,13
Write in,US House,6,,Jefferson,1~1 ,0,0,0,0
Chris Garlen,State Senate,45,R ,Jefferson,1~1 ,114,51,1,166
John Perkins,State Senate,45,D,Jefferson,1~1 ,137,89,0,226
Charles Johnson,State Senate,45,L,Jefferson,1~1 ,14,3,1,18
Mike Bowling,State Representative,66,R,Jefferson,1~1 ,102,45,0,147
Terry Goodin,State Representative,66,D,Jefferson,1~1 ,167,98,2,267
,Ballots Cast,,,Jefferson,1~2,,,,186
Mike Braun,U.S. Senate,,R,Jefferson,1~2,61,31,0,92
Joe Donnelly,U.S. Senate,,D,Jefferson,1~2,108,53,0,161
Lucy M Brenton,U.S. Senate,,L,Jefferson,1~2,16,5,0,21
Write in,U.S. Senate,,,Jefferson,1~2,0,0,0,0
Connie Lawson,Secretary of State,,R,Jefferson,1~2,66,33,0,99
Jim Harper,Secretary of State,,D,Jefferson,1~2,101,52,0,153
Mark W. Rutherford,Secretary of State,,L,Jefferson,1~2,8,4,0,12
Write in,Secretary of State,,,Jefferson,1~2,0,0,0,0
Tera Klutz,Auditor of State,,R,Jefferson,1~2,60,29,0,89
Joselyn Whitticker,Auditor of State,,D,Jefferson,1~2,107,55,0,162
John Schick,Auditor of State,,L,Jefferson,1~2,8,5,0,13
Kelly Mitchell,Treasurer of State,,R,Jefferson,1~2,67,33,0,100
John C. Aguilera,Treasurer of State,,D,Jefferson,1~2,106,55,0,161
Greg Pence,U S House,6,R,Jefferson,1~2,66,27,0,93
Jeannine Lee Lake,U S House,6,D,Jefferson,1~2,108,57,0,165
Tom Ferkinhoff,US House,6,L,Jefferson,1~2,7,5,0,12
Write in,US House,6,,Jefferson,1~2,0,0,0,0
Chris Garlen,State Senate,45,R ,Jefferson,1~2,65,33,0,98
