county,office,district,candidate,party,votes
Adams,U.S. Senator,,Steve Osborn,Libertarian,743
Adams,U.S. Senator,,Richard G Lugar,Republican,7143
Adams,U.S. Senator,,Jack H Baldwin,Democratic,0
Adams,U.S. Senator,,Mark Pool,Independent,3
Adams,Secretary Of State,,Joe Pearson,Democratic,3555
Adams,Secretary Of State,,Mike Kole,Libertarian,249
Adams,Secretary Of State,,Todd Rokita,Republican,5110
Adams,Secretary Of State,,Bill Stant,Green,0
Adams,Auditor Of State,,Judy Anderson,Democratic,3629
Adams,Auditor Of State,,Tim Berry,Republican,5331
Adams,Treasurer Of State,,Michael W Griffin,Democratic,3484
Adams,Treasurer Of State,,Richard E Mourdock,Republican,5403
Adams,U.S. House,3,Thomas E Hayhurst,Democratic,0
Adams,U.S. House,3,Mark E Souder,Republican,0
Adams,State Senator,19,David C Ford,Republican,7161
Adams,State House,79,Michael Ripley,Republican,7394
Adams,Judge Of The Circuit Court,Adams 26Th Circuit,Frederick A Schurger,Democratic,6702
Adams,Prosecuting Attorney,Adams 26Th Circuit,Christopher E Harvey,Democratic,6694
Allen,U.S. Senator,,Steve Osborn,Libertarian,7838
Allen,U.S. Senator,,Richard G Lugar,Republican,65782
Allen,U.S. Senator,,Jack H Baldwin,Democratic,10
Allen,U.S. Senator,,Mark Pool,Independent,28
Allen,Secretary Of State,,Joe Pearson,Democratic,34217
Allen,Secretary Of State,,Mike Kole,Libertarian,2380
Allen,Secretary Of State,,Todd Rokita,Republican,48911
Allen,Secretary Of State,,Bill Stant,Green,15
Allen,Auditor Of State,,Judy Anderson,Democratic,31933
Allen,Auditor Of State,,Tim Berry,Republican,53154
Allen,Treasurer Of State,,Michael W Griffin,Democratic,33245
Allen,Treasurer Of State,,Richard E Mourdock,Republican,50597
Allen,U.S. House,3,Thomas E Hayhurst,Democratic,41824
Allen,U.S. House,3,Mark E Souder,Republican,42368
Allen,State Senator,14,Dennis K Kruse,Republican,17953
Allen,State Senator,15,R Michael Bynum,Democratic,12427
Allen,State Senator,15,Thomas J Wyss,Republican,16392
Allen,State House,50,Felix F Aguilar,Libertarian,0
