county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Hendricks,Middle 2,U.S. Senate,,R,Mike Braun,571,,,,,
Hendricks,Middle 2,U.S. Senate,,D,Joe Donnelly,201,,,,,
Hendricks,Middle 2,U.S. Senate,,L,Lucy M Brenton,20,,,,,
Hendricks,Middle 2,U.S. Senate,,,Write in,0,,,,,
Hendricks,Middle 2,State Secretary,,R,Connie Lawson,614,,,,,
Hendricks,Middle 2,State Secretary,,D,Jim Harper,155,,,,,
Hendricks,Middle 2,State Secretary,,L,Mark W Rutherford,21,,,,,
Hendricks,Middle 2,State Secretary,,,Write in,1,,,,,
Hendricks,Middle 2,State Auditor,,R,Tera Klutz,601,,,,,
Hendricks,Middle 2,State Auditor,,D,Joselyn Whitticker,159,,,,,
Hendricks,Middle 2,State Auditor,,L,John Schick,22,,,,,
Hendricks,Middle 2,State Treasurer,,R,Kelly Mitchell,619,,,,,
Hendricks,Middle 2,State Treasurer,,D,John C Aguilera,160,,,,,
Hendricks,Middle 2,State Treasurer,,,Page 1 Of 3,(Election,,,,,
Hendricks,Middle 2,U.S. House,4,R,Jim Baird,608,,,,,
Hendricks,Middle 2,U.S. House,4,D,Tobi Beck,178,,,,,
Hendricks,Middle 2,U.S. House,4,,Write in,0,,,,,
Hendricks,Middle 2,State House,28,R,Jeffrey A Thompson,605,,,,,
Hendricks,Middle 2,State House,28,D,Harlan Vondersaar,183,,,,,
Hendricks,Middle 2,U.S. Senate,,R,Mike Braun,510,,,,,
Hendricks,Middle 2,U.S. Senate,,D,Joe Donnelly,194,,,,,
Hendricks,Middle 2,U.S. Senate,,L,Lucy M Brenton,32,,,,,
Hendricks,Middle 2,U.S. Senate,,,Write in,0,,,,,
Hendricks,Middle 2,State Secretary,,R,Connie Lawson,549,,,,,
Hendricks,Middle 2,State Secretary,,D,Jim Harper,168,,,,,
Hendricks,Middle 2,State Secretary,,L,Mark W Rutherford,19,,,,,
Hendricks,Middle 2,State Secretary,,,Write in,0,,,,,
Hendricks,Middle 2,State Auditor,,R,Tera Klutz,542,,,,,
Hendricks,Middle 2,State Auditor,,D,Joselyn Whitticker,163,,,,,
Hendricks,Middle 2,State Auditor,,L,John Schick,27,,,,,
Hendricks,Middle 2,State Treasurer,,R,Kelly Mitchell,556,,,,,
Hendricks,Middle 2,State Treasurer,,D,John C Aguilera,174,,,,,
Hendricks,Middle 2,U.S. House,4,R,Jim Baird,541,,,,,
Hendricks,Middle 2,U.S. House,4,D,Tobi Beck,190,,,,,
Hendricks,Middle 2,State House,28,R,Jeffrey A Thompson,532,,,,,
Hendricks,Middle 2,State House,28,D,Harlan Vondersaar,199,,,,,
Hendricks,Middle 2,U.S. Senate,,R,Mike Braun,101,,,,,
Hendricks,Middle 2,U.S. Senate,,D,Joe Donnelly,41,,,,,
Hendricks,Middle 2,U.S. Senate,,L,Lucy M Brenton,7,,,,,
Hendricks,Middle 2,U.S. Senate,,,Write in,0,,,,,
Hendricks,Middle 2,State Secretary,,R,Connie Lawson,112,,,,,
