county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Clay,Brazil 1,U.S. Senate,,R,Mike Braun,260,,,,,
Clay,Brazil 1,U.S. Senate,,D,Joe Donnelly,136,,,,,
Clay,Brazil 1,U.S. Senate,,L,Lucy M Brenton,39,,,,,
Clay,Brazil 1,U.S. Senate,,,Write in,1,,,,,
Clay,Brazil 1,State Secretary,,R,Connie Lawson,278,,,,,
Clay,Brazil 1,State Secretary,,D,Jim Harper,129,,,,,
Clay,Brazil 1,State Secretary,,L,Mark W Rutherford,20,,,,,
Clay,Brazil 1,State Secretary,,,Write in,0,,,,,
Clay,Brazil 1,State Auditor,,R,Tera Klutz,271,,,,,
Clay,Brazil 1,State Auditor,,D,Joselyn Whitticker,128,,,,,
Clay,Brazil 1,State Auditor,,L,John Schick,23,,,,,
Clay,Brazil 1,State Auditor,,,Write in,0,,,,,
Clay,Brazil 1,State Treasurer,,R,Kelly Mitchell,295,,,,,
Clay,Brazil 1,State Treasurer,,D,John C Aguilera,126,,,,,
Clay,Brazil 1,State Treasurer,,,Write in,0,,,,,
Clay,Brazil 1,U.S. House,8,R,Larry D Bucshon,298,,,,,
Clay,Brazil 1,U.S. House,8,D,William Tanoos,130,,,,,
Clay,Brazil 1,U.S. House,8,,Write in,0,,,,,
Clay,Brazil 1,State Senate,38,R,Jon Ford,286,,,,,
Clay,Brazil 1,State Senate,38,D,Chris Gambill,144,,,,,
Clay,Brazil 1,State House,42,R,Alan Morrison,255,,,,,
Clay,Brazil 1,State House,42,D,Evelyn Brown,178,,,,,
Clay,Brazil 2,U.S. Senate,,R,Mike Braun,275,,,,,
Clay,Brazil 2,U.S. Senate,,D,Joe Donnelly,168,,,,,
Clay,Brazil 2,U.S. Senate,,L,Lucy M Brenton,32,,,,,
Clay,Brazil 2,U.S. Senate,,,Write in,0,,,,,
Clay,Brazil 2,State Secretary,,R,Connie Lawson,304,,,,,
Clay,Brazil 2,State Secretary,,D,Jim Harper,139,,,,,
Clay,Brazil 2,State Secretary,,L,Mark W Rutherford,25,,,,,
Clay,Brazil 2,State Secretary,,,Write in,0,,,,,
Clay,Brazil 2,State Auditor,,R,Tera Klutz,290,,,,,
Clay,Brazil 2,State Auditor,,D,Joselyn Whitticker,150,,,,,
Clay,Brazil 2,State Auditor,,L,John Schick,21,,,,,
Clay,Brazil 2,State Auditor,,,Write in,0,,,,,
Clay,Brazil 2,State Treasurer,,R,Kelly Mitchell,313,,,,,
Clay,Brazil 2,State Treasurer,,D,John C Aguilera,146,,,,,
Clay,Brazil 2,State Treasurer,,,Write in,0,,,,,
Clay,Brazil 2,U.S. House,8,R,Larry D Bucshon,326,,,,,
Clay,Brazil 2,U.S. House,8,D,William Tanoos,144,,,,,
Clay,Brazil 2,U.S. House,8,,Write in,0,,,,,
Clay,Brazil 2,State Senate,38,R,Jon Ford,309,,,,,
Clay,Brazil 2,State Senate,38,D,Chris Gambill,163,,,,,
Clay,Brazil 2,State House,42,R,Alan Morrison,269,,,,,
Clay,Brazil 2,State House,42,D,Evelyn Brown,204,,,,,
Clay,Brazil 3,U.S. Senate,,R,Mike Braun,233,,,,,
Clay,Brazil 3,U.S. Senate,,D,Joe Donnelly,137,,,,,
Clay,Brazil 3,U.S. Senate,,L,Lucy M Brenton,35,,,,,
Clay,Brazil 3,U.S. Senate,,,Write in,0,,,,,
Clay,Brazil 3,State Secretary,,R,Connie Lawson,254,,,,,
Clay,Brazil 3,State Secretary,,D,Jim Harper,135,,,,,
Clay,Brazil 3,State Secretary,,L,Mark W Rutherford,15,,,,,
Clay,Brazil 3,State Secretary,,,Write in,0,,,,,
Clay,Brazil 3,State Auditor,,R,Tera Klutz,258,,,,,
Clay,Brazil 3,State Auditor,,D,Joselyn Whitticker,131,,,,,
Clay,Brazil 3,State Auditor,,L,John Schick,11,,,,,
Clay,Brazil 3,State Auditor,,,Write in,0,,,,,
Clay,Brazil 3,State Treasurer,,R,Kelly Mitchell,274,,,,,
Clay,Brazil 3,State Treasurer,,D,John C Aguilera,123,,,,,
Clay,Brazil 3,State Treasurer,,,Write in,0,,,,,
Clay,Brazil 3,U.S. House,8,R,Larry D Bucshon,264,,,,,
Clay,Brazil 3,U.S. House,8,D,William Tanoos,139,,,,,
Clay,Brazil 3,U.S. House,8,,Write in,0,,,,,
Clay,Brazil 3,State Senate,38,R,Jon Ford,257,,,,,
Clay,Brazil 3,State Senate,38,D,Chris Gambill,146,,,,,
Clay,Brazil 3,State House,42,R,Alan Morrison,236,,,,,
Clay,Brazil 3,State House,42,D,Evelyn Brown,166,,,,,
Clay,Brazil 4,U.S. Senate,,R,Mike Braun,201,,,,,
Clay,Brazil 4,U.S. Senate,,D,Joe Donnelly,102,,,,,
Clay,Brazil 4,U.S. Senate,,L,Lucy M Brenton,26,,,,,
Clay,Brazil 4,U.S. Senate,,,Write in,0,,,,,
Clay,Brazil 4,State Secretary,,R,Connie Lawson,215,,,,,
Clay,Brazil 4,State Secretary,,D,Jim Harper,88,,,,,
Clay,Brazil 4,State Secretary,,L,Mark W Rutherford,20,,,,,
Clay,Brazil 4,State Secretary,,,Write in,0,,,,,
Clay,Brazil 4,State Auditor,,R,Tera Klutz,211,,,,,
Clay,Brazil 4,State Auditor,,D,Joselyn Whitticker,95,,,,,
Clay,Brazil 4,State Auditor,,L,John Schick,16,,,,,
Clay,Brazil 4,State Auditor,,,Write in,0,,,,,
Clay,Brazil 4,State Treasurer,,R,Kelly Mitchell,227,,,,,
Clay,Brazil 4,State Treasurer,,D,John C Aguilera,95,,,,,
Clay,Brazil 4,State Treasurer,,,Write in,0,,,,,
Clay,Brazil 4,U.S. House,8,R,Larry D Bucshon,235,,,,,
Clay,Brazil 4,U.S. House,8,D,William Tanoos,91,,,,,
Clay,Brazil 4,U.S. House,8,,Write in,0,,,,,
Clay,Brazil 4,State Senate,38,R,Jon Ford,210,,,,,
Clay,Brazil 4,State Senate,38,D,Chris Gambill,119,,,,,
Clay,Brazil 4,State House,42,R,Alan Morrison,192,,,,,
Clay,Brazil 4,State House,42,D,Evelyn Brown,135,,,,,
Clay,Brazil 5,U.S. Senate,,R,Mike Braun,237,,,,,
Clay,Brazil 5,U.S. Senate,,D,Joe Donnelly,103,,,,,
Clay,Brazil 5,U.S. Senate,,L,Lucy M Brenton,18,,,,,
Clay,Brazil 5,U.S. Senate,,,Write in,0,,,,,
Clay,Brazil 5,State Secretary,,R,Connie Lawson,250,,,,,
Clay,Brazil 5,State Secretary,,D,Jim Harper,91,,,,,
Clay,Brazil 5,State Secretary,,L,Mark W Rutherford,12,,,,,
Clay,Brazil 5,State Secretary,,,Write in,0,,,,,
Clay,Brazil 5,State Auditor,,R,Tera Klutz,232,,,,,
Clay,Brazil 5,State Auditor,,D,Joselyn Whitticker,92,,,,,
Clay,Brazil 5,State Auditor,,L,John Schick,17,,,,,
Clay,Brazil 5,State Auditor,,,Write in,0,,,,,
Clay,Brazil 5,State Treasurer,,R,Kelly Mitchell,251,,,,,
Clay,Brazil 5,State Treasurer,,D,John C Aguilera,91,,,,,
Clay,Brazil 5,State Treasurer,,,Write in,0,,,,,
Clay,Brazil 5,U.S. House,8,R,Larry D Bucshon,267,,,,,
Clay,Brazil 5,U.S. House,8,D,William Tanoos,89,,,,,
Clay,Brazil 5,U.S. House,8,,Write in,0,,,,,
Clay,Brazil 5,State Senate,38,R,Jon Ford,257,,,,,
Clay,Brazil 5,State Senate,38,D,Chris Gambill,100,,,,,
Clay,Brazil 5,State House,42,R,Alan Morrison,244,,,,,
Clay,Brazil 5,State House,42,D,Evelyn Brown,114,,,,,
Clay,Brazil 6,U.S. Senate,,R,Mike Braun,126,,,,,
Clay,Brazil 6,U.S. Senate,,D,Joe Donnelly,65,,,,,
Clay,Brazil 6,U.S. Senate,,L,Lucy M Brenton,11,,,,,
Clay,Brazil 6,U.S. Senate,,,Write in,0,,,,,
Clay,Brazil 6,State Secretary,,R,Connie Lawson,131,,,,,
Clay,Brazil 6,State Secretary,,D,Jim Harper,60,,,,,
Clay,Brazil 6,State Secretary,,L,Mark W Rutherford,8,,,,,
Clay,Brazil 6,State Secretary,,,Write in,0,,,,,
Clay,Brazil 6,State Auditor,,R,Tera Klutz,130,,,,,
Clay,Brazil 6,State Auditor,,D,Joselyn Whitticker,60,,,,,
Clay,Brazil 6,State Auditor,,L,John Schick,7,,,,,
Clay,Brazil 6,State Auditor,,,Write in,0,,,,,
Clay,Brazil 6,State Treasurer,,R,Kelly Mitchell,137,,,,,
Clay,Brazil 6,State Treasurer,,D,John C Aguilera,59,,,,,
