county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Morgan,Adams,U.S. Senate,,R,Mike Braun,286,,,,,
Morgan,Adams,U.S. Senate,,D,Joe Donnelly,115,,,,,
Morgan,Adams,U.S. Senate,,L,Lucy M. Brenton,27,,,,,
Morgan,Adams,U.S. Senate,,,Write in,0,,,,,
Morgan,Adams,State Secretary,,R,Connie Lawson,300,,,,,
Morgan,Adams,State Secretary,,D,Jim Harper,96,,,,,
Morgan,Adams,State Secretary,,L,Mark W. Rutherford,23,,,,,
Morgan,Adams,State Secretary,,,Write in,0,,,,,
Morgan,Adams,State Auditor,,R,Tera Klutz,287,,,,,
Morgan,Adams,State Auditor,,D,Joselyn Whitticker,104,,,,,
Morgan,Adams,State Auditor,,L,John Schick,19,,,,,
Morgan,Adams,State Treasurer,,R,Kelly Mitchell,300,,,,,
Morgan,Adams,State Treasurer,,D,John C. Aguilera,107,,,,,
Morgan,Adams,U.S. House,4,R,Jim Baird,303,,,,,
Morgan,Adams,U.S. House,4,D,Tobi Beck,115,,,,,
Morgan,Adams,U.S. House,4,,Write in,0,,,,,
Morgan,Adams,State House,44,R,Beau Baird,283,,,,,
Morgan,Adams,State House,44,D,Kimberly Ann Fidler,130,,,,,
Morgan,Ashland 1,U.S. Senate,,R,Mike Braun,254,,,,,
Morgan,Ashland 1,U.S. Senate,,D,Joe Donnelly,88,,,,,
Morgan,Ashland 1,U.S. Senate,,L,Lucy M. Brenton,17,,,,,
Morgan,Ashland 1,U.S. Senate,,,Write in,0,,,,,
Morgan,Ashland 1,State Secretary,,R,Connie Lawson,270,,,,,
Morgan,Ashland 1,State Secretary,,D,Jim Harper,72,,,,,
Morgan,Ashland 1,State Secretary,,L,Mark W. Rutherford,11,,,,,
Morgan,Ashland 1,State Secretary,,,Write in,0,,,,,
Morgan,Ashland 1,State Auditor,,R,Tera Klutz,261,,,,,
Morgan,Ashland 1,State Auditor,,D,Joselyn Whitticker,78,,,,,
Morgan,Ashland 1,State Auditor,,L,John Schick,13,,,,,
Morgan,Ashland 1,State Treasurer,,R,Kelly Mitchell,281,,,,,
Morgan,Ashland 1,State Treasurer,,D,John C. Aguilera,71,,,,,
Morgan,Ashland 1,U.S. House,4,R,Jim Baird,264,,,,,
Morgan,Ashland 1,U.S. House,4,D,Tobi Beck,86,,,,,
Morgan,Ashland 1,U.S. House,4,,Write in,0,,,,,
Morgan,Ashland 1,State House,44,R,Beau Baird,260,,,,,
Morgan,Ashland 1,State House,44,D,Kimberly Ann Fidler,93,,,,,
Morgan,Ashland 2,U.S. Senate,,R,Mike Braun,204,,,,,
Morgan,Ashland 2,U.S. Senate,,D,Joe Donnelly,39,,,,,
