county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Dubois,Bainbridge 1,U.S. Senate,,R,Mike Braun,297,,,,,
Dubois,Bainbridge 1,U.S. Senate,,D,Joe Donnelly,84,,,,,
Dubois,Bainbridge 1,U.S. Senate,,L,Lucy M. Brenton,12,,,,,
Dubois,Bainbridge 1,U.S. Senate,,,Write in,0,,,,,
Dubois,Bainbridge 1,State Secretary,,R,Connie Lawson,283,,,,,
Dubois,Bainbridge 1,State Secretary,,D,Jim Harper,86,,,,,
Dubois,Bainbridge 1,State Secretary,,L,Mark W. Rutherford,7,,,,,
Dubois,Bainbridge 1,State Secretary,,,Write in,0,,,,,
Dubois,Bainbridge 1,State Auditor,,R,Tera Klutz,245,,,,,
Dubois,Bainbridge 1,State Auditor,,D,Joselyn Whitticker,100,,,,,
Dubois,Bainbridge 1,State Auditor,,L,John Schick,10,,,,,
Dubois,Bainbridge 1,State Treasurer,,R,Kelly Mitchell,271,,,,,
Dubois,Bainbridge 1,State Treasurer,,D,John C. Aguilera,84,,,,,
Dubois,Bainbridge 1,U.S. House,8,R,Larry D. Bucshon,292,,,,,
Dubois,Bainbridge 1,U.S. House,8,D,William Tanoos,75,,,,,
Dubois,Bainbridge 1,U.S. House,8,,Write in,0,,,,,
Dubois,Bainbridge 1,State Senate,48,R,Mark Messmer,345,,,,,
Dubois,Bainbridge 1,State Senate,48,D,No Candidate Filed,0,,,,,
Dubois,Bainbridge 1,State House,63,R,Shane M. Lindauer,303,,,,,
Dubois,Bainbridge 1,State House,63,D,"Joseph ""joe"" Lannan",86,,,,,
Dubois,Bainbridge 2e,U.S. Senate,,R,Mike Braun,176,,,,,
Dubois,Bainbridge 2e,U.S. Senate,,D,Joe Donnelly,153,,,,,
Dubois,Bainbridge 2e,U.S. Senate,,L,Lucy M. Brenton,22,,,,,
Dubois,Bainbridge 2e,U.S. Senate,,,Write in,0,,,,,
Dubois,Bainbridge 2e,State Secretary,,R,Connie Lawson,175,,,,,
Dubois,Bainbridge 2e,State Secretary,,D,Jim Harper,148,,,,,
Dubois,Bainbridge 2e,State Secretary,,L,Mark W. Rutherford,24,,,,,
Dubois,Bainbridge 2e,State Secretary,,,Write in,0,,,,,
Dubois,Bainbridge 2e,State Auditor,,R,Tera Klutz,154,,,,,
Dubois,Bainbridge 2e,State Auditor,,D,Joselyn Whitticker,161,,,,,
Dubois,Bainbridge 2e,State Auditor,,L,John Schick,19,,,,,
Dubois,Bainbridge 2e,State Treasurer,,R,Kelly Mitchell,184,,,,,
Dubois,Bainbridge 2e,State Treasurer,,D,John C. Aguilera,151,,,,,
Dubois,Bainbridge 2e,U.S. House,8,R,Larry D. Bucshon,175,,,,,
Dubois,Bainbridge 2e,U.S. House,8,D,William Tanoos,163,,,,,
Dubois,Bainbridge 2e,U.S. House,8,,Write in,0,,,,,
Dubois,Bainbridge 2e,State Senate,48,R,Mark Messmer,266,,,,,
