county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Marshall,Center 5,State Secretary,,L,Mark W. Rutherford,18,,,,,
Marshall,Center 5,State Secretary,,,Write in,1,,,,,
Marshall,Center 5,State Auditor,,R,Tera Klutz,398,,,,,
Marshall,Center 5,State Auditor,,D,Joselyn Whitticker,141,,,,,
Marshall,Center 5,State Auditor,,L,John Schick,12,,,,,
Marshall,Center 5,State Treasurer,,R,Kelly Mitchell,422,,,,,
Marshall,Center 5,State Treasurer,,D,John C. Aguilera,130,,,,,
Marshall,Center 5,U.S. House,2,R,Jackie Walorski,388,,,,,
Marshall,Center 5,U.S. House,2,D,Mel Hall,170,,,,,
Marshall,Center 5,U.S. House,2,,Write in,0,,,,,
Marshall,Center 5,State House,17,R,Jack Jordan,389,,,,,
Marshall,Center 5,State House,17,D,Michelle Livinghouse,169,,,,,
Marshall,Center 5,U.S. Senate,,R,Mike Braun,343,,,,,
Marshall,Center 5,U.S. Senate,,D,Joe Donnelly,254,,,,,
Marshall,Center 5,U.S. Senate,,L,Lucy M. Brenton,20,,,,,
Marshall,Center 5,U.S. Senate,,,Write in,0,,,,,
Marshall,Center 5,State Secretary,,R,Connie Lawson,409,,,,,
Marshall,Center 5,State Secretary,,D,Jim Harper,181,,,,,
Marshall,Center 5,State Secretary,,L,Mark W. Rutherford,21,,,,,
Marshall,Center 5,State Secretary,,,Write in,0,,,,,
Marshall,Center 5,State Auditor,,R,Tera Klutz,395,,,,,
Marshall,Center 5,State Auditor,,D,Joselyn Whitticker,191,,,,,
Marshall,Center 5,State Auditor,,L,John Schick,16,,,,,
Marshall,Center 5,State Treasurer,,R,Kelly Mitchell,417,,,,,
Marshall,Center 5,State Treasurer,,D,John C. Aguilera,185,,,,,
Marshall,Center 5,U.S. House,2,R,Jackie Walorski,383,,,,,
Marshall,Center 5,U.S. House,2,D,Mel Hall,223,,,,,
Marshall,Center 5,U.S. House,2,,Write in,0,,,,,
Marshall,Center 5,State House,17,R,Jack Jordan,392,,,,,
Marshall,Center 5,State House,17,D,Michelle Livinghouse,222,,,,,
Marshall,Center 5,U.S. Senate,,R,Mike Braun,368,,,,,
Marshall,Center 5,U.S. Senate,,D,Joe Donnelly,262,,,,,
Marshall,Center 5,U.S. Senate,,L,Lucy M. Brenton,16,,,,,
Marshall,Center 5,U.S. Senate,,,Write in,0,,,,,
Marshall,Center 5,State Secretary,,R,Connie Lawson,420,,,,,
Marshall,Center 5,State Secretary,,D,Jim Harper,192,,,,,
Marshall,Center 5,State Secretary,,L,Mark W. Rutherford,20,,,,,
Marshall,Center 5,State Secretary,,,Write in,1,,,,,
Marshall,Center 5,State Auditor,,R,Tera Klutz,418,,,,,
Marshall,Center 5,State Auditor,,D,Joselyn Whitticker,192,,,,,
Marshall,Center 5,State Auditor,,L,John Schick,16,,,,,
Marshall,Center 5,State Treasurer,,R,Kelly Mitchell,438,,,,,
Marshall,Center 5,State Treasurer,,D,John C. Aguilera,190,,,,,
Marshall,Center 5,U.S. House,2,R,Jackie Walorski,393,,,,,
Marshall,Center 5,U.S. House,2,D,Mel Hall,249,,,,,
Marshall,Center 5,U.S. House,2,,Write in,1,,,,,
Marshall,Center 5,State House,17,R,Jack Jordan,392,,,,,
Marshall,Center 5,State House,17,D,Michelle Livinghouse,248,,,,,
Marshall,Center 5,U.S. Senate,,R,Mike Braun,274,,,,,
Marshall,Center 5,U.S. Senate,,D,Joe Donnelly,175,,,,,
Marshall,Center 5,U.S. Senate,,L,Lucy M. Brenton,8,,,,,
Marshall,Center 5,U.S. Senate,,,Write in,0,,,,,
Marshall,Center 5,State Secretary,,R,Connie Lawson,310,,,,,
Marshall,Center 5,State Secretary,,D,Jim Harper,132,,,,,
Marshall,Center 5,State Secretary,,L,Mark W. Rutherford,9,,,,,
Marshall,Center 5,State Secretary,,,Write in,0,,,,,
Marshall,Center 5,State Auditor,,R,Tera Klutz,302,,,,,
Marshall,Center 5,State Auditor,,D,Joselyn Whitticker,134,,,,,
Marshall,Center 5,State Auditor,,L,John Schick,10,,,,,
Marshall,Center 5,State Treasurer,,R,Kelly Mitchell,316,,,,,
Marshall,Center 5,State Treasurer,,D,John C. Aguilera,130,,,,,
Marshall,Center 5,U.S. House,2,R,Jackie Walorski,286,,,,,
Marshall,Center 5,U.S. House,2,D,Mel Hall,169,,,,,
Marshall,Center 5,U.S. House,2,,Write in,0,,,,,
Marshall,Center 5,State House,17,R,Jack Jordan,292,,,,,
Marshall,Center 5,State House,17,D,Michelle Livinghouse,160,,,,,
Marshall,Center 5,U.S. Senate,,R,Mike Braun,415,,,,,
Marshall,Center 5,U.S. Senate,,D,Joe Donnelly,156,,,,,
Marshall,Center 5,U.S. Senate,,L,Lucy M. Brenton,21,,,,,
Marshall,Center 5,U.S. Senate,,,Write in,0,,,,,
Marshall,Center 5,State Secretary,,R,Connie Lawson,467,,,,,
Marshall,Center 5,State Secretary,,D,Jim Harper,98,,,,,
Marshall,Center 5,State Secretary,,L,Mark W. Rutherford,18,,,,,
Marshall,Center 5,State Secretary,,,Write in,0,,,,,
Marshall,Center 5,State Auditor,,R,Tera Klutz,456,,,,,
Marshall,Center 5,State Auditor,,D,Joselyn Whitticker,111,,,,,
Marshall,Center 5,State Auditor,,L,John Schick,14,,,,,
Marshall,Center 5,State Treasurer,,R,Kelly Mitchell,477,,,,,
Marshall,Center 5,State Treasurer,,D,John C. Aguilera,100,,,,,
Marshall,Center 5,U.S. House,2,R,Jackie Walorski,440,,,,,
Marshall,Center 5,U.S. House,2,D,Mel Hall,147,,,,,
Marshall,Center 5,U.S. House,2,,Write in,1,,,,,
Marshall,Center 5,State House,17,R,Jack Jordan,469,,,,,
Marshall,Center 5,State House,17,D,Michelle Livinghouse,112,,,,,
Marshall,German 2,U.S. Senate,,R,Mike Braun,382,,,,,
Marshall,German 2,U.S. Senate,,D,Joe Donnelly,141,,,,,
Marshall,German 2,U.S. Senate,,L,Lucy M. Brenton,17,,,,,
Marshall,German 2,U.S. Senate,,,Write in,0,,,,,
Marshall,German 2,State Secretary,,R,Connie Lawson,433,,,,,
Marshall,German 2,State Secretary,,D,Jim Harper,87,,,,,
Marshall,German 2,State Secretary,,L,Mark W. Rutherford,17,,,,,
Marshall,German 2,State Secretary,,,Write in,0,,,,,
Marshall,German 2,State Auditor,,R,Tera Klutz,419,,,,,
Marshall,German 2,State Auditor,,D,Joselyn Whitticker,89,,,,,
Marshall,German 2,State Auditor,,L,John Schick,15,,,,,
Marshall,German 2,State Treasurer,,R,Kelly Mitchell,436,,,,,
Marshall,German 2,State Treasurer,,D,John C. Aguilera,92,,,,,
Marshall,German 2,U.S. House,2,R,Jackie Walorski,410,,,,,
Marshall,German 2,U.S. House,2,D,Mel Hall,125,,,,,
Marshall,German 2,U.S. House,2,,Write in,0,,,,,
Marshall,German 2,State House,17,R,Jack Jordan,443,,,,,
Marshall,German 2,State House,17,D,Michelle Livinghouse,89,,,,,
Marshall,German 2,U.S. Senate,,R,Mike Braun,256,,,,,
Marshall,German 2,U.S. Senate,,D,Joe Donnelly,154,,,,,
Marshall,German 2,U.S. Senate,,L,Lucy M. Brenton,9,,,,,
Marshall,German 2,U.S. Senate,,,Write in,0,,,,,
Marshall,German 2,State Secretary,,R,Connie Lawson,307,,,,,
Marshall,German 2,State Secretary,,D,Jim Harper,99,,,,,
Marshall,German 2,State Secretary,,L,Mark W. Rutherford,12,,,,,
Marshall,German 2,State Secretary,,,Write in,0,,,,,
Marshall,German 2,State Auditor,,R,Tera Klutz,292,,,,,
Marshall,German 2,State Auditor,,D,Joselyn Whitticker,108,,,,,
Marshall,German 2,State Auditor,,L,John Schick,10,,,,,
Marshall,German 2,State Treasurer,,R,Kelly Mitchell,310,,,,,
Marshall,German 2,State Treasurer,,D,John C. Aguilera,102,,,,,
Marshall,German 2,U.S. House,2,R,Jackie Walorski,287,,,,,
Marshall,German 2,U.S. House,2,D,Mel Hall,128,,,,,
Marshall,German 2,U.S. House,2,,Write in,0,,,,,
Marshall,German 2,State House,17,R,Jack Jordan,314,,,,,
Marshall,German 2,State House,17,D,Michelle Livinghouse,106,,,,,
Marshall,German 2,U.S. Senate,,R,Mike Braun,203,,,,,
Marshall,German 2,U.S. Senate,,D,Joe Donnelly,148,,,,,
Marshall,German 2,U.S. Senate,,L,Lucy M. Brenton,14,,,,,
Marshall,German 2,U.S. Senate,,,Write in,0,,,,,
Marshall,German 2,State Secretary,,R,Connie Lawson,235,,,,,
Marshall,German 2,State Secretary,,D,Jim Harper,113,,,,,
Marshall,German 2,State Secretary,,L,Mark W. Rutherford,13,,,,,
Marshall,German 2,State Secretary,,,Write in,0,,,,,
Marshall,German 2,State Auditor,,R,Tera Klutz,228,,,,,
Marshall,German 2,State Auditor,,D,Joselyn Whitticker,114,,,,,
Marshall,German 2,State Auditor,,L,John Schick,13,,,,,
Marshall,German 2,State Treasurer,,R,Kelly Mitchell,245,,,,,
Marshall,German 2,State Treasurer,,D,John C. Aguilera,108,,,,,
Marshall,German 2,U.S. House,2,R,Jackie Walorski,219,,,,,
Marshall,German 2,U.S. House,2,D,Mel Hall,143,,,,,
Marshall,German 2,U.S. House,2,,Write in,0,,,,,
