county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Whitley,Columbia South,State Treasurer,,R,Kelly Mitchell,431,,,,,
Whitley,Columbia South,State Treasurer,,D,John C Aguilera,127,,,,,
Whitley,Columbia South,U.S. House,3,R,Jim Banks,440,,,,,
Whitley,Columbia South,U.S. House,3,D,Courtney Tritch,131,,,,,
Whitley,Columbia South,U.S. House,3,,Write in,1,,,,,
Whitley,Columbia South,State Senate,17,R,Andy Zay,445,,,,,
Whitley,Columbia South,State Senate,17,D,Gary L Snyder,130,,,,,
Whitley,Columbia South,State House,83,R,Christopher N Judy,507,,,,,
Whitley,Columbia South,U.S. Senate,,R,Mike Braun,214,,,,,
Whitley,Columbia South,U.S. Senate,,D,Joe Donnelly,123,,,,,
Whitley,Columbia South,U.S. Senate,,L,Lucy M Brenton,20,,,,,
Whitley,Columbia South,U.S. Senate,,,Write in,0,,,,,
Whitley,Columbia South,State Secretary,,R,Connie Lawson,230,,,,,
Whitley,Columbia South,State Secretary,,D,Jim Harper,106,,,,,
Whitley,Columbia South,State Secretary,,L,Mark W Rutherford,15,,,,,
Whitley,Columbia South,State Secretary,,,Write in,1,,,,,
Whitley,Columbia South,State Auditor,,R,Tera Klutz,226,,,,,
Whitley,Columbia South,State Auditor,,D,Joselyn Whitticker,107,,,,,
Whitley,Columbia South,State Auditor,,L,John Schick,19,,,,,
Whitley,Columbia South,State Treasurer,,R,Kelly Mitchell,237,,,,,
Whitley,Columbia South,State Treasurer,,D,John C Aguilera,114,,,,,
Whitley,Columbia South,U.S. House,3,R,Jim Banks,246,,,,,
Whitley,Columbia South,U.S. House,3,D,Courtney Tritch,108,,,,,
Whitley,Columbia South,U.S. House,3,,Write in,0,,,,,
Whitley,Columbia South,State Senate,17,R,Andy Zay,236,,,,,
Whitley,Columbia South,State Senate,17,D,Gary L Snyder,117,,,,,
Whitley,Columbia South,State House,83,R,Christopher N Judy,291,,,,,
Whitley,Columbia South,U.S. Senate,,R,Mike Braun,402,,,,,
Whitley,Columbia South,U.S. Senate,,D,Joe Donnelly,214,,,,,
Whitley,Columbia South,U.S. Senate,,L,Lucy M Brenton,33,,,,,
Whitley,Columbia South,U.S. Senate,,,Write in,0,,,,,
Whitley,Columbia South,State Secretary,,R,Connie Lawson,456,,,,,
Whitley,Columbia South,State Secretary,,D,Jim Harper,165,,,,,
Whitley,Columbia South,State Secretary,,L,Mark W Rutherford,20,,,,,
