county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Decatur,Greensburg 1,U.S. House,6,R,Greg Pence,291,,,,,
Decatur,Greensburg 1,U.S. House,6,D,Jeannine Lee Lake,129,,,,,
Decatur,Greensburg 1,U.S. House,6,L,Tom Ferkinhoff,10,,,,,
Decatur,Greensburg 1,U.S. House,6,,Write in,0,,,,,
Decatur,Greensburg 1,State Senate,43,R,"Clyde A. ""chip"" Perfect Jr.",322,,,,,
Decatur,Greensburg 2,U.S. Senate,,R,Mike Braun,277,,,,,
Decatur,Greensburg 2,U.S. Senate,,D,Joe Donnelly,146,,,,,
Decatur,Greensburg 2,U.S. Senate,,L,Lucy M. Brenton,24,,,,,
Decatur,Greensburg 2,U.S. Senate,,,Write in,0,,,,,
Decatur,Greensburg 2,State Secretary,,R,Connie Lawson,308,,,,,
Decatur,Greensburg 2,State Secretary,,D,Jim Harper,124,,,,,
Decatur,Greensburg 2,State Secretary,,L,Mark W. Rutherford,10,,,,,
Decatur,Greensburg 2,State Secretary,,,Write in,0,,,,,
Decatur,Greensburg 2,State Auditor,,R,Tera Klutz,295,,,,,
Decatur,Greensburg 2,State Auditor,,D,Joselyn Whitticker,125,,,,,
Decatur,Greensburg 2,State Auditor,,L,John Schick,6,,,,,
Decatur,Greensburg 2,State Treasurer,,R,Kelly Mitchell,319,,,,,
Decatur,Greensburg 2,State Treasurer,,D,John C. Aguilera,110,,,,,
Decatur,Greensburg 2,U.S. House,6,R,Greg Pence,295,,,,,
Decatur,Greensburg 2,U.S. House,6,D,Jeannine Lee Lake,138,,,,,
Decatur,Greensburg 2,U.S. House,6,L,Tom Ferkinhoff,10,,,,,
Decatur,Greensburg 2,U.S. House,6,,Write in,0,,,,,
Decatur,Greensburg 2,State Senate,43,R,"Clyde A. ""chip"" Perfect Jr.",325,,,,,
Decatur,Greensburg 3,U.S. Senate,,R,Mike Braun,256,,,,,
Decatur,Greensburg 3,U.S. Senate,,D,Joe Donnelly,121,,,,,
Decatur,Greensburg 3,U.S. Senate,,L,Lucy M. Brenton,26,,,,,
Decatur,Greensburg 3,U.S. Senate,,,Write in,1,,,,,
Decatur,Greensburg 3,State Secretary,,R,Connie Lawson,276,,,,,
Decatur,Greensburg 3,State Secretary,,D,Jim Harper,105,,,,,
Decatur,Greensburg 3,State Secretary,,L,Mark W. Rutherford,15,,,,,
Decatur,Greensburg 3,State Secretary,,,Write in,0,,,,,
