county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Randolph,White River 1,U.S. Senate,,R,Mike Braun,294,,,,,
Randolph,White River 1,U.S. Senate,,D,Joe Donnelly,167,,,,,
Randolph,White River 1,U.S. Senate,,L,Lucy M. Brenton,31,,,,,
Randolph,White River 1,U.S. Senate,,,Write in,0,,,,,
Randolph,White River 1,State Secretary,,R,Connie Lawson,354,,,,,
Randolph,White River 1,State Secretary,,D,Jim Harper,118,,,,,
Randolph,White River 1,State Secretary,,L,Mark W. Rutherford,12,,,,,
Randolph,White River 1,State Secretary,,,Write in,0,,,,,
Randolph,White River 1,State Auditor,,R,Tera Klutz,330,,,,,
Randolph,White River 1,State Auditor,,D,Joselyn Whitticker,119,,,,,
Randolph,White River 1,State Auditor,,L,John Schick,13,,,,,
Randolph,White River 1,State Treasurer,,R,Kelly Mitchell,350,,,,,
Randolph,White River 1,State Treasurer,,D,John C. Aguilera,115,,,,,
Randolph,White River 1,U.S. House,6,R,Greg Pence,326,,,,,
Randolph,White River 1,U.S. House,6,D,Jeannine Lee Lake,144,,,,,
Randolph,White River 1,U.S. House,6,L,Tom Ferkinhoff,19,,,,,
Randolph,White River 1,U.S. House,6,,Write in,0,,,,,
Randolph,White River 1,State Senate,27,R,Jeff Raatz,369,,,,,
Randolph,White River 1,State Senate,27,D,Jerome (jake) Hoog,114,,,,,
Randolph,White River 1,State House,33,R,John (jd) Prescott,290,,,,,
Randolph,White River 1,State House,33,D,Shon Byrum,156,,,,,
Randolph,White River 1,State House,33,L,Dale Arnett,43,,,,,
Randolph,White River 2,U.S. Senate,,R,Mike Braun,305,,,,,
Randolph,White River 2,U.S. Senate,,D,Joe Donnelly,134,,,,,
Randolph,White River 2,U.S. Senate,,L,Lucy M. Brenton,33,,,,,
Randolph,White River 2,U.S. Senate,,,Write in,0,,,,,
Randolph,White River 2,State Secretary,,R,Connie Lawson,356,,,,,
Randolph,White River 2,State Secretary,,D,Jim Harper,101,,,,,
Randolph,White River 2,State Secretary,,L,Mark W. Rutherford,16,,,,,
Randolph,White River 2,State Secretary,,,Write in,0,,,,,
Randolph,White River 2,State Auditor,,R,Tera Klutz,329,,,,,
Randolph,White River 2,State Auditor,,D,Joselyn Whitticker,117,,,,,
Randolph,White River 2,State Auditor,,L,John Schick,17,,,,,
Randolph,White River 2,State Treasurer,,R,Kelly Mitchell,359,,,,,
Randolph,White River 2,State Treasurer,,D,John C. Aguilera,102,,,,,
Randolph,White River 2,U.S. House,6,R,Greg Pence,328,,,,,
Randolph,White River 2,U.S. House,6,D,Jeannine Lee Lake,113,,,,,
Randolph,White River 2,U.S. House,6,L,Tom Ferkinhoff,36,,,,,
Randolph,White River 2,U.S. House,6,,Write in,0,,,,,
Randolph,White River 2,State Senate,27,R,Jeff Raatz,373,,,,,
Randolph,White River 2,State Senate,27,D,Jerome (jake) Hoog,101,,,,,
Randolph,White River 2,State House,33,R,John (jd) Prescott,253,,,,,
Randolph,White River 2,State House,33,D,Shon Byrum,182,,,,,
Randolph,White River 2,State House,33,L,Dale Arnett,39,,,,,
Randolph,Winchester 1 2,U.S. Senate,,R,Mike Braun,267,,,,,
Randolph,Winchester 1 2,U.S. Senate,,D,Joe Donnelly,179,,,,,
Randolph,Winchester 1 2,U.S. Senate,,L,Lucy M. Brenton,43,,,,,
Randolph,Winchester 1 2,U.S. Senate,,,Write in,0,,,,,
Randolph,Winchester 1 2,State Secretary,,R,Connie Lawson,312,,,,,
Randolph,Winchester 1 2,State Secretary,,D,Jim Harper,143,,,,,
Randolph,Winchester 1 2,State Secretary,,L,Mark W. Rutherford,24,,,,,
Randolph,Winchester 1 2,State Secretary,,,Write in,1,,,,,
Randolph,Winchester 1 2,State Auditor,,R,Tera Klutz,293,,,,,
Randolph,Winchester 1 2,State Auditor,,D,Joselyn Whitticker,152,,,,,
Randolph,Winchester 1 2,State Auditor,,L,John Schick,27,,,,,
Randolph,Winchester 1 2,State Treasurer,,R,Kelly Mitchell,322,,,,,
Randolph,Winchester 1 2,State Treasurer,,D,John C. Aguilera,146,,,,,
Randolph,Winchester 1 2,U.S. House,6,R,Greg Pence,292,,,,,
Randolph,Winchester 1 2,U.S. House,6,D,Jeannine Lee Lake,151,,,,,
Randolph,Winchester 1 2,U.S. House,6,L,Tom Ferkinhoff,44,,,,,
Randolph,Winchester 1 2,U.S. House,6,,Write in,0,,,,,
Randolph,Winchester 1 2,State Senate,27,R,Jeff Raatz,326,,,,,
Randolph,Winchester 1 2,State Senate,27,D,Jerome (jake) Hoog,153,,,,,
Randolph,Winchester 1 2,State House,33,R,John (jd) Prescott,237,,,,,
Randolph,Winchester 1 2,State House,33,D,Shon Byrum,193,,,,,
Randolph,Winchester 1 2,State House,33,L,Dale Arnett,62,,,,,
Randolph,Winchester 3,U.S. Senate,,R,Mike Braun,246,,,,,
Randolph,Winchester 3,U.S. Senate,,D,Joe Donnelly,176,,,,,
Randolph,Winchester 3,U.S. Senate,,L,Lucy M. Brenton,27,,,,,
Randolph,Winchester 3,U.S. Senate,,,Write in,0,,,,,
Randolph,Winchester 3,State Secretary,,R,Connie Lawson,282,,,,,
Randolph,Winchester 3,State Secretary,,D,Jim Harper,137,,,,,
Randolph,Winchester 3,State Secretary,,L,Mark W. Rutherford,22,,,,,
Randolph,Winchester 3,State Secretary,,,Write in,0,,,,,
Randolph,Winchester 3,State Auditor,,R,Tera Klutz,270,,,,,
Randolph,Winchester 3,State Auditor,,D,Joselyn Whitticker,141,,,,,
Randolph,Winchester 3,State Auditor,,L,John Schick,21,,,,,
Randolph,Winchester 3,State Treasurer,,R,Kelly Mitchell,292,,,,,
Randolph,Winchester 3,State Treasurer,,D,John C. Aguilera,140,,,,,
Randolph,Winchester 3,U.S. House,6,R,Greg Pence,252,,,,,
Randolph,Winchester 3,U.S. House,6,D,Jeannine Lee Lake,153,,,,,
Randolph,Winchester 3,U.S. House,6,L,Tom Ferkinhoff,38,,,,,
Randolph,Winchester 3,U.S. House,6,,Write in,0,,,,,
Randolph,Winchester 3,State Senate,27,R,Jeff Raatz,305,,,,,
Randolph,Winchester 3,State Senate,27,D,Jerome (jake) Hoog,138,,,,,
Randolph,Winchester 3,State House,33,R,John (jd) Prescott,219,,,,,
Randolph,Winchester 3,State House,33,D,Shon Byrum,184,,,,,
Randolph,Winchester 3,State House,33,L,Dale Arnett,42,,,,,
Randolph,Winchester 4,U.S. Senate,,R,Mike Braun,234,,,,,
Randolph,Winchester 4,U.S. Senate,,D,Joe Donnelly,177,,,,,
Randolph,Winchester 4,U.S. Senate,,L,Lucy M. Brenton,46,,,,,
Randolph,Winchester 4,U.S. Senate,,,Write in,0,,,,,
Randolph,Winchester 4,State Secretary,,R,Connie Lawson,295,,,,,
Randolph,Winchester 4,State Secretary,,D,Jim Harper,122,,,,,
Randolph,Winchester 4,State Secretary,,L,Mark W. Rutherford,30,,,,,
Randolph,Winchester 4,State Secretary,,,Write in,0,,,,,
Randolph,Winchester 4,State Auditor,,R,Tera Klutz,269,,,,,
Randolph,Winchester 4,State Auditor,,D,Joselyn Whitticker,142,,,,,
Randolph,Winchester 4,State Auditor,,L,John Schick,24,,,,,
Randolph,Winchester 4,State Treasurer,,R,Kelly Mitchell,298,,,,,
