county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Clinton,Precinct 1,U.S. Senate,,R,Mike Braun,94,,,,,
Clinton,Precinct 1,U.S. Senate,,D,Joe Donnelly,53,,,,,
Clinton,Precinct 1,U.S. Senate,,L,Lucy M. Brenton,11,,,,,
Clinton,Precinct 1,U.S. Senate,,,Write in,0,,,,,
Clinton,Precinct 1,State Secretary,,D,Jim Harper,41,,,,,
Clinton,Precinct 1,State Secretary,,L,Mark W. Rutherford,2,,,,,
Clinton,Precinct 1,State Secretary,,,Write in,0,,,,,
Clinton,Precinct 1,State Auditor,,R,Tera Klutz,109,,,,,
Clinton,Precinct 1,State Auditor,,D,Joselyn Whitticker,45,,,,,
Clinton,Precinct 1,State Auditor,,L,John Schick,3,,,,,
Clinton,Precinct 1,State Treasurer,,R,Kelly Mitchell,116,,,,,
Clinton,Precinct 1,State Treasurer,,D,John C. Aguilera,39,,,,,
Clinton,Precinct 1,U.S. House,4,R,Jim Baird,109,,,,,
Clinton,Precinct 1,U.S. House,4,D,Tobi Beck,46,,,,,
Clinton,Precinct 1,U.S. House,4,,Write in,0,,,,,
Clinton,Precinct 1,State House,38,R,Heath R. Vannatter,107,,,,,
Clinton,Precinct 1,State House,38,D,Thomas (tom) Hedde,46,,,,,
Clinton,Precinct 1,U.S. Senate,,R,Mike Braun,56,,,,,
Clinton,Precinct 1,U.S. Senate,,D,Joe Donnelly,28,,,,,
Clinton,Precinct 1,U.S. Senate,,L,Lucy M. Brenton,10,,,,,
Clinton,Precinct 1,U.S. Senate,,,Write in,0,,,,,
Clinton,Precinct 1,State Secretary,,R,Connie Lawson,65,,,,,
Clinton,Precinct 1,State Secretary,,,(d) Jim Harper,23,,,,,
Clinton,Precinct 1,State Secretary,,L,Mark W. Rutherford,6,,,,,
Clinton,Precinct 1,State Secretary,,,Write in,0,,,,,
Clinton,Precinct 1,State Auditor,,R,Tera Klutz,60,,,,,
Clinton,Precinct 1,State Auditor,,D,Joselyn Whitticker,29,,,,,
Clinton,Precinct 1,State Auditor,,,Schick,532%,,,,,
Clinton,Precinct 1,State Auditor,,,11/6/2018] Page 1 Of 3,Election,,,,,
Clinton,Precinct 2,State Treasurer,,R,Kelly Mitchell,63,,,,,
Clinton,Precinct 2,State Treasurer,,D,John C. Aguilera,31,,,,,
Clinton,Precinct 2,State House,38,R,Heath R. Vannatter,60,,,,,
Clinton,Precinct 2,State House,38,D,Thomas (tom) Hedde,34,,,,,
Clinton,Precinct 2,U.S. Senate,,R,Mike Braun,59,,,,,
Clinton,Precinct 2,U.S. Senate,,D,Joe Donnelly,21,,,,,
Clinton,Precinct 2,U.S. Senate,,L,Lucy M. Brenton,5,,,,,
Clinton,Precinct 2,U.S. Senate,,,Write in,0,,,,,
Clinton,Precinct 2,State Secretary,,,Lawson,74.70%,,,,,
Clinton,Precinct 2,State Secretary,,D,Jim Harper,21,,,,,
Clinton,Precinct 2,State Secretary,,L,Mark W. Rutherford,3,,,,,
Clinton,Precinct 2,State Secretary,,,Write in,0,,,,,
Clinton,Precinct 2,State Auditor,,,,(R),,,,,
Clinton,Precinct 2,State Auditor,,,Whitticker,19128%,,,,,
Clinton,Precinct 2,State Auditor,,,Schick,8143%,,,,,
Clinton,Precinct 2,State Treasurer,,R,Kelly Mitchell,64,,,,,
Clinton,Precinct 2,State Treasurer,,D,John C. Aguilera,19,,,,,
Clinton,Precinct 2,U.S. House,4,R,Jim Baird,59,,,,,
Clinton,Precinct 2,U.S. House,4,D,Tobi Beck,23,,,,,
Clinton,Precinct 2,U.S. House,4,,Write in,0,,,,,
Clinton,Precinct 2,State House,38,,R. Vannatter,71.95%,,,,,
Clinton,Precinct 2,State House,38,D,Thomas (tom) Hedde,23,,,,,
Clintod,Precinct 2,U.S. Senate,,R,Mike Braun,107,,,,,
Clintod,Precinct 2,U.S. Senate,,D,Joe Donnelly,63,,,,,
Clintod,Precinct 2,U.S. Senate,,L,Lucy M. Brenton,9,,,,,
Clintod,Precinct 2,U.S. Senate,,,Write in,0,,,,,
Clintod,Precinct 2,State Secretary,,R,Connie Lawson,110,,,,,
Clintod,Precinct 2,State Secretary,,D,Jim Harper,62,,,,,
Clintod,Precinct 2,State Secretary,,L,Mark W. Rutherford,6,,,,,
Clintod,Precinct 2,State Secretary,,,Write in,0,,,,,
Clintod,Precinct 2,State Auditor,,D,Joselyn Whitticker,64,,,,,
Clintod,Precinct 2,State Auditor,,L,John Schick,4,,,,,
Clintod,Precinct 2,State Treasurer,,R,Kelly Mitchell,118,,,,,
Clintod,Precinct 2,State Treasurer,,D,John C. Aguilera,61,,,,,
Clintod,Precinct 2,U.S. House,4,D,Tobi Beck,63,,,,,
Clintod,Precinct 2,U.S. House,4,,Write in,0,,,,,
Clintod,Precinct 2,State House,38,R,Heath R. Vannatter,110,,,,,
Clintod,Precinct 2,State House,38,D,Thomas (tom) Hedde,66,,,,,
Clintori,Precinct 2,U.S. Senate,,R,Mike Braun,70,,,,,
Clintori,Precinct 2,U.S. Senate,,D,Joe Donnelly,40,,,,,
Clintori,Precinct 2,U.S. Senate,,L,Lucy M. Brenton,9,,,,,
Clintori,Precinct 2,U.S. Senate,,,Write in,0,,,,,
Clintori,Precinct 2,State Secretary,,R,Connie Lawson,81,,,,,
Clintori,Precinct 2,State Secretary,,D,Jim Harper,29,,,,,
Clintori,Precinct 2,State Secretary,,L,Mark W. Rutherford,7,,,,,
Clintori,Precinct 2,State Secretary,,,Write in,0,,,,,
Clintori,Precinct 2,State Auditor,,R,Tera Klutz,77,,,,,
