county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Blackford,Harrison 1,U.S. Senate,,R,Mike Braun,206,,,,,
Blackford,Harrison 1,U.S. Senate,,D,Joe Donnelly,142,,,,,
Blackford,Harrison 1,U.S. Senate,,L,Lucy M. Brenton,40,,,,,
Blackford,Harrison 1,U.S. Senate,,,Write in,0,,,,,
Blackford,Harrison 1,State Secretary,,R,Connie Lawson,235,,,,,
Blackford,Harrison 1,State Secretary,,D,Jim Harper,131,,,,,
Blackford,Harrison 1,State Secretary,,L,Mark W. Rutherford,19,,,,,
Blackford,Harrison 1,State Secretary,,,Write in,0,,,,,
Blackford,Harrison 1,State Auditor,,R,Tera Klutz,219,,,,,
Blackford,Harrison 1,State Auditor,,D,Joselyn Whitticker,138,,,,,
Blackford,Harrison 1,State Auditor,,L,John Schick,26,,,,,
Blackford,Harrison 1,State Treasurer,,R,Kelly Mitchell,250,,,,,
Blackford,Harrison 1,State Treasurer,,D,John C. Aguilera,135,,,,,
Blackford,Harrison 1,U.S. House,3,R,Jim Banks,237,,,,,
Blackford,Harrison 1,U.S. House,3,D,Courtney Tritch,148,,,,,
Blackford,Harrison 1,U.S. House,3,,Write in,0,,,,,
Blackford,Harrison 1,State Senate,19,R,Travis Holdman,277,,,,,
Blackford,Harrison 1,State House,31,R,Kevin A. Mahan,268,,,,,
Blackford,Harrison 1,State House,31,D,Lynn Johnson,124,,,,,
Blackford,Harrison 2,U.S. Senate,,R,Mike Braun,231,,,,,
Blackford,Harrison 2,U.S. Senate,,D,Joe Donnelly,85,,,,,
Blackford,Harrison 2,U.S. Senate,,L,Lucy M. Brenton,18,,,,,
Blackford,Harrison 2,U.S. Senate,,,Write in,0,,,,,
Blackford,Harrison 2,State Secretary,,R,Connie Lawson,252,,,,,
Blackford,Harrison 2,State Secretary,,D,Jim Harper,67,,,,,
Blackford,Harrison 2,State Secretary,,L,Mark W. Rutherford,11,,,,,
Blackford,Harrison 2,State Secretary,,,Write in,0,,,,,
Blackford,Harrison 2,State Auditor,,R,Tera Klutz,238,,,,,
Blackford,Harrison 2,State Auditor,,D,Joselyn Whitticker,75,,,,,
Blackford,Harrison 2,State Auditor,,L,John Schick,12,,,,,
Blackford,Harrison 2,State Treasurer,,R,Kelly Mitchell,255,,,,,
Blackford,Harrison 2,State Treasurer,,D,John C. Aguilera,73,,,,,
Blackford,Harrison 2,U.S. House,3,R,Jim Banks,259,,,,,
Blackford,Harrison 2,U.S. House,3,D,Courtney Tritch,72,,,,,
Blackford,Harrison 2,U.S. House,3,,Write in,0,,,,,
Blackford,Harrison 2,State Senate,19,R,Travis Holdman,269,,,,,
Blackford,Harrison 2,State House,31,R,Kevin A. Mahan,247,,,,,
Blackford,Harrison 2,State House,31,D,Lynn Johnson,83,,,,,
Blackford,Jackson 1,U.S. Senate,,R,Mike Braun,9,,,,,
Blackford,Jackson 1,U.S. Senate,,D,Joe Donnelly,13,,,,,
Blackford,Jackson 1,U.S. Senate,,L,Lucy M. Brenton,1,,,,,
Blackford,Jackson 1,U.S. Senate,,,Write in,0,,,,,
Blackford,Jackson 1,State Secretary,,R,Connie Lawson,11,,,,,
Blackford,Jackson 1,State Secretary,,D,Jim Harper,12,,,,,
Blackford,Jackson 1,State Secretary,,L,Mark W. Rutherford,1,,,,,
Blackford,Jackson 1,State Secretary,,,Write in,0,,,,,
Blackford,Jackson 1,State Auditor,,R,Tera Klutz,9,,,,,
Blackford,Jackson 1,State Auditor,,D,Joselyn Whitticker,11,,,,,
Blackford,Jackson 1,State Auditor,,L,John Schick,4,,,,,
Blackford,Jackson 1,State Treasurer,,R,Kelly Mitchell,13,,,,,
Blackford,Jackson 1,State Treasurer,,D,John C. Aguilera,11,,,,,
Blackford,Jackson 1,U.S. House,5,R,Susan W. Brooks,11,,,,,
Blackford,Jackson 1,U.S. House,5,D,Dee Thornton,13,,,,,
Blackford,Jackson 1,U.S. House,5,,Write in,0,,,,,
Blackford,Jackson 1,State Senate,19,R,Travis Holdman,16,,,,,
Blackford,Jackson 1,State House,33,R,John (j.d.) Prescott,10,,,,,
Blackford,Jackson 1,State House,33,D,Shon Byrum,13,,,,,
Blackford,Jackson 1,State House,33,L,Dale Arnett,1,,,,,
Blackford,Jackson 2,U.S. Senate,,R,Mike Braun,271,,,,,
Blackford,Jackson 2,U.S. Senate,,D,Joe Donnelly,110,,,,,
Blackford,Jackson 2,U.S. Senate,,L,Lucy M. Brenton,27,,,,,
Blackford,Jackson 2,U.S. Senate,,,Write in,2,,,,,
Blackford,Jackson 2,State Secretary,,R,Connie Lawson,302,,,,,
Blackford,Jackson 2,State Secretary,,D,Jim Harper,91,,,,,
Blackford,Jackson 2,State Secretary,,L,Mark W. Rutherford,15,,,,,
Blackford,Jackson 2,State Secretary,,,Write in,0,,,,,
Blackford,Jackson 2,State Auditor,,R,Tera Klutz,293,,,,,
Blackford,Jackson 2,State Auditor,,D,Joselyn Whitticker,97,,,,,
Blackford,Jackson 2,State Auditor,,L,John Schick,17,,,,,
Blackford,Jackson 2,State Treasurer,,R,Kelly Mitchell,308,,,,,
Blackford,Jackson 2,State Treasurer,,D,John C. Aguilera,97,,,,,
Blackford,Jackson 2,U.S. House,5,R,Susan W. Brooks,314,,,,,
Blackford,Jackson 2,U.S. House,5,D,Dee Thornton,91,,,,,
Blackford,Jackson 2,U.S. House,5,,Write in,0,,,,,
