county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,297,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,133,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,17,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,309,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,117,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,15,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,314,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,113,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,14,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,326,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,110,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,324,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,118,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,339,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,110,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,207,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,116,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,10,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,221,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,102,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,9,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,225,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,94,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,10,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,232,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,96,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,225,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,103,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,231,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,100,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,137,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,107,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,6,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,157,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,88,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,4,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,156,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,88,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,3,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,163,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,86,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,157,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,93,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,162,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,87,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,110,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,69,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,10,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,117,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,64,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,7,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,114,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,67,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,7,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,124,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,64,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,119,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,69,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,126,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,65,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,172,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,134,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,21,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,197,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,112,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,18,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,191,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,120,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,15,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,212,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,112,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,202,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,122,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,1,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,215,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,111,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,165,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,73,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,5,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,185,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,51,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,5,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,182,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,53,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,5,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,190,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,51,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,188,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,53,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,185,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,59,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,103,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,37,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,6,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,106,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,35,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,5,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,106,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,35,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,3,,,,,
Jasper,Keener 5,State Treasurer,,,Mitchell,77.62%,,,,,
Jasper,Keener 5,State Treasurer,,,C. Aguilera,22.38%,,,,,
Jasper,Keener 5,U.S. House,4,,Baird,74.66%,,,,,
Jasper,Keener 5,U.S. House,4,,Beck,25.34%,,,,,
Jasper,Keener 5,State House,16,,L. Gutwein,79.72%,,,,,
Jasper,Keener 5,U.S. Senate,,,Braun,73.64%,,,,,
Jasper,Keener 5,U.S. Senate,,,Donnelly,20.91%,,,,,
Jasper,Keener 5,State Secretary,,,Lawson,77.48%,,,,,
Jasper,Keener 5,State Secretary,,,Rutherford,(L),,,,,
Jasper,Keener 5,State Auditor,,,Klutz,76.36%,,,,,
Jasper,Keener 5,State Auditor,,,Schick,2.73%,,,,,
Jasper,Keener 5,State Auditor,,,,(Election,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,88,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,22,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,87,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,23,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,13,R,Sharon Negele,89,,,,,
Jasper,Keener 5,State House,13,D,Loretta Barnes,23,,,,,
Jasper,Keener 5,U.S. Senate,,R,Mike Braun,205,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,109,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,15,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,235,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,85,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,9,,,,,
Jasper,Keener 5,State Secretary,,,Write in,0,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,222,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,93,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,10,,,,,
Jasper,Keener 5,State Treasurer,,,,(R),,,,,
Jasper,Keener 5,State Treasurer,,,Aguilera,(D),,,,,
Jasper,Keener 5,U.S. House,4,,,(R),,,,,
Jasper,Keener 5,U.S. House,4,,,(D),,,,,
Jasper,Keener 5,State House,16,,Gutwein,(R),,,,,
Jasper,Keener 5,State House,16,,Zacny,(D),,,,,
Jasper,Keener 5,U.S. Senate,,,,(R),,,,,
Jasper,Keener 5,U.S. Senate,,,,(D),,,,,
Jasper,Keener 5,U.S. Senate,,,Brenton,(L),,,,,
Jasper,Keener 5,State Secretary,,,,(R),,,,,
Jasper,Keener 5,State Secretary,,,,(D),,,,,
Jasper,Keener 5,State Secretary,,,Rutherford,(L),,,,,
Jasper,Keener 5,State Auditor,,,,(R),,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,201,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,80,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,203,,,,,
Jasper,Keener 5,U.S. House,4,,Tobi Beck,78,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,206,,,,,
Jasper,Keener 5,State House,16,,Christina L. Zacny,77,,,,,
Jasper,Keener 5,U.S. Senate,,,Braun,68.89%,,,,,
Jasper,Keener 5,U.S. Senate,,,M. Brenton,5.56%,,,,,
Jasper,Keener 5,State Secretary,,,Lawson,70.39%,,,,,
Jasper,Keener 5,State Secretary,,,Harper,26.82%,,,,,
Jasper,Keener 5,State Auditor,,,Klutz,70.39%,,,,,
Jasper,Keener 5,State Auditor,,,Schick,2.23%,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,131,,,,,
Jasper,Keener 5,State Treasurer,,,John C. Aguilera,48,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,131,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,48,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,1,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,133,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,48,,,,,
Jasper,Keener 5,U.S. Senate,,,,(R),,,,,
Jasper,Keener 5,U.S. Senate,,,,(D),,,,,
Jasper,Keener 5,U.S. Senate,,,Brenton,(L),,,,,
Jasper,Keener 5,State Secretary,,,,(R),,,,,
Jasper,Keener 5,State Secretary,,,Harper,34.86%,,,,,
Jasper,Keener 5,State Auditor,,,,(R),,,,,
Jasper,Keener 5,State Auditor,,,,(D),,,,,
Jasper,Keener 5,State Auditor,,,Schick,3.34%,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,255,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,131,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,259,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,128,,,,,
Jasper,Keener 5,U.S. House,4,,Write in,0,,,,,
Jasper,Keener 5,State House,16,R,Douglas L. Gutwein,253,,,,,
Jasper,Keener 5,State House,16,D,Christina L. Zacny,138,,,,,
Jasper,Keener 5,U.S. Senate,,,(r) Mike Braun,0,,,,,
Jasper,Keener 5,U.S. Senate,,D,Joe Donnelly,279,,,,,
Jasper,Keener 5,U.S. Senate,,L,Lucy M. Brenton,12,,,,,
Jasper,Keener 5,U.S. Senate,,,Write in,0,,,,,
Jasper,Keener 5,State Secretary,,R,Connie Lawson,522,,,,,
Jasper,Keener 5,State Secretary,,D,Jim Harper,269,,,,,
Jasper,Keener 5,State Secretary,,L,Mark W. Rutherford,21,,,,,
Jasper,Keener 5,State Secretary,,,Write in,1,,,,,
Jasper,Keener 5,State Auditor,,R,Tera Klutz,513,,,,,
Jasper,Keener 5,State Auditor,,D,Joselyn Whitticker,270,,,,,
Jasper,Keener 5,State Auditor,,L,John Schick,21,,,,,
Jasper,Keener 5,State Treasurer,,R,Kelly Mitchell,538,,,,,
Jasper,Keener 5,State Treasurer,,D,John C. Aguilera,268,,,,,
Jasper,Keener 5,U.S. House,4,R,Jim Baird,537,,,,,
Jasper,Keener 5,U.S. House,4,D,Tobi Beck,270,,,,,
