county,precinct,office,district,candidate,party,votes
Hancock,44 BR-1,President,,Donald Trump,REP,622
Hancock,42 BW-1 E,President,,Donald Trump,REP,594
Hancock,43 BW-1 W,President,,Donald Trump,REP,358
Hancock,46 BN-1,President,,Donald Trump,REP,521
Hancock,47 BN-2,President,,Donald Trump,REP,442
Hancock,26 BC-1,President,,Donald Trump,REP,829
Hancock,27 BC-2 N,President,,Donald Trump,REP,523
Hancock,28 BC-2 S,President,,Donald Trump,REP,272
Hancock,29 BC-3,President,,Donald Trump,REP,395
Hancock,30 BC-4,President,,Donald Trump,REP,476
Hancock,31 BC-5,President,,Donald Trump,REP,521
Hancock,01 G-1 N,President,,Donald Trump,REP,465
Hancock,02 G-1 S,President,,Donald Trump,REP,565
Hancock,03 G-1 E,President,,Donald Trump,REP,662
Hancock,04 G-2 N,President,,Donald Trump,REP,367
Hancock,05 G-2 S,President,,Donald Trump,REP,547
Hancock,06 G-3 N,President,,Donald Trump,REP,364
Hancock,07 G-3 NE,President,,Donald Trump,REP,164
Hancock,08 G-3 C,President,,Donald Trump,REP,381
Hancock,09 G-4 E,President,,Donald Trump,REP,455
Hancock,10 G-4 W,President,,Donald Trump,REP,340
Hancock,11 G-4 C,President,,Donald Trump,REP,588
Hancock,12 G-5 N,President,,Donald Trump,REP,465
Hancock,13 G-5 S,President,,Donald Trump,REP,718
Hancock,14 C-1,President,,Donald Trump,REP,433
Hancock,15 C-2,President,,Donald Trump,REP,751
Hancock,16 C-3,President,,Donald Trump,REP,613
Hancock,17 C-4,President,,Donald Trump,REP,311
Hancock,18 GN-1,President,,Donald Trump,REP,709
Hancock,45 J-1,President,,Donald Trump,REP,732
Hancock,32 SC1 - E,President,,Donald Trump,REP,249
Hancock,33 SC1 - W,President,,Donald Trump,REP,703
Hancock,34 SC-2,President,,Donald Trump,REP,808
Hancock,35 SC-3,President,,Donald Trump,REP,509
Hancock,36 SC-4,President,,Donald Trump,REP,265
Hancock,37 SC-5,President,,Donald Trump,REP,464
Hancock,38 SC-6,President,,Donald Trump,REP,700
Hancock,39 SC-7,President,,Donald Trump,REP,673
Hancock,40 SC-8,President,,Donald Trump,REP,715
Hancock,41 SC-9,President,,Donald Trump,REP,849
Hancock,19 F-1,President,,Donald Trump,REP,611
Hancock,20 F-2,President,,Donald Trump,REP,577
Hancock,21 M-1,President,,Donald Trump,REP,730
Hancock,22 M-1 SE,President,,Donald Trump,REP,561
Hancock,23 M-2,President,,Donald Trump,REP,415
Hancock,24 V-1,President,,Donald Trump,REP,939
Hancock,25 V-1 NW,President,,Donald Trump,REP,99
Hancock,,President,,Donald Trump,REP,25050
Hancock,44 BR-1,President,,Hillary Clinton,DEM,121
Hancock,42 BW-1 E,President,,Hillary Clinton,DEM,135
Hancock,43 BW-1 W,President,,Hillary Clinton,DEM,83
Hancock,46 BN-1,President,,Hillary Clinton,DEM,108
Hancock,47 BN-2,President,,Hillary Clinton,DEM,75
Hancock,26 BC-1,President,,Hillary Clinton,DEM,253
Hancock,27 BC-2 N,President,,Hillary Clinton,DEM,539
Hancock,28 BC-2 S,President,,Hillary Clinton,DEM,78
Hancock,29 BC-3,President,,Hillary Clinton,DEM,162
Hancock,30 BC-4,President,,Hillary Clinton,DEM,163
Hancock,31 BC-5,President,,Hillary Clinton,DEM,279
Hancock,01 G-1 N,President,,Hillary Clinton,DEM,196
Hancock,02 G-1 S,President,,Hillary Clinton,DEM,209
Hancock,03 G-1 E,President,,Hillary Clinton,DEM,224
Hancock,04 G-2 N,President,,Hillary Clinton,DEM,182
Hancock,05 G-2 S,President,,Hillary Clinton,DEM,214
Hancock,06 G-3 N,President,,Hillary Clinton,DEM,149
Hancock,07 G-3 NE,President,,Hillary Clinton,DEM,91
Hancock,08 G-3 C,President,,Hillary Clinton,DEM,178
Hancock,09 G-4 E,President,,Hillary Clinton,DEM,202
Hancock,10 G-4 W,President,,Hillary Clinton,DEM,125
Hancock,11 G-4 C,President,,Hillary Clinton,DEM,146
Hancock,12 G-5 N,President,,Hillary Clinton,DEM,164
Hancock,13 G-5 S,President,,Hillary Clinton,DEM,218
Hancock,14 C-1,President,,Hillary Clinton,DEM,131
Hancock,15 C-2,President,,Hillary Clinton,DEM,225
Hancock,16 C-3,President,,Hillary Clinton,DEM,153
Hancock,17 C-4,President,,Hillary Clinton,DEM,84
Hancock,18 GN-1,President,,Hillary Clinton,DEM,177
Hancock,45 J-1,President,,Hillary Clinton,DEM,152
Hancock,32 SC1 - E,President,,Hillary Clinton,DEM,67
Hancock,33 SC1 - W,President,,Hillary Clinton,DEM,255
Hancock,34 SC-2,President,,Hillary Clinton,DEM,239
Hancock,35 SC-3,President,,Hillary Clinton,DEM,138
Hancock,36 SC-4,President,,Hillary Clinton,DEM,70
Hancock,37 SC-5,President,,Hillary Clinton,DEM,121
Hancock,38 SC-6,President,,Hillary Clinton,DEM,252
Hancock,39 SC-7,President,,Hillary Clinton,DEM,233
Hancock,40 SC-8,President,,Hillary Clinton,DEM,210
Hancock,41 SC-9,President,,Hillary Clinton,DEM,231
Hancock,19 F-1,President,,Hillary Clinton,DEM,213
Hancock,20 F-2,President,,Hillary Clinton,DEM,217
Hancock,21 M-1,President,,Hillary Clinton,DEM,397
Hancock,22 M-1 SE,President,,Hillary Clinton,DEM,419
Hancock,23 M-2,President,,Hillary Clinton,DEM,318
Hancock,24 V-1,President,,Hillary Clinton,DEM,276
Hancock,25 V-1 NW,President,,Hillary Clinton,DEM,29
Hancock,,President,,Hillary Clinton,DEM,8901
Hancock,44 BR-1,President,,Gary Johnson,LBT,32
Hancock,42 BW-1 E,President,,Gary Johnson,LBT,32
Hancock,43 BW-1 W,President,,Gary Johnson,LBT,20
Hancock,46 BN-1,President,,Gary Johnson,LBT,31
Hancock,47 BN-2,President,,Gary Johnson,LBT,23
Hancock,26 BC-1,President,,Gary Johnson,LBT,48
Hancock,27 BC-2 N,President,,Gary Johnson,LBT,69
Hancock,28 BC-2 S,President,,Gary Johnson,LBT,29
Hancock,29 BC-3,President,,Gary Johnson,LBT,32
Hancock,30 BC-4,President,,Gary Johnson,LBT,40
Hancock,31 BC-5,President,,Gary Johnson,LBT,51
Hancock,01 G-1 N,President,,Gary Johnson,LBT,49
Hancock,02 G-1 S,President,,Gary Johnson,LBT,71
