county,office,district,candidate,party,votes
Adams,President,,Hillary Clinton,Democratic,991
Adams,President,,Bernie Sanders,Democratic,1030
Adams,President,,Jeb Bush,Republican,35
Adams,President,,Ben Carson,Republican,90
Adams,President,,Chris Christie,Republican,11
Adams,President,,Ted Cruz,Republican,3851
Adams,President,,Carly Fiorina,Republican,6
Adams,President,,John R. Kasich,Republican,367
Adams,President,,Rand Paul,Republican,28
Adams,President,,Marco Rubio,Republican,20
Adams,President,,Donald J. Trump,Republican,2458
Adams,U.S. Senator,,Baron Hill,Democratic,1683
Adams,U.S. Senator,,Marlin A. Stutzman,Republican,4641
Adams,U.S. Senator,,Todd Young,Republican,1700
Adams,Governor,,John R. Gregg,Democratic,1786
Adams,Governor,,Michael R. Pence,Republican,5371
Adams,U.S. House,3,Todd Nightenhelser,Democratic,474
Adams,U.S. House,3,John Forrest Roberson,Democratic,501
Adams,U.S. House,3,Tommy A. Schrader,Democratic,739
Adams,U.S. House,3,Jim Banks,Republican,2379
Adams,U.S. House,3,Mark Willard Baringer,Republican,52
Adams,U.S. House,3,"Elizabeth ""Liz"" Brown",Republican,1492
Adams,U.S. House,3,Pam Galloway,Republican,493
Adams,U.S. House,3,Kevin Howell,Republican,101
Adams,U.S. House,3,Kip Tom,Republican,1898
Adams,State House,79,Matthew S. Lehman,Republican,5804
Allen,President,,Hillary Clinton,Democratic,15045
Allen,President,,Bernie Sanders,Democratic,16456
Allen,President,,Jeb Bush,Republican,289
Allen,President,,Ben Carson,Republican,569
Allen,President,,Chris Christie,Republican,96
Allen,President,,Ted Cruz,Republican,29994
Allen,President,,Carly Fiorina,Republican,60
Allen,President,,John R. Kasich,Republican,4880
Allen,President,,Rand Paul,Republican,239
Allen,President,,Marco Rubio,Republican,327
Allen,President,,Donald J. Trump,Republican,29495
Allen,U.S. Senator,,Baron Hill,Democratic,25298
Allen,U.S. Senator,,Marlin A. Stutzman,Republican,40862
Allen,U.S. Senator,,Todd Young,Republican,19596
Allen,Governor,,John R. Gregg,Democratic,26867
Allen,Governor,,Michael R. Pence,Republican,49422
Allen,U.S. House,3,Todd Nightenhelser,Democratic,7866
Allen,U.S. House,3,John Forrest Roberson,Democratic,7567
Allen,U.S. House,3,Tommy A. Schrader,Democratic,8981
Allen,U.S. House,3,Jim Banks,Republican,19960
Allen,U.S. House,3,Mark Willard Baringer,Republican,548
Allen,U.S. House,3,"Elizabeth ""Liz"" Brown",Republican,21678
Allen,U.S. House,3,Pam Galloway,Republican,2956
Allen,U.S. House,3,Kevin Howell,Republican,870
Allen,U.S. House,3,Kip Tom,Republican,16253
Allen,State Senator,16,John Kessler,Republican,6005
Allen,State Senator,16,David C. Long,Republican,16186
Allen,State House,50,Jorge Fernandez,Democratic,1574
Allen,State House,50,Ted Harber,Republican,1655
Allen,State House,50,Daniel J. (Dan) Leonard,Republican,1416
Allen,State House,50,Ben Smaltz,Republican,4160
Allen,State House,50,David L. Ober,Republican,1232
Allen,State House,50,Curtis Nash,Republican,2579
Allen,State House,50,Bob Morris,Republican,12275
Allen,State House,50,Dave Heine,Republican,7849
Allen,State House,50,Denny Worman,Republican,1162
Bartholomew,President,,Hillary Clinton,Democratic,2778
Bartholomew,President,,Bernie Sanders,Democratic,3183
Bartholomew,President,,Jeb Bush,Republican,141
Bartholomew,President,,Ben Carson,Republican,164
Bartholomew,President,,Chris Christie,Republican,30
Bartholomew,President,,Ted Cruz,Republican,6284
Bartholomew,President,,Carly Fiorina,Republican,30
Bartholomew,President,,John R. Kasich,Republican,1451
Bartholomew,President,,Rand Paul,Republican,94
Bartholomew,President,,Marco Rubio,Republican,92
Bartholomew,President,,Donald J. Trump,Republican,7918
Bartholomew,U.S. Senator,,Baron Hill,Democratic,5216
Bartholomew,U.S. Senator,,Marlin A. Stutzman,Republican,2794
Bartholomew,U.S. Senator,,Todd Young,Republican,12043
Bartholomew,Governor,,John R. Gregg,Democratic,5173
Bartholomew,Governor,,Michael R. Pence,Republican,12740
Bartholomew,U.S. House,6,Danny Basham,Democratic,877
