county,precinct,office,district,candidate,party,votes
Benton,Bolivar,Voters,,Ballots Cast,,469
Benton,Bolivar,Voters,,Registered,,831
Benton,Bolivar,Voters,,Straight Ticket,D,49
Benton,Bolivar,Voters,,Straight Ticket,L,13
Benton,Bolivar,Voters,,Straight Ticket,R,167
Benton,Bolivar,President,,Donald J. Trump,R,306
Benton,Bolivar,President,,Hillary Clinton,D,109
Benton,Bolivar,President,,Gary Johnson,L,38
Benton,Bolivar,President,,Write-In,,4
Benton,Bolivar,U.S. Senate,,Todd Young,R,283
Benton,Bolivar,U.S. Senate,,Evan Bayh,D,138
Benton,Bolivar,U.S. Senate,,Lucy Brenton,L,40
Benton,Bolivar,U.S. Senate,,Write-In,,0
Benton,Bolivar,Governor,,Eric Holcomb,R,289
Benton,Bolivar,Governor,,John R. Gregg,D,147
Benton,Bolivar,Governor,,Rex Bell,L,23
Benton,Bolivar,Governor,,Write-in,,0
Benton,Bolivar,Attorney General,,"Curtis T. Hill, Jr.",R,343
Benton,Bolivar,Attorney General,,Lorenzo Arredondo,D,107
Benton,Bolivar,Superintendent of Public Instruction,,Jennifer McCormick,R,278
Benton,Bolivar,Superintendent of Public Instruction,,Glenda Ritz,D,175
Benton,Bolivar,U.S. House,4,Todd Rokita,R,320
Benton,Bolivar,U.S. House,4,John Dale,D,107
Benton,Bolivar,U.S. House,4,Steven Mayoras,L,30
Benton,Bolivar,U.S. House,4,Write-in,,0
Benton,Bolivar,State House,13,Sharon Negele,R,334
Benton,Bolivar,State House,13,Mike Childress,D,120
Benton,Center East,Voters,,Ballots Cast,,335
Benton,Center East,Voters,,Registered,,513
Benton,Center East,Voters,,Straight Ticket,D,26
Benton,Center East,Voters,,Straight Ticket,L,4
Benton,Center East,Voters,,Straight Ticket,R,107
Benton,Center East,President,,Donald J. Trump,R,221
Benton,Center East,President,,Hillary Clinton,D,78
Benton,Center East,President,,Gary Johnson,L,16
Benton,Center East,President,,Write-In,,4
Benton,Center East,U.S. Senate,,Todd Young,R,197
Benton,Center East,U.S. Senate,,Evan Bayh,D,110
Benton,Center East,U.S. Senate,,Lucy Brenton,L,14
Benton,Center East,U.S. Senate,,Write-In,,0
Benton,Center East,Governor,,Eric Holcomb,R,198
Benton,Center East,Governor,,John R. Gregg,D,112
Benton,Center East,Governor,,Rex Bell,L,10
Benton,Center East,Governor,,Write-in,,0
Benton,Center East,Attorney General,,"Curtis T. Hill, Jr.",R,231
Benton,Center East,Attorney General,,Lorenzo Arredondo,D,81
Benton,Center East,Superintendent of Public Instruction,,Jennifer McCormick,R,200
Benton,Center East,Superintendent of Public Instruction,,Glenda Ritz,D,119
Benton,Center East,U.S. House,4,Todd Rokita,R,224
Benton,Center East,U.S. House,4,John Dale,D,83
Benton,Center East,U.S. House,4,Steven Mayoras,L,14
Benton,Center East,U.S. House,4,Write-in,,0
Benton,Center East,State House,13,Sharon Negele,R,235
Benton,Center East,State House,13,Mike Childress,D,82
Benton,Center North,Voters,,Ballots Cast,,241
Benton,Center North,Voters,,Registered,,413
Benton,Center North,Voters,,Straight Ticket,D,24
Benton,Center North,Voters,,Straight Ticket,L,9
Benton,Center North,Voters,,Straight Ticket,R,71
Benton,Center North,President,,Donald J. Trump,R,153
Benton,Center North,President,,Hillary Clinton,D,59
Benton,Center North,President,,Gary Johnson,L,20
Benton,Center North,President,,Write-In,,1
Benton,Center North,U.S. Senate,,Todd Young,R,141
Benton,Center North,U.S. Senate,,Evan Bayh,D,73
Benton,Center North,U.S. Senate,,Lucy Brenton,L,21
Benton,Center North,U.S. Senate,,Write-In,,0
Benton,Center North,Governor,,Eric Holcomb,R,147
Benton,Center North,Governor,,John R. Gregg,D,73
Benton,Center North,Governor,,Rex Bell,L,13
Benton,Center North,Governor,,Write-in,,0
Benton,Center North,Attorney General,,"Curtis T. Hill, Jr.",R,167
Benton,Center North,Attorney General,,Lorenzo Arredondo,D,56
Benton,Center North,Superintendent of Public Instruction,,Jennifer McCormick,R,143
Benton,Center North,Superintendent of Public Instruction,,Glenda Ritz,D,90
Benton,Center North,U.S. House,4,Todd Rokita,R,160
Benton,Center North,U.S. House,4,John Dale,D,57
Benton,Center North,U.S. House,4,Steven Mayoras,L,16
Benton,Center North,U.S. House,4,Write-in,,0
Benton,Center North,State House,13,Sharon Negele,R,166
Benton,Center North,State House,13,Mike Childress,D,63
Benton,Center South,Voters,,Ballots Cast,,348
Benton,Center South,Voters,,Registered,,540
Benton,Center South,Voters,,Straight Ticket,D,26
Benton,Center South,Voters,,Straight Ticket,L,5
Benton,Center South,Voters,,Straight Ticket,R,105
Benton,Center South,President,,Donald J. Trump,R,233
Benton,Center South,President,,Hillary Clinton,D,86
Benton,Center South,President,,Gary Johnson,L,12
Benton,Center South,President,,Write-In,,6
Benton,Center South,U.S. Senate,,Todd Young,R,220
Benton,Center South,U.S. Senate,,Evan Bayh,D,97
Benton,Center South,U.S. Senate,,Lucy Brenton,L,20
Benton,Center South,U.S. Senate,,Write-In,,0
Benton,Center South,Governor,,Eric Holcomb,R,208
Benton,Center South,Governor,,John R. Gregg,D,107
Benton,Center South,Governor,,Rex Bell,L,17
Benton,Center South,Governor,,Write-in,,0
Benton,Center South,Attorney General,,"Curtis T. Hill, Jr.",R,249
Benton,Center South,Attorney General,,Lorenzo Arredondo,D,72
Benton,Center South,Superintendent of Public Instruction,,Jennifer McCormick,R,199
Benton,Center South,Superintendent of Public Instruction,,Glenda Ritz,D,125
Benton,Center South,U.S. House,4,Todd Rokita,R,236
Benton,Center South,U.S. House,4,John Dale,D,72
Benton,Center South,U.S. House,4,Steven Mayoras,L,20
Benton,Center South,U.S. House,4,Write-in,,0
Benton,Center South,State House,13,Sharon Negele,R,244
Benton,Center South,State House,13,Mike Childress,D,85
Benton,Center West,Voters,,Ballots Cast,,262
Benton,Center West,Voters,,Registered,,431
Benton,Center West,Voters,,Straight Ticket,D,30
Benton,Center West,Voters,,Straight Ticket,L,4
Benton,Center West,Voters,,Straight Ticket,R,62
Benton,Center West,President,,Donald J. Trump,R,166
Benton,Center West,President,,Hillary Clinton,D,83
Benton,Center West,President,,Gary Johnson,L,7
Benton,Center West,President,,Write-In,,0
Benton,Center West,U.S. Senate,,Todd Young,R,147
Benton,Center West,U.S. Senate,,Evan Bayh,D,97
Benton,Center West,U.S. Senate,,Lucy Brenton,L,13
Benton,Center West,U.S. Senate,,Write-In,,0
Benton,Center West,Governor,,Eric Holcomb,R,151
Benton,Center West,Governor,,John R. Gregg,D,99
Benton,Center West,Governor,,Rex Bell,L,3
Benton,Center West,Governor,,Write-in,,0
Benton,Center West,Attorney General,,"Curtis T. Hill, Jr.",R,181
Benton,Center West,Attorney General,,Lorenzo Arredondo,D,66
Benton,Center West,Superintendent of Public Instruction,,Jennifer McCormick,R,143
Benton,Center West,Superintendent of Public Instruction,,Glenda Ritz,D,108
Benton,Center West,U.S. House,4,Todd Rokita,R,165
Benton,Center West,U.S. House,4,John Dale,D,74
Benton,Center West,U.S. House,4,Steven Mayoras,L,11
Benton,Center West,U.S. House,4,Write-in,,0
Benton,Center West,State House,13,Sharon Negele,R,178
Benton,Center West,State House,13,Mike Childress,D,69
Benton,Gilboa,Voters,,Ballots Cast,,132
Benton,Gilboa,Voters,,Registered,,185
Benton,Gilboa,Voters,,Straight Ticket,D,9
Benton,Gilboa,Voters,,Straight Ticket,L,2
Benton,Gilboa,Voters,,Straight Ticket,R,56
Benton,Gilboa,President,,Donald J. Trump,R,104
Benton,Gilboa,President,,Hillary Clinton,D,19
Benton,Gilboa,President,,Gary Johnson,L,5
Benton,Gilboa,President,,Write-In,,0
Benton,Gilboa,U.S. Senate,,Todd Young,R,98
Benton,Gilboa,U.S. Senate,,Evan Bayh,D,28
Benton,Gilboa,U.S. Senate,,Lucy Brenton,L,2
Benton,Gilboa,U.S. Senate,,Write-In,,0
Benton,Gilboa,Governor,,Eric Holcomb,R,101
Benton,Gilboa,Governor,,John R. Gregg,D,27
Benton,Gilboa,Governor,,Rex Bell,L,1
Benton,Gilboa,Governor,,Write-in,,0
Benton,Gilboa,Attorney General,,"Curtis T. Hill, Jr.",R,105
Benton,Gilboa,Attorney General,,Lorenzo Arredondo,D,18
Benton,Gilboa,Superintendent of Public Instruction,,Jennifer McCormick,R,88
Benton,Gilboa,Superintendent of Public Instruction,,Glenda Ritz,D,34
Benton,Gilboa,U.S. House,4,Todd Rokita,R,109
Benton,Gilboa,U.S. House,4,John Dale,D,19
Benton,Gilboa,U.S. House,4,Steven Mayoras,L,2
Benton,Gilboa,U.S. House,4,Write-in,,0
Benton,Gilboa,State House,13,Sharon Negele,R,108
Benton,Gilboa,State House,13,Mike Childress,D,17
Benton,Grard,Voters,,Ballots Cast,,475
Benton,Grard,Voters,,Registered,,771
Benton,Grard,Voters,,Straight Ticket,D,39
Benton,Grard,Voters,,Straight Ticket,L,8
Benton,Grard,Voters,,Straight Ticket,R,159
Benton,Grard,President,,Donald J. Trump,R,337
Benton,Grard,President,,Hillary Clinton,D,97
Benton,Grard,President,,Gary Johnson,L,24
Benton,Grard,President,,Write-In,,8
Benton,Grard,U.S. Senate,,Todd Young,R,287
Benton,Grard,U.S. Senate,,Evan Bayh,D,151
Benton,Grard,U.S. Senate,,Lucy Brenton,L,30
Benton,Grard,U.S. Senate,,Write-In,,0
Benton,Grard,Governor,,Eric Holcomb,R,295
Benton,Grard,Governor,,John R. Gregg,D,140
Benton,Grard,Governor,,Rex Bell,L,24
Benton,Grard,Governor,,Write-in,,0
Benton,Grard,Attorney General,,"Curtis T. Hill, Jr.",R,347
Benton,Grard,Attorney General,,Lorenzo Arredondo,D,99
Benton,Grard,Superintendent of Public Instruction,,Jennifer McCormick,R,307
Benton,Grard,Superintendent of Public Instruction,,Glenda Ritz,D,150
Benton,Grard,U.S. House,4,Todd Rokita,R,336
Benton,Grard,U.S. House,4,John Dale,D,97
Benton,Grard,U.S. House,4,Steven Mayoras,L,24
Benton,Grard,U.S. House,4,Write-in,,0
Benton,Grard,State House,13,Sharon Negele,R,325
Benton,Grard,State House,13,Mike Childress,D,132
Benton,Hickory Grove,Voters,,Ballots Cast,,142
Benton,Hickory Grove,Voters,,Registered,,257
Benton,Hickory Grove,Voters,,Straight Ticket,D,19
Benton,Hickory Grove,Voters,,Straight Ticket,L,4
Benton,Hickory Grove,Voters,,Straight Ticket,R,45
Benton,Hickory Grove,President,,Donald J. Trump,R,91
Benton,Hickory Grove,President,,Hillary Clinton,D,38
Benton,Hickory Grove,President,,Gary Johnson,L,10
Benton,Hickory Grove,President,,Write-In,,0
Benton,Hickory Grove,U.S. Senate,,Todd Young,R,75
Benton,Hickory Grove,U.S. Senate,,Evan Bayh,D,49
Benton,Hickory Grove,U.S. Senate,,Lucy Brenton,L,14
Benton,Hickory Grove,U.S. Senate,,Write-In,,0
Benton,Hickory Grove,Governor,,Eric Holcomb,R,79
Benton,Hickory Grove,Governor,,John R. Gregg,D,51
Benton,Hickory Grove,Governor,,Rex Bell,L,8
Benton,Hickory Grove,Governor,,Write-in,,0
Benton,Hickory Grove,Attorney General,,"Curtis T. Hill, Jr.",R,91
Benton,Hickory Grove,Attorney General,,Lorenzo Arredondo,D,40
Benton,Hickory Grove,Superintendent of Public Instruction,,Jennifer McCormick,R,82
Benton,Hickory Grove,Superintendent of Public Instruction,,Glenda Ritz,D,53
Benton,Hickory Grove,U.S. House,4,Todd Rokita,R,88
Benton,Hickory Grove,U.S. House,4,John Dale,D,36
Benton,Hickory Grove,U.S. House,4,Steven Mayoras,L,13
Benton,Hickory Grove,U.S. House,4,Write-in,,0
Benton,Hickory Grove,State House,13,Sharon Negele,R,98
Benton,Hickory Grove,State House,13,Mike Childress,D,38
Benton,Oak Grove North,Voters,,Ballots Cast,,434
Benton,Oak Grove North,Voters,,Registered,,747
Benton,Oak Grove North,Voters,,Straight Ticket,D,40
Benton,Oak Grove North,Voters,,Straight Ticket,L,9
Benton,Oak Grove North,Voters,,Straight Ticket,R,139
Benton,Oak Grove North,President,,Donald J. Trump,R,300
Benton,Oak Grove North,President,,Hillary Clinton,D,93
Benton,Oak Grove North,President,,Gary Johnson,L,28
Benton,Oak Grove North,President,,Write-In,,3
Benton,Oak Grove North,U.S. Senate,,Todd Young,R,269
Benton,Oak Grove North,U.S. Senate,,Evan Bayh,D,124
Benton,Oak Grove North,U.S. Senate,,Lucy Brenton,L,28
Benton,Oak Grove North,U.S. Senate,,Write-In,,0
Benton,Oak Grove North,Governor,,Eric Holcomb,R,248
Benton,Oak Grove North,Governor,,John R. Gregg,D,152
Benton,Oak Grove North,Governor,,Rex Bell,L,19
Benton,Oak Grove North,Governor,,Write-in,,0
Benton,Oak Grove North,Attorney General,,"Curtis T. Hill, Jr.",R,315
Benton,Oak Grove North,Attorney General,,Lorenzo Arredondo,D,95
Benton,Oak Grove North,Superintendent of Public Instruction,,Jennifer McCormick,R,260
Benton,Oak Grove North,Superintendent of Public Instruction,,Glenda Ritz,D,158
Benton,Oak Grove North,U.S. House,4,Todd Rokita,R,279
Benton,Oak Grove North,U.S. House,4,John Dale,D,115
Benton,Oak Grove North,U.S. House,4,Steven Mayoras,L,24
Benton,Oak Grove North,U.S. House,4,Write-in,,0
Benton,Oak Grove North,State House,13,Sharon Negele,R,303
Benton,Oak Grove North,State House,13,Mike Childress,D,116
Benton,Oak Grove South,Voters,,Ballots Cast,,236
Benton,Oak Grove South,Voters,,Registered,,375
Benton,Oak Grove South,Voters,,Straight Ticket,D,25
Benton,Oak Grove South,Voters,,Straight Ticket,L,7
Benton,Oak Grove South,Voters,,Straight Ticket,R,77
Benton,Oak Grove South,President,,Donald J. Trump,R,160
Benton,Oak Grove South,President,,Hillary Clinton,D,53
Benton,Oak Grove South,President,,Gary Johnson,L,17
