county,office,district,candidate,party,votes
Adams,President,,Hillary Clinton,Democratic,2802
Adams,President,,Gary Johnson,Libertarian,595
Adams,President,,Donald J Trump,Republican,9642
Adams,President,,Darrell L Castle,Constitution,0
Adams,President,,Jill Stein,Green,0
Adams,President,,Ray C Brown,Independent,0
Adams,President,,Roque De La Fuente,Independent,0
Adams,President,,Richard Duncan,Independent,0
Adams,President,,Cherunda Fox,Independent,0
Adams,President,,Tom Hoefling,Independent,0
Adams,President,,Denny Carroll Jackson,Independent,0
Adams,President,,Melissa L Kelly,Independent,0
Adams,President,,Laurence Kotlikoff,Independent,0
Adams,President,,Joseph Maldonado,Independent,0
Adams,President,,G Mullis,Independent,0
Adams,President,,Matthew Roberts,Independent,0
Adams,President,,Emidio Soltysik,Socialist,0
Adams,U.S. Senator,,Evan Bayh,Democratic,3839
Adams,U.S. Senator,,Lucy Brenton,Libertarian,865
Adams,U.S. Senator,,Todd Young,Republican,8425
Adams,U.S. Senator,,"James L Johnson, Jr.",Write-In,0
Adams,Governor,,John R Gregg,Democratic,4271
Adams,Governor,,Rex Bell,Libertarian,370
Adams,Governor,,Eric Holcomb,Republican,8403
Adams,Governor,,Jack Adam Adkins,Independent,0
Adams,Governor,,Christopher Stried,Independent,0
Adams,Attorney General,,Lorenzo Arredondo,Democratic,2649
Adams,Attorney General,,"Curtis T Hill, Jr.",Republican,10048
Adams,Superintendent Of Public Instruction,,Glenda Ritz,Democratic,4994
Adams,Superintendent Of Public Instruction,,Jennifer Mccormick,Republican,7934
Adams,U.S. House,3,Thomas A Schrader,Democratic,2262
Adams,U.S. House,3,Pepper Snyder,Libertarian,713
Adams,U.S. House,3,James E Banks,Republican,9906
Adams,State House,79,Matthew S Lehman,Republican,11167
Allen,President,,Hillary Clinton,Democratic,55222
Allen,President,,Gary Johnson,Libertarian,6764
Allen,President,,Donald J Trump,Republican,83801
Allen,President,,Darrell L Castle,Constitution,0
Allen,President,,Jill Stein,Green,0
Allen,President,,Ray C Brown,Independent,0
Allen,President,,Roque De La Fuente,Independent,0
Allen,President,,Richard Duncan,Independent,0
Allen,President,,Cherunda Fox,Independent,0
Allen,President,,Tom Hoefling,Independent,0
Allen,President,,Denny Carroll Jackson,Independent,0
Allen,President,,Melissa L Kelly,Independent,0
Allen,President,,Laurence Kotlikoff,Independent,0
Allen,President,,Joseph Maldonado,Independent,0
Allen,President,,G Mullis,Independent,0
Allen,President,,Matthew Roberts,Independent,0
Allen,President,,Emidio Soltysik,Socialist,0
Allen,U.S. Senator,,Evan Bayh,Democratic,59700
