county,precinct,office,district,candidate,party,election_day,absentee,early_voting,votes
Shelby,1st North,Registered Voters,,,,,,,343
Shelby,1st North,Ballots Cast,,,,52,53,142,247
Shelby,1st North,President,,Trump / Pence,REP,39,27,85,151
Shelby,1st North,President,,Biden / Harris,DEM,13,22,56,91
Shelby,1st North,President,,Jorgensen / Cohen,LIB,0,1,0,1
Shelby,1st North,President,,Write-In,,0,0,0,0
Shelby,1st North,Governor,,Holcomb / Crouch,REP,36,38,85,159
Shelby,1st North,Governor,,Myers / Lawson,DEM,7,13,42,62
Shelby,1st North,Governor,,Rainwater II / Henry,LIB,8,2,15,25
Shelby,1st North,Attorney General,,Todd Rokita,REP,37,32,81,150
Shelby,1st North,Attorney General,,Jonathan Weinzapfel,DEM,13,17,54,84
Shelby,1st North,U.S. House,6,Greg Pence,REP,39,34,84,157
Shelby,1st North,U.S. House,6,Jeannine Lee Lake,DEM,11,15,55,81
Shelby,1st North,U.S. House,6,Tom Ferkinhoff,LIB,2,1,2,5
Shelby,1st North,U.S. House,6,Write-In,,0,0,0,0
Shelby,1st North,State Senate,42,Jean Leising,REP,41,36,97,174
Shelby,1st North,State Representative,57,Sean R. Eberhart,REP,43,35,98,176
Shelby,1st South,Registered Voters,,,,,,,818
Shelby,1st South,Ballots Cast,,,,180,43,191,414
Shelby,1st South,President,,Trump / Pence,REP,130,23,130,283
Shelby,1st South,President,,Biden / Harris,DEM,43,18,60,121
Shelby,1st South,President,,Jorgensen / Cohen,LIB,5,2,1,8
Shelby,1st South,President,,Write-In,,0,0,0,0
Shelby,1st South,Governor,,Holcomb / Crouch,REP,91,26,112,229
Shelby,1st South,Governor,,Myers / Lawson,DEM,34,16,42,92
Shelby,1st South,Governor,,Rainwater II / Henry,LIB,51,0,33,84
Shelby,1st South,Attorney General,,Todd Rokita,REP,110,23,127,260
Shelby,1st South,Attorney General,,Jonathan Weinzapfel,DEM,54,19,53,126
Shelby,1st South,U.S. House,6,Greg Pence,REP,128,23,126,277
Shelby,1st South,U.S. House,6,Jeannine Lee Lake,DEM,40,17,52,109
Shelby,1st South,U.S. House,6,Tom Ferkinhoff,LIB,9,2,9,20
Shelby,1st South,U.S. House,6,Write-In,,1,0,0,1
Shelby,1st South,State Senate,42,Jean Leising,REP,139,28,142,309
Shelby,1st South,State Representative,57,Sean R. Eberhart,REP,140,27,147,314
Shelby,1st West,Registered Voters,,,,,,,1197
Shelby,1st West,Ballots Cast,,,,246,62,340,648
Shelby,1st West,President,,Trump / Pence,REP,170,21,214,405
Shelby,1st West,President,,Biden / Harris,DEM,67,41,117,225
Shelby,1st West,President,,Jorgensen / Cohen,LIB,7,0,9,16
Shelby,1st West,President,,Write-In,,0,0,0,0
Shelby,1st West,Governor,,Holcomb / Crouch,REP,132,37,198,367
Shelby,1st West,Governor,,Myers / Lawson,DEM,45,22,82,149
Shelby,1st West,Governor,,Rainwater II / Henry,LIB,69,2,56,127
Shelby,1st West,Attorney General,,Todd Rokita,REP,158,22,218,398
Shelby,1st West,Attorney General,,Jonathan Weinzapfel,DEM,69,40,102,211
Shelby,1st West,U.S. House,6,Greg Pence,REP,166,22,220,408
Shelby,1st West,U.S. House,6,Jeannine Lee Lake,DEM,55,39,105,199
Shelby,1st West,U.S. House,6,Tom Ferkinhoff,LIB,18,1,7,26
Shelby,1st West,U.S. House,6,Write-In,,0,0,0,0
Shelby,1st West,State Senate,42,Jean Leising,REP,197,39,262,498
Shelby,1st West,State Representative,57,Sean R. Eberhart,REP,197,37,260,494
Shelby,2nd East,Registered Voters,,,,,,,484
Shelby,2nd East,Ballots Cast,,,,121,27,138,286
Shelby,2nd East,President,,Trump / Pence,REP,91,8,79,178
Shelby,2nd East,President,,Biden / Harris,DEM,28,17,54,99
Shelby,2nd East,President,,Jorgensen / Cohen,LIB,1,0,3,4
Shelby,2nd East,President,,Write-In,,0,0,0,0
Shelby,2nd East,Governor,,Holcomb / Crouch,REP,75,13,75,163
Shelby,2nd East,Governor,,Myers / Lawson,DEM,14,12,40,66
Shelby,2nd East,Governor,,Rainwater II / Henry,LIB,31,2,21,54
Shelby,2nd East,Attorney General,,Todd Rokita,REP,80,10,80,170
Shelby,2nd East,Attorney General,,Jonathan Weinzapfel,DEM,35,17,51,103
Shelby,2nd East,U.S. House,6,Greg Pence,REP,87,10,83,180
Shelby,2nd East,U.S. House,6,Jeannine Lee Lake,DEM,27,16,47,90
Shelby,2nd East,U.S. House,6,Tom Ferkinhoff,LIB,4,1,4,9
Shelby,2nd East,U.S. House,6,Write-In,,0,0,0,0
Shelby,2nd East,State Senate,42,Jean Leising,REP,94,21,91,206
Shelby,2nd East,State Representative,57,Sean R. Eberhart,REP,94,22,97,213
Shelby,2nd South,Registered Voters,,,,,,,423
Shelby,2nd South,Ballots Cast,,,,124,16,86,226
Shelby,2nd South,President,,Trump / Pence,REP,93,8,61,162
Shelby,2nd South,President,,Biden / Harris,DEM,28,8,24,60
Shelby,2nd South,President,,Jorgensen / Cohen,LIB,2,0,0,2
Shelby,2nd South,President,,Write-In,,0,0,1,1
Shelby,2nd South,Governor,,Holcomb / Crouch,REP,72,8,52,132
Shelby,2nd South,Governor,,Myers / Lawson,DEM,19,7,18,44
Shelby,2nd South,Governor,,Rainwater II / Henry,LIB,31,1,15,47
Shelby,2nd South,Attorney General,,Todd Rokita,REP,83,9,54,146
Shelby,2nd South,Attorney General,,Jonathan Weinzapfel,DEM,36,7,25,68
Shelby,2nd South,U.S. House,6,Greg Pence,REP,89,8,60,157
Shelby,2nd South,U.S. House,6,Jeannine Lee Lake,DEM,29,7,20,56
Shelby,2nd South,U.S. House,6,Tom Ferkinhoff,LIB,6,1,5,12
Shelby,2nd South,U.S. House,6,Write-In,,0,0,0,0
Shelby,2nd South,State Senate,42,Jean Leising,REP,106,10,57,173
Shelby,2nd South,State Representative,57,Sean R. Eberhart,REP,99,11,67,177
Shelby,2nd Southeast,Registered Voters,,,,,,,657
Shelby,2nd Southeast,Ballots Cast,,,,149,25,167,341
Shelby,2nd Southeast,President,,Trump / Pence,REP,113,11,107,231
Shelby,2nd Southeast,President,,Biden / Harris,DEM,30,12,57,99
Shelby,2nd Southeast,President,,Jorgensen / Cohen,LIB,3,2,3,8
Shelby,2nd Southeast,President,,Write-In,,0,0,0,0
Shelby,2nd Southeast,Governor,,Holcomb / Crouch,REP,81,14,93,188
Shelby,2nd Southeast,Governor,,Myers / Lawson,DEM,28,9,38,75
Shelby,2nd Southeast,Governor,,Rainwater II / Henry,LIB,36,2,34,72
Shelby,2nd Southeast,Attorney General,,Todd Rokita,REP,103,10,101,214
Shelby,2nd Southeast,Attorney General,,Jonathan Weinzapfel,DEM,40,14,51,105
Shelby,2nd Southeast,U.S. House,6,Greg Pence,REP,104,10,107,221
Shelby,2nd Southeast,U.S. House,6,Jeannine Lee Lake,DEM,31,11,49,91
Shelby,2nd Southeast,U.S. House,6,Tom Ferkinhoff,LIB,11,2,8,21
Shelby,2nd Southeast,U.S. House,6,Write-In,,0,0,0,0
Shelby,2nd Southeast,State Senate,42,Jean Leising,REP,115,12,125,252
Shelby,2nd Southeast,State Representative,57,Sean R. Eberhart,REP,115,11,114,240
Shelby,2nd West,Registered Voters,,,,,,,611
Shelby,2nd West,Ballots Cast,,,,129,34,180,343
Shelby,2nd West,President,,Trump / Pence,REP,82,14,117,213
Shelby,2nd West,President,,Biden / Harris,DEM,43,20,57,120
Shelby,2nd West,President,,Jorgensen / Cohen,LIB,4,0,6,10
Shelby,2nd West,President,,Write-In,,0,0,0,0
Shelby,2nd West,Governor,,Holcomb / Crouch,REP,65,13,89,167
Shelby,2nd West,Governor,,Myers / Lawson,DEM,27,18,46,91
Shelby,2nd West,Governor,,Rainwater II / Henry,LIB,34,2,42,78
Shelby,2nd West,Attorney General,,Todd Rokita,REP,76,11,113,200
Shelby,2nd West,Attorney General,,Jonathan Weinzapfel,DEM,44,21,59,124
Shelby,2nd West,U.S. House,6,Greg Pence,REP,76,14,121,211
Shelby,2nd West,U.S. House,6,Jeannine Lee Lake,DEM,34,17,52,103
Shelby,2nd West,U.S. House,6,Tom Ferkinhoff,LIB,14,2,6,22
Shelby,2nd West,U.S. House,6,Write-In,,0,0,0,0
Shelby,2nd West,State Senate,42,Jean Leising,REP,98,19,141,258
Shelby,2nd West,State Representative,57,Sean R. Eberhart,REP,97,18,137,252
Shelby,3rd East,Registered Voters,,,,,,,920
Shelby,3rd East,Ballots Cast,,,,192,72,368,632
Shelby,3rd East,President,,Trump / Pence,REP,144,41,234,419
Shelby,3rd East,President,,Biden / Harris,DEM,39,30,121,190
Shelby,3rd East,President,,Jorgensen / Cohen,LIB,5,0,9,14
Shelby,3rd East,President,,Write-In,,1,0,1,2
Shelby,3rd East,Governor,,Holcomb / Crouch,REP,102,41,227,370
Shelby,3rd East,Governor,,Myers / Lawson,DEM,28,22,80,130
Shelby,3rd East,Governor,,Rainwater II / Henry,LIB,55,3,60,118
Shelby,3rd East,Attorney General,,Todd Rokita,REP,129,40,236,405
Shelby,3rd East,Attorney General,,Jonathan Weinzapfel,DEM,49,26,114,189
Shelby,3rd East,U.S. House,6,Greg Pence,REP,143,40,232,415
Shelby,3rd East,U.S. House,6,Jeannine Lee Lake,DEM,34,28,116,178
Shelby,3rd East,U.S. House,6,Tom Ferkinhoff,LIB,9,1,12,22
Shelby,3rd East,U.S. House,6,Write-In,,0,0,0,0
Shelby,3rd East,State Senate,42,Jean Leising,REP,157,50,290,497
Shelby,3rd East,State Representative,57,Sean R. Eberhart,REP,157,47,286,490
Shelby,3rd Northeast,Registered Voters,,,,,,,559
Shelby,3rd Northeast,Ballots Cast,,,,113,39,223,375
Shelby,3rd Northeast,President,,Trump / Pence,REP,88,20,142,250
Shelby,3rd Northeast,President,,Biden / Harris,DEM,22,18,78,118
Shelby,3rd Northeast,President,,Jorgensen / Cohen,LIB,1,1,3,5
Shelby,3rd Northeast,President,,Write-In,,0,0,0,0
Shelby,3rd Northeast,Governor,,Holcomb / Crouch,REP,81,23,152,256
