id,county,precinct,office,district,party,candidate,election_day,absentee,early_voting,votes
1,Blackford,Harrison 1,Registered Voters,,,,,,,952
2,Blackford,Harrison 1,Ballots Cast,,,,278,62,244,584
3,Blackford,Harrison 1,President,,REP,Trump\Pence,208,28,176,412
4,Blackford,Harrison 1,President,,DEM,Biden\Harris,49,30,63,142
5,Blackford,Harrison 1,President,,LIB,Jorgense\Cohen,19,3,3,25
6,Blackford,Harrison 1,President,,,Write-In,0,0,0,0
7,Blackford,Harrison 1,Governor,,REP,Holcomb\Crouch,152,30,136,318
8,Blackford,Harrison 1,Governor,,DEM,Myers\Lawson,28,25,39,92
9,Blackford,Harrison 1,Governor,,LIB,Rainwater II\Henry,92,4,61,157
10,Blackford,Harrison 1,Attorney General,,REP,Todd Rokita,197,28,171,396
11,Blackford,Harrison 1,Attorney General,,DEM,Jonathan Weinzapfel,65,30,60,155
12,Blackford,Harrison 1,U.S. House,3,REP,Jim Banks,210,28,183,421
13,Blackford,Harrison 1,U.S. House,3,DEM,Chip Coldiron,53,30,52,135
14,Blackford,Harrison 1,U.S. House,3,,Write-In,0,0,0,0
15,Blackford,Harrison 1,State Representative,31,REP,Ann Vermillion,225,36,202,463
16,Blackford,Harrison 2,Registered Voters,,,,,,,598
17,Blackford,Harrison 2,Ballots Cast,,,,174,37,225,436
18,Blackford,Harrison 2,President,,REP,Trump\Pence,147,18,182,347
19,Blackford,Harrison 2,President,,DEM,Biden\Harris,21,19,37,77
20,Blackford,Harrison 2,President,,LIB,Jorgense\Cohen,5,0,5,10
21,Blackford,Harrison 2,President,,,Write-In,0,0,0,0
22,Blackford,Harrison 2,Governor,,REP,Holcomb\Crouch,96,24,156,276
23,Blackford,Harrison 2,Governor,,DEM,Myers\Lawson,14,11,21,46
24,Blackford,Harrison 2,Governor,,LIB,Rainwater II\Henry,63,1,44,108
25,Blackford,Harrison 2,Attorney General,,REP,Todd Rokita,135,23,178,336
