county,precinct,office,district,party,candidate,election_day,early_voting,post_election,absentee,votes
Ripley,Adams 1,Registered Voters,,,,,,,,1198
Ripley,Adams 1,Ballots Cast,,,,581,184,0,89,854
Ripley,Adams 1,Straight Party,,REP,,198,78,0,25,301
Ripley,Adams 1,Straight Party,,DEM,,29,20,0,15,64
Ripley,Adams 1,Straight Party,,LIB,,3,0,0,0,3
Ripley,Adams 1,President,,REP,Donald J Trump,489,131,0,52,672
Ripley,Adams 1,President,,DEM,Joseph R Biden,80,49,0,33,162
Ripley,Adams 1,President,,LIB,Jo Jorgensen,9,2,0,3,14
Ripley,Adams 1,President,,,Write-In,1,1,0,0,2
Ripley,Adams 1,Governor,,REP,Eric Holcomb,411,125,0,61,597
Ripley,Adams 1,Governor,,DEM,Woodrow (Woody) Myers,60,40,0,24,124
Ripley,Adams 1,Governor,,LIB,Donald G Rainwater II,107,15,0,2,124
Ripley,Adams 1,Attorney General,,REP,Todd Rokita,469,129,0,55,653
Ripley,Adams 1,Attorney General,,DEM,Jonathan Weinzapfel,84,49,0,30,163
Ripley,Adams 1,U.S. House,6,REP,Greg Pence,465,129,0,55,649
Ripley,Adams 1,U.S. House,6,DEM,Jeannine Lee Lake,84,49,0,27,160
Ripley,Adams 1,U.S. House,6,LIB,Tom Ferkinhoff,25,4,0,2,31
Ripley,Adams 1,U.S. House,6,,Write-In,1,0,0,0,1
Ripley,Adams 1,State Senate,42,REP,Jean Leising,525,146,0,67,738
Ripley,Adams 1,State Representative,55,REP,Cindy Meyer Ziemke,511,148,0,67,726
Ripley,Adams 2,Registered Voters,,,,,,,,1509
Ripley,Adams 2,Ballots Cast,,,,708,178,0,123,1009
Ripley,Adams 2,Straight Party,,REP,,290,83,0,40,413
Ripley,Adams 2,Straight Party,,DEM,,16,14,0,20,50
Ripley,Adams 2,Straight Party,,LIB,,6,0,0,0,6
Ripley,Adams 2,President,,REP,Donald J Trump,636,139,0,76,851
Ripley,Adams 2,President,,DEM,Joseph R Biden,54,29,0,45,128
Ripley,Adams 2,President,,LIB,Jo Jorgensen,11,3,0,2,16
Ripley,Adams 2,President,,,Write-In,3,0,0,0,3
Ripley,Adams 2,Governor,,REP,Eric Holcomb,511,131,0,77,719
Ripley,Adams 2,Governor,,DEM,Woodrow (Woody) Myers,49,23,0,40,112
Ripley,Adams 2,Governor,,LIB,Donald G Rainwater II,142,14,0,4,160
Ripley,Adams 2,Attorney General,,REP,Todd Rokita,622,133,0,74,829
Ripley,Adams 2,Attorney General,,DEM,Jonathan Weinzapfel,67,33,0,45,145
Ripley,Adams 2,U.S. House,6,REP,Greg Pence,617,132,0,76,825
Ripley,Adams 2,U.S. House,6,DEM,Jeannine Lee Lake,57,32,0,41,130
Ripley,Adams 2,U.S. House,6,LIB,Tom Ferkinhoff,27,5,0,4,36
Ripley,Adams 2,U.S. House,6,,Write-In,0,0,0,0,0
Ripley,Adams 2,State Senate,42,REP,Jean Leising,647,147,0,90,884
Ripley,Adams 2,State Representative,55,REP,Cindy Meyer Ziemke,634,144,0,85,863
Ripley,Adams 3,Registered Voters,,,,,,,,1065
Ripley,Adams 3,Ballots Cast,,,,383,175,0,156,714
Ripley,Adams 3,Straight Party,,REP,,128,64,0,35,227
Ripley,Adams 3,Straight Party,,DEM,,24,25,0,27,76
Ripley,Adams 3,Straight Party,,LIB,,0,0,0,1,1
Ripley,Adams 3,President,,REP,Donald J Trump,301,99,0,73,473
Ripley,Adams 3,President,,DEM,Joseph R Biden,72,72,0,76,220
Ripley,Adams 3,President,,LIB,Jo Jorgensen,3,2,0,3,8
Ripley,Adams 3,President,,,Write-In,2,0,0,0,2
Ripley,Adams 3,Governor,,REP,Eric Holcomb,285,113,0,88,486
Ripley,Adams 3,Governor,,DEM,Woodrow (Woody) Myers,51,51,0,60,162
Ripley,Adams 3,Governor,,LIB,Donald G Rainwater II,42,10,0,3,55
Ripley,Adams 3,Attorney General,,REP,Todd Rokita,304,114,0,78,496
Ripley,Adams 3,Attorney General,,DEM,Jonathan Weinzapfel,71,56,0,70,197
Ripley,Adams 3,U.S. House,6,REP,Greg Pence,301,111,0,76,488
Ripley,Adams 3,U.S. House,6,DEM,Jeannine Lee Lake,61,59,0,72,192
Ripley,Adams 3,U.S. House,6,LIB,Tom Ferkinhoff,14,2,0,4,20
Ripley,Adams 3,U.S. House,6,,Write-In,0,0,0,0,0
Ripley,Adams 3,State Senate,42,REP,Jean Leising,332,136,0,106,574
Ripley,Adams 3,State Representative,55,REP,Cindy Meyer Ziemke,334,136,0,112,582
Ripley,Brown 1,Registered Voters,,,,,,,,601
Ripley,Brown 1,Ballots Cast,,,,246,154,0,38,438
Ripley,Brown 1,Straight Party,,REP,,99,80,0,4,183
Ripley,Brown 1,Straight Party,,DEM,,6,11,0,5,22
Ripley,Brown 1,Straight Party,,LIB,,1,1,0,0,2
Ripley,Brown 1,President,,REP,Donald J Trump,224,126,0,18,368
Ripley,Brown 1,President,,DEM,Joseph R Biden,18,22,0,18,58
Ripley,Brown 1,President,,LIB,Jo Jorgensen,3,0,0,0,3
Ripley,Brown 1,President,,,Write-In,0,0,0,1,1
Ripley,Brown 1,Governor,,REP,Eric Holcomb,167,107,0,23,297
Ripley,Brown 1,Governor,,DEM,Woodrow (Woody) Myers,18,20,0,14,52
Ripley,Brown 1,Governor,,LIB,Donald G Rainwater II,58,24,0,1,83
Ripley,Brown 1,Attorney General,,REP,Todd Rokita,216,126,0,20,362
Ripley,Brown 1,Attorney General,,DEM,Jonathan Weinzapfel,24,22,0,17,63
Ripley,Brown 1,U.S. House,6,REP,Greg Pence,218,125,0,21,364
Ripley,Brown 1,U.S. House,6,DEM,Jeannine Lee Lake,22,22,0,17,61
Ripley,Brown 1,U.S. House,6,LIB,Tom Ferkinhoff,6,2,0,0,8
Ripley,Brown 1,U.S. House,6,,Write-In,0,0,0,0,0
Ripley,Brown 1,State Representative,67,REP,Randy Frye,227,133,0,25,385
Ripley,Brown 2,Registered Voters,,,,,,,,636
Ripley,Brown 2,Ballots Cast,,,,276,169,0,44,489
Ripley,Brown 2,Straight Party,,REP,,109,69,0,7,185
Ripley,Brown 2,Straight Party,,DEM,,11,23,0,11,45
Ripley,Brown 2,Straight Party,,LIB,,1,0,0,0,1
Ripley,Brown 2,President,,REP,Donald J Trump,248,125,0,21,394
Ripley,Brown 2,President,,DEM,Joseph R Biden,25,41,0,22,88
Ripley,Brown 2,President,,LIB,Jo Jorgensen,2,1,0,0,3
Ripley,Brown 2,President,,,Write-In,0,0,0,0,0
Ripley,Brown 2,Governor,,REP,Eric Holcomb,201,115,0,21,337
Ripley,Brown 2,Governor,,DEM,Woodrow (Woody) Myers,20,37,0,21,78
Ripley,Brown 2,Governor,,LIB,Donald G Rainwater II,53,12,0,2,67
Ripley,Brown 2,Attorney General,,REP,Todd Rokita,240,119,0,21,380
Ripley,Brown 2,Attorney General,,DEM,Jonathan Weinzapfel,28,40,0,23,91
Ripley,Brown 2,U.S. House,6,REP,Greg Pence,242,119,0,21,382
Ripley,Brown 2,U.S. House,6,DEM,Jeannine Lee Lake,27,43,0,20,90
Ripley,Brown 2,U.S. House,6,LIB,Tom Ferkinhoff,5,2,0,2,9
Ripley,Brown 2,U.S. House,6,,Write-In,0,0,0,0,0
Ripley,Brown 2,State Representative,67,REP,Randy Frye,250,138,0,29,417
Ripley,Center 1,Registered Voters,,,,,,,,414
Ripley,Center 1,Ballots Cast,,,,185,69,0,21,275
Ripley,Center 1,Straight Party,,REP,,66,20,0,3,89
