county,precinct,office,district,candidate,party,election_day,early_voting,post_election,absentee,votes
Steuben,Clear Lake,Registered Voters,,,,,,,,689
Steuben,Clear Lake,Ballots Cast,,,,31,191,1,105,328
Steuben,Clear Lake,President,,Trump / Pence,REP,27,140,1,75,243
Steuben,Clear Lake,President,,Biden / Harris,DEM,2,49,0,27,78
Steuben,Clear Lake,President,,Jo Jorgensen,LIB,0,0,0,2,2
Steuben,Clear Lake,President,,Write-In,,0,0,0,0,0
Steuben,Clear Lake,Governor,,Eric Holcomb,REP,22,151,1,91,265
Steuben,Clear Lake,Governor,,Woody Myers,DEM,2,31,0,14,47
Steuben,Clear Lake,Governor,,Donald Rainwater,LIB,5,5,0,0,10
Steuben,Clear Lake,Attorney General,,Todd Rokita,REP,25,140,1,83,249
Steuben,Clear Lake,Attorney General,,Jonathan Weinzapfel,DEM,3,43,0,21,67
Steuben,Clear Lake,U.S. House,3,Jim Banks,REP,26,148,1,87,262
Steuben,Clear Lake,U.S. House,3,Chip Coldiron,DEM,2,39,0,17,58
Steuben,Clear Lake,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Clear Lake,State Senate,13,C. Susan Glick,REP,27,154,1,93,275
Steuben,Clear Lake,State Representative,51,Dennis J. Zent,REP,25,149,1,85,260
Steuben,Clear Lake,State Representative,51,Michael Stephenson,DEM,3,37,0,17,57
Steuben,Clear Lake,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Clear Lake,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Clear Lake,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Fremont 1,Registered Voters,,,,,,,,777
Steuben,Fremont 1,Ballots Cast,,,,949,96,0,40,1085
Steuben,Fremont 1,President,,Trump / Pence,REP,725,52,0,12,789
Steuben,Fremont 1,President,,Biden / Harris,DEM,182,41,0,26,249
Steuben,Fremont 1,President,,Jo Jorgensen,LIB,20,1,0,2,23
Steuben,Fremont 1,President,,Write-In,,2,0,0,0,2
Steuben,Fremont 1,Governor,,Eric Holcomb,REP,679,58,0,24,761
Steuben,Fremont 1,Governor,,Woody Myers,DEM,124,33,0,16,173
Steuben,Fremont 1,Governor,,Donald Rainwater,LIB,118,4,0,0,122
Steuben,Fremont 1,Attorney General,,Todd Rokita,REP,704,53,0,17,774
Steuben,Fremont 1,Attorney General,,Jonathan Weinzapfel,DEM,204,39,0,23,266
Steuben,Fremont 1,U.S. House,3,Jim Banks,REP,732,53,0,16,801
Steuben,Fremont 1,U.S. House,3,Chip Coldiron,DEM,171,40,0,24,235
Steuben,Fremont 1,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Fremont 1,State Senate,13,C. Susan Glick,REP,797,67,0,26,890
Steuben,Fremont 1,State Representative,51,Dennis J. Zent,REP,733,56,0,17,806
Steuben,Fremont 1,State Representative,51,Michael Stephenson,DEM,166,36,0,23,225
Steuben,Fremont 1,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Fremont 1,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Fremont 1,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Fremont 2,Registered Voters,,,,,,,,650
Steuben,Fremont 2,Ballots Cast,,,,49,71,0,40,160
Steuben,Fremont 2,President,,Trump / Pence,REP,35,41,0,11,87
Steuben,Fremont 2,President,,Biden / Harris,DEM,10,29,0,29,68
Steuben,Fremont 2,President,,Jo Jorgensen,LIB,3,0,0,0,3
Steuben,Fremont 2,President,,Write-In,,0,0,0,0,0
Steuben,Fremont 2,Governor,,Eric Holcomb,REP,35,44,0,20,99
Steuben,Fremont 2,Governor,,Woody Myers,DEM,5,23,0,20,48
Steuben,Fremont 2,Governor,,Donald Rainwater,LIB,8,2,0,0,10
Steuben,Fremont 2,Attorney General,,Todd Rokita,REP,39,38,0,13,90
Steuben,Fremont 2,Attorney General,,Jonathan Weinzapfel,DEM,9,30,0,25,64
Steuben,Fremont 2,U.S. House,3,Jim Banks,REP,38,39,0,12,89
Steuben,Fremont 2,U.S. House,3,Chip Coldiron,DEM,10,29,0,26,65
Steuben,Fremont 2,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Fremont 2,State Senate,13,C. Susan Glick,REP,39,48,0,20,107
Steuben,Fremont 2,State Representative,51,Dennis J. Zent,REP,38,40,0,16,94
Steuben,Fremont 2,State Representative,51,Michael Stephenson,DEM,10,28,0,22,60
Steuben,Fremont 2,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Fremont 2,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Fremont 2,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Fremont 3,Registered Voters,,,,,,,,612
Steuben,Fremont 3,Ballots Cast,,,,46,106,0,46,198
Steuben,Fremont 3,President,,Trump / Pence,REP,41,73,0,24,138
Steuben,Fremont 3,President,,Biden / Harris,DEM,3,32,0,21,56
Steuben,Fremont 3,President,,Jo Jorgensen,LIB,2,1,0,0,3
Steuben,Fremont 3,President,,Write-In,,0,0,0,0,0
Steuben,Fremont 3,Governor,,Eric Holcomb,REP,38,74,0,29,141
Steuben,Fremont 3,Governor,,Woody Myers,DEM,3,20,0,16,39
Steuben,Fremont 3,Governor,,Donald Rainwater,LIB,5,12,0,1,18
Steuben,Fremont 3,Attorney General,,Todd Rokita,REP,41,73,0,26,140
Steuben,Fremont 3,Attorney General,,Jonathan Weinzapfel,DEM,5,27,0,19,51
Steuben,Fremont 3,U.S. House,3,Jim Banks,REP,42,72,0,27,141
Steuben,Fremont 3,U.S. House,3,Chip Coldiron,DEM,4,30,0,18,52
Steuben,Fremont 3,U.S. House,3,Write-In,,0,0,0,0,0
Steuben,Fremont 3,State Senate,13,C. Susan Glick,REP,43,81,0,35,159
Steuben,Fremont 3,State Representative,51,Dennis J. Zent,REP,41,80,0,24,145
Steuben,Fremont 3,State Representative,51,Michael Stephenson,DEM,4,23,0,21,48
Steuben,Fremont 3,State Representative,52,Ben Smaltz,REP,,,,,
Steuben,Fremont 3,State Representative,52,Martha Lemert,DEM,,,,,
Steuben,Fremont 3,State Representative,52,Morgan Rigg,LIB,,,,,
Steuben,Jackson,Registered Voters,,,,,,,,1250
Steuben,Jackson,Ballots Cast,,,,376,338,0,121,835
Steuben,Jackson,President,,Trump / Pence,REP,311,243,0,58,612
